0,1,2,3,4
Atlanta Hawks,0,-1,0,-130
Chicago Bulls,0,-1,0,110
Atlanta Hawks,4,627,1,-120
Chicago Bulls,5,627,1,-110
Atlanta Hawks,4,616,1,-120
Chicago Bulls,5,616,1,-110
Atlanta Hawks,6,611,1,-130
Chicago Bulls,5,611,1,100
Atlanta Hawks,7,598,1,-135
Chicago Bulls,7,598,1,105
Atlanta Hawks,10,574,1,-145
Chicago Bulls,7,574,1,110
Atlanta Hawks,14,547,1,-150
Chicago Bulls,9,547,1,110
Atlanta Hawks,16,533,1,-200
Chicago Bulls,9,533,1,150
Atlanta Hawks,16,536,1,-200
Chicago Bulls,9,536,1,150
Atlanta Hawks,16,536,1,-200
Chicago Bulls,9,536,1,150
Atlanta Hawks,16,536,1,-200
Chicago Bulls,9,536,1,150
Atlanta Hawks,16,536,1,-200
Chicago Bulls,9,536,1,150
Atlanta Hawks,16,536,1,-215
Chicago Bulls,9,536,1,160
Atlanta Hawks,16,536,1,-215
Chicago Bulls,9,536,1,160
Atlanta Hawks,17,536,1,-215
Chicago Bulls,9,536,1,160
Atlanta Hawks,19,510,1,-220
Chicago Bulls,9,510,1,165
Atlanta Hawks,20,510,1,-220
Chicago Bulls,9,510,1,165
Atlanta Hawks,20,486,1,-260
Chicago Bulls,9,486,1,190
Atlanta Hawks,20,480,1,-280
Chicago Bulls,9,480,1,205
Atlanta Hawks,21,465,1,-290
Chicago Bulls,9,465,1,210
Atlanta Hawks,21,444,1,-300
Chicago Bulls,9,444,1,220
Atlanta Hawks,21,438,1,-300
Chicago Bulls,11,438,1,225
Atlanta Hawks,23,411,1,-300
Chicago Bulls,11,411,1,220
Atlanta Hawks,23,411,1,-300
Chicago Bulls,11,411,1,220
Atlanta Hawks,23,406,1,-300
Chicago Bulls,11,406,1,220
Atlanta Hawks,23,408,1,-300
Chicago Bulls,11,408,1,220
Atlanta Hawks,23,408,1,-300
Chicago Bulls,11,408,1,220
Atlanta Hawks,23,408,1,-300
Chicago Bulls,11,408,1,220
Atlanta Hawks,23,408,1,-300
Chicago Bulls,11,408,1,220
Atlanta Hawks,23,408,1,-300
Chicago Bulls,11,408,1,220
Atlanta Hawks,23,408,1,-300
Chicago Bulls,11,408,1,220
Atlanta Hawks,23,408,1,-300
Chicago Bulls,11,408,1,220
Atlanta Hawks,25,381,1,-275
Chicago Bulls,13,381,1,200
Atlanta Hawks,25,376,1,-275
Chicago Bulls,13,376,1,200
Atlanta Hawks,25,376,1,-290
Chicago Bulls,15,376,1,210
Atlanta Hawks,25,359,1,-310
Chicago Bulls,17,359,1,220
Atlanta Hawks,25,359,1,-290
Chicago Bulls,17,359,1,205
Atlanta Hawks,25,359,1,-220
Chicago Bulls,17,359,1,165
Atlanta Hawks,25,359,1,-220
Chicago Bulls,17,359,1,165
Atlanta Hawks,25,345,1,-220
Chicago Bulls,17,345,1,165
Atlanta Hawks,28,314,1,-250
Chicago Bulls,19,314,1,185
Atlanta Hawks,28,301,1,-275
Chicago Bulls,19,301,1,200
Atlanta Hawks,29,297,1,-300
Chicago Bulls,19,297,1,220
Atlanta Hawks,30,288,1,-275
Chicago Bulls,19,288,1,205
Atlanta Hawks,30,271,1,-320
Chicago Bulls,19,271,1,230
Atlanta Hawks,30,262,1,-320
Chicago Bulls,19,262,1,230
