0,1,2,3,4
Charlotte Hornets,0,-1,0,-155
Cleveland Cavaliers,0,-1,0,135
Charlotte Hornets,0,-1,0,-165
Cleveland Cavaliers,0,-1,0,125
Charlotte Hornets,0,699,1,-165
Cleveland Cavaliers,0,699,1,125
Charlotte Hornets,0,678,1,-165
Cleveland Cavaliers,0,678,1,125
Charlotte Hornets,0,678,1,-165
Cleveland Cavaliers,0,678,1,125
Charlotte Hornets,0,675,1,-160
Cleveland Cavaliers,1,675,1,120
Charlotte Hornets,2,649,1,-160
Cleveland Cavaliers,1,649,1,120
Charlotte Hornets,2,630,1,-175
Cleveland Cavaliers,1,630,1,130
Charlotte Hornets,2,614,1,-175
Cleveland Cavaliers,1,614,1,130
Charlotte Hornets,2,606,1,-175
Cleveland Cavaliers,3,606,1,130
Charlotte Hornets,2,595,1,-155
Cleveland Cavaliers,4,595,1,115
Charlotte Hornets,2,571,1,-145
Cleveland Cavaliers,6,571,1,110
Charlotte Hornets,2,553,1,-155
Cleveland Cavaliers,6,553,1,115
Charlotte Hornets,2,536,1,-145
Cleveland Cavaliers,9,536,1,110
Charlotte Hornets,2,525,1,-130
Cleveland Cavaliers,9,525,1,100
Charlotte Hornets,4,516,1,-125
Cleveland Cavaliers,9,516,1,-105
Charlotte Hornets,4,496,1,-130
Cleveland Cavaliers,11,496,1,100
Charlotte Hornets,4,476,1,-125
Cleveland Cavaliers,11,476,1,-105
Charlotte Hornets,4,451,1,-120
Cleveland Cavaliers,11,451,1,-110
Charlotte Hornets,4,447,1,-120
Cleveland Cavaliers,11,447,1,-110
Charlotte Hornets,4,447,1,-120
Cleveland Cavaliers,11,447,1,-110
Charlotte Hornets,4,447,1,-115
Cleveland Cavaliers,11,447,1,-115
Charlotte Hornets,4,447,1,-115
Cleveland Cavaliers,11,447,1,-115
Charlotte Hornets,4,447,1,-115
Cleveland Cavaliers,11,447,1,-115
Charlotte Hornets,4,447,1,-115
Cleveland Cavaliers,11,447,1,-115
Charlotte Hornets,4,447,1,-115
Cleveland Cavaliers,11,447,1,-115
Charlotte Hornets,4,447,1,-115
Cleveland Cavaliers,11,447,1,-115
Charlotte Hornets,4,440,1,-120
Cleveland Cavaliers,11,440,1,-110
Charlotte Hornets,7,424,1,-120
Cleveland Cavaliers,11,424,1,-110
Charlotte Hornets,7,399,1,-120
Cleveland Cavaliers,13,399,1,-110
Charlotte Hornets,7,388,1,-130
Cleveland Cavaliers,13,388,1,100
Charlotte Hornets,7,373,1,-120
Cleveland Cavaliers,13,373,1,-110
Charlotte Hornets,7,370,1,-120
Cleveland Cavaliers,13,370,1,-110
Charlotte Hornets,7,370,1,-110
Cleveland Cavaliers,14,370,1,-120
Charlotte Hornets,7,365,1,-110
Cleveland Cavaliers,15,365,1,-120
Charlotte Hornets,9,336,1,-110
Cleveland Cavaliers,15,336,1,-120
Charlotte Hornets,9,318,1,-105
Cleveland Cavaliers,17,318,1,-125
Charlotte Hornets,12,296,1,-120
Cleveland Cavaliers,17,296,1,-110
Charlotte Hornets,12,276,1,-105
Cleveland Cavaliers,17,276,1,-125
Charlotte Hornets,12,275,1,-120
Cleveland Cavaliers,17,275,1,-110
Charlotte Hornets,12,275,1,-125
