0,1,2,3,4
Dallas Mavericks,0,-1,0,-110
Phoenix Suns,0,-1,0,-110
Dallas Mavericks,0,701,1,105
Phoenix Suns,2,701,1,-135
Dallas Mavericks,0,671,1,110
Phoenix Suns,2,671,1,-145
Dallas Mavericks,0,658,1,110
Phoenix Suns,5,658,1,-145
Dallas Mavericks,0,651,1,120
Phoenix Suns,5,651,1,-160
Dallas Mavericks,0,647,1,120
Phoenix Suns,5,647,1,-160
Dallas Mavericks,0,626,1,120
Phoenix Suns,5,626,1,-160
Dallas Mavericks,0,621,1,120
Phoenix Suns,5,621,1,-160
Dallas Mavericks,0,604,1,120
Phoenix Suns,5,604,1,-160
Dallas Mavericks,0,586,1,120
Phoenix Suns,7,586,1,-160
Dallas Mavericks,2,568,1,120
Phoenix Suns,7,568,1,-160
Dallas Mavericks,2,554,1,125
Phoenix Suns,7,554,1,-165
Dallas Mavericks,2,554,1,125
Phoenix Suns,8,554,1,-165
Dallas Mavericks,2,552,1,130
Phoenix Suns,9,552,1,-175
Dallas Mavericks,5,532,1,120
Phoenix Suns,9,532,1,-160
Dallas Mavericks,5,515,1,135
Phoenix Suns,12,515,1,-180
Dallas Mavericks,5,498,1,120
Phoenix Suns,12,498,1,-160
Dallas Mavericks,5,489,1,120
Phoenix Suns,12,489,1,-160
Dallas Mavericks,5,489,1,145
Phoenix Suns,12,489,1,-190
Dallas Mavericks,7,471,1,140
Phoenix Suns,12,471,1,-185
Dallas Mavericks,7,461,1,140
Phoenix Suns,12,461,1,-185
Dallas Mavericks,7,454,1,130
Phoenix Suns,12,454,1,-175
Dallas Mavericks,7,433,1,130
Phoenix Suns,12,433,1,-175
Dallas Mavericks,7,420,1,130
Phoenix Suns,12,420,1,-175
Dallas Mavericks,7,420,1,125
Phoenix Suns,12,420,1,-165
Dallas Mavericks,8,420,1,120
Phoenix Suns,12,420,1,-160
Dallas Mavericks,9,411,1,120
Phoenix Suns,12,411,1,-160
Dallas Mavericks,9,411,1,110
Phoenix Suns,12,411,1,-150
