0,1,2,3,4
Detroit Pistons,0,-1,0,180
Minnesota Timberwolves,0,-1,0,-220
Detroit Pistons,0,0,1,175
Minnesota Timberwolves,0,0,1,-240
Detroit Pistons,0,0,1,175
Minnesota Timberwolves,0,0,1,-240
Detroit Pistons,0,0,1,175
Minnesota Timberwolves,0,0,1,-240
Detroit Pistons,0,720,1,175
Minnesota Timberwolves,0,720,1,-240
Detroit Pistons,0,720,1,175
Minnesota Timberwolves,0,720,1,-240
Detroit Pistons,0,699,1,175
Minnesota Timberwolves,0,699,1,-240
Detroit Pistons,3,683,1,175
Minnesota Timberwolves,0,683,1,-240
Detroit Pistons,3,683,1,175
Minnesota Timberwolves,0,683,1,-240
Detroit Pistons,3,683,1,185
Minnesota Timberwolves,0,683,1,-250
Detroit Pistons,4,675,1,185
Minnesota Timberwolves,0,675,1,-250
Detroit Pistons,4,655,1,185
Minnesota Timberwolves,0,655,1,-250
Detroit Pistons,4,651,1,190
Minnesota Timberwolves,0,651,1,-260
Detroit Pistons,6,622,1,190
Minnesota Timberwolves,0,622,1,-260
Detroit Pistons,8,618,1,185
Minnesota Timberwolves,0,618,1,-250
Detroit Pistons,8,618,1,145
Minnesota Timberwolves,0,618,1,-190
Detroit Pistons,8,618,1,145
Minnesota Timberwolves,0,618,1,-190
Detroit Pistons,8,618,1,125
Minnesota Timberwolves,0,618,1,-165
Detroit Pistons,8,618,1,125
Minnesota Timberwolves,0,618,1,-165
Detroit Pistons,8,618,1,125
Minnesota Timberwolves,0,618,1,-165
Detroit Pistons,8,614,1,125
Minnesota Timberwolves,0,614,1,-165
Detroit Pistons,8,582,1,125
Minnesota Timberwolves,0,582,1,-165
Detroit Pistons,8,553,1,115
Minnesota Timberwolves,0,553,1,-155
Detroit Pistons,8,531,1,125
Minnesota Timberwolves,2,531,1,-165
Detroit Pistons,10,506,1,115
Minnesota Timberwolves,2,506,1,-155
Detroit Pistons,10,496,1,100
Minnesota Timberwolves,2,496,1,-130
Detroit Pistons,10,488,1,100
Minnesota Timberwolves,2,488,1,-130
Detroit Pistons,12,467,1,100
Minnesota Timberwolves,2,467,1,-130
Detroit Pistons,12,455,1,-110
Minnesota Timberwolves,2,455,1,-120
Detroit Pistons,12,448,1,-115
Minnesota Timberwolves,2,448,1,-115
Detroit Pistons,14,422,1,-125
Minnesota Timberwolves,2,422,1,-105
Detroit Pistons,14,398,1,-145
Minnesota Timberwolves,4,398,1,110
Detroit Pistons,14,373,1,-115
Minnesota Timberwolves,9,373,1,-115
Detroit Pistons,14,365,1,-115
Minnesota Timberwolves,9,365,1,-115
Detroit Pistons,14,365,1,125
Minnesota Timberwolves,9,365,1,-165
Detroit Pistons,14,365,1,125
Minnesota Timberwolves,9,365,1,-165
Detroit Pistons,14,365,1,125
Minnesota Timberwolves,9,365,1,-165
Detroit Pistons,14,365,1,105
Minnesota Timberwolves,9,365,1,-135
Detroit Pistons,14,365,1,125
Minnesota Timberwolves,9,365,1,-165
Detroit Pistons,14,365,1,105
Minnesota Timberwolves,9,365,1,-135
Detroit Pistons,16,334,1,125
Minnesota Timberwolves,11,334,1,-165
Detroit Pistons,19,323,1,125
Minnesota Timberwolves,11,323,1,-165
Detroit Pistons,19,306,1,105
Minnesota Timberwolves,11,306,1,-135
Detroit Pistons,21,298,1,105
Minnesota Timberwolves,11,298,1,-135
Detroit Pistons,21,273,1,105
Minnesota Timberwolves,14,273,1,-135
Detroit Pistons,21,246,1,110
Minnesota Timberwolves,14,246,1,-145
Detroit Pistons,21,236,1,110
Minnesota Timberwolves,14,236,1,-145
Detroit Pistons,21,236,1,100
Minnesota Timberwolves,14,236,1,-130
Detroit Pistons,22,224,1,100
Minnesota Timberwolves,14,224,1,-130
Detroit Pistons,22,200,1,100
Minnesota Timberwolves,16,200,1,-130
Detroit Pistons,22,197,1,110
Minnesota Timberwolves,16,197,1,-150
Detroit Pistons,22,186,1,115
Minnesota Timberwolves,17,186,1,-155
Detroit Pistons,24,152,1,130
Minnesota Timberwolves,19,152,1,-175
Detroit Pistons,27,124,1,110
Minnesota Timberwolves,21,124,1,-150
Detroit Pistons,27,115,1,105
Minnesota Timberwolves,21,115,1,-135
Detroit Pistons,27,102,1,110
Minnesota Timberwolves,21,102,1,-145
Detroit Pistons,27,102,1,110
Minnesota Timberwolves,22,102,1,-145
Detroit Pistons,27,94,1,120
Minnesota Timberwolves,23,94,1,-160
Detroit Pistons,31,60,1,120
Minnesota Timberwolves,23,60,1,-160
Detroit Pistons,31,60,1,110
Minnesota Timberwolves,25,60,1,-145
Detroit Pistons,31,42,1,105
Minnesota Timberwolves,25,42,1,-135
Detroit Pistons,31,37,1,105
Minnesota Timberwolves,25,37,1,-135
Detroit Pistons,31,29,1,105
Minnesota Timberwolves,25,29,1,-135
Detroit Pistons,31,3,1,110
Minnesota Timberwolves,25,3,1,-145
Detroit Pistons,34,3,1,105
Minnesota Timberwolves,25,3,1,-135
Detroit Pistons,34,3,1,100
Minnesota Timberwolves,25,3,1,-130
Detroit Pistons,34,3,1,-165
Minnesota Timberwolves,25,3,1,125
Detroit Pistons,34,3,1,-165
Minnesota Timberwolves,25,3,1,125
Detroit Pistons,34,3,1,-155
Minnesota Timberwolves,25,3,1,115
Detroit Pistons,34,718,2,-155
Minnesota Timberwolves,25,718,2,115
Detroit Pistons,36,689,2,-155
Minnesota Timberwolves,25,689,2,115
Detroit Pistons,36,666,2,-175
Minnesota Timberwolves,25,666,2,130
Detroit Pistons,36,652,2,-215
Minnesota Timberwolves,25,652,2,160
Detroit Pistons,38,637,2,-215
Minnesota Timberwolves,25,637,2,160
Detroit Pistons,38,637,2,-215
Minnesota Timberwolves,25,637,2,160
Detroit Pistons,49,338,2,-280
Minnesota Timberwolves,37,338,2,205
Detroit Pistons,49,316,2,-290
Minnesota Timberwolves,39,316,2,210
Detroit Pistons,49,314,2,-215
Minnesota Timberwolves,40,314,2,160
Detroit Pistons,51,272,2,-215
Minnesota Timberwolves,43,272,2,160
Detroit Pistons,51,250,2,-130
Minnesota Timberwolves,46,250,2,100
Detroit Pistons,51,250,2,-130
Minnesota Timberwolves,46,250,2,100
Detroit Pistons,51,250,2,-130
Minnesota Timberwolves,46,250,2,100
Detroit Pistons,51,250,2,-130
Minnesota Timberwolves,46,250,2,100
Detroit Pistons,51,250,2,-130
Minnesota Timberwolves,46,250,2,100
Detroit Pistons,51,250,2,-130
Minnesota Timberwolves,46,250,2,100
Detroit Pistons,51,239,2,-130
Minnesota Timberwolves,46,239,2,100
Detroit Pistons,51,227,2,-130
Minnesota Timberwolves,46,227,2,100
Detroit Pistons,51,207,2,-120
Minnesota Timberwolves,46,207,2,-110
Detroit Pistons,51,193,2,-130
Minnesota Timberwolves,46,193,2,100
Detroit Pistons,53,176,2,-155
Minnesota Timberwolves,48,176,2,115
Detroit Pistons,55,147,2,-130
Minnesota Timberwolves,48,147,2,100
Detroit Pistons,55,117,2,-155
Minnesota Timberwolves,48,117,2,115
Detroit Pistons,55,117,2,-160
Minnesota Timberwolves,48,117,2,120
Detroit Pistons,55,117,2,-145
