0,1,2,3,4
Milwaukee Bucks,0,-1,0,-200
Boston Celtics,0,-1,0,170
Milwaukee Bucks,5,612,1,-210
Boston Celtics,6,612,1,155
Milwaukee Bucks,7,579,1,-210
Boston Celtics,6,579,1,155
Milwaukee Bucks,9,557,1,-215
Boston Celtics,6,557,1,160
Milwaukee Bucks,9,564,1,-210
Boston Celtics,6,564,1,155
Milwaukee Bucks,9,564,1,-230
Boston Celtics,6,564,1,170
Milwaukee Bucks,9,564,1,-230
Boston Celtics,6,564,1,170
Milwaukee Bucks,9,564,1,-215
Boston Celtics,6,564,1,160
Milwaukee Bucks,9,564,1,-215
Boston Celtics,6,564,1,160
Milwaukee Bucks,9,564,1,-215
Boston Celtics,6,564,1,160
Milwaukee Bucks,9,564,1,-215
Boston Celtics,6,564,1,160
Milwaukee Bucks,9,548,1,-215
Boston Celtics,9,548,1,160
Milwaukee Bucks,14,520,1,-215
Boston Celtics,9,520,1,160
Milwaukee Bucks,14,489,1,-245
Boston Celtics,12,489,1,185
Milwaukee Bucks,16,464,1,-245
Boston Celtics,14,464,1,185
Milwaukee Bucks,16,438,1,-230
Boston Celtics,14,438,1,175
Milwaukee Bucks,18,409,1,-230
Boston Celtics,17,409,1,175
Milwaukee Bucks,18,386,1,-220
Boston Celtics,17,386,1,165
Milwaukee Bucks,21,363,1,-230
Boston Celtics,17,363,1,175
Milwaukee Bucks,21,360,1,-245
Boston Celtics,19,360,1,180
Milwaukee Bucks,21,345,1,-245
Boston Celtics,19,345,1,180
Milwaukee Bucks,21,329,1,-245
Boston Celtics,19,329,1,180
Milwaukee Bucks,21,305,1,-220
Boston Celtics,22,305,1,165
Milwaukee Bucks,21,297,1,-210
Boston Celtics,22,297,1,155
Milwaukee Bucks,21,297,1,-210
Boston Celtics,22,297,1,155
Milwaukee Bucks,21,297,1,-210
Boston Celtics,22,297,1,155
Milwaukee Bucks,21,297,1,-210
Boston Celtics,22,297,1,155
Milwaukee Bucks,21,297,1,-210
Boston Celtics,22,297,1,155
Milwaukee Bucks,21,297,1,-210
Boston Celtics,22,297,1,155
Milwaukee Bucks,21,297,1,-210
Boston Celtics,22,297,1,155
Milwaukee Bucks,21,297,1,-210
Boston Celtics,22,297,1,155
Milwaukee Bucks,21,283,1,-210
Boston Celtics,22,283,1,155
Milwaukee Bucks,21,264,1,-210
Boston Celtics,22,264,1,155
Milwaukee Bucks,23,264,1,-190
Boston Celtics,22,264,1,145
Milwaukee Bucks,27,253,1,-215
Boston Celtics,22,253,1,160
Milwaukee Bucks,27,201,1,-210
Boston Celtics,22,201,1,155
Milwaukee Bucks,29,183,1,-280
Boston Celtics,25,183,1,205
Milwaukee Bucks,29,153,1,-230
Boston Celtics,25,153,1,170
Milwaukee Bucks,31,131,1,-290
Boston Celtics,25,131,1,210
Milwaukee Bucks,31,121,1,-290
Boston Celtics,25,121,1,210
Milwaukee Bucks,31,111,1,-290
Boston Celtics,25,111,1,210
Milwaukee Bucks,34,90,1,-290
Boston Celtics,25,90,1,215
Milwaukee Bucks,34,76,1,-370
Boston Celtics,25,76,1,260
Milwaukee Bucks,34,55,1,-300
Boston Celtics,28,55,1,215
Milwaukee Bucks,34,36,1,-300
Boston Celtics,31,36,1,215
Milwaukee Bucks,34,8,1,-300
Boston Celtics,31,8,1,210
Milwaukee Bucks,34,20,1,-250
Boston Celtics,31,20,1,180
Milwaukee Bucks,34,20,1,-250
Boston Celtics,31,20,1,185
Milwaukee Bucks,34,20,1,-250
Boston Celtics,31,20,1,185
Milwaukee Bucks,34,20,1,-260
Boston Celtics,31,20,1,190
Milwaukee Bucks,34,20,1,-260
Boston Celtics,31,20,1,190
Milwaukee Bucks,34,20,1,-260
Boston Celtics,31,20,1,190
Milwaukee Bucks,34,20,1,-260
Boston Celtics,31,20,1,190
Milwaukee Bucks,34,720,2,-260
Boston Celtics,31,720,2,190
Milwaukee Bucks,34,700,2,-260
Boston Celtics,31,700,2,190
Milwaukee Bucks,36,700,2,-280
Boston Celtics,31,700,2,205
Milwaukee Bucks,37,682,2,-280
Boston Celtics,33,682,2,205
Milwaukee Bucks,40,624,2,-280
Boston Celtics,33,624,2,205
Milwaukee Bucks,40,599,2,-310
Boston Celtics,35,599,2,220
Milwaukee Bucks,42,569,2,-310
Boston Celtics,35,569,2,220
Milwaukee Bucks,42,563,2,-290
Boston Celtics,35,563,2,210
Milwaukee Bucks,42,553,2,-300
Boston Celtics,35,553,2,220
Milwaukee Bucks,42,512,2,-300
Boston Celtics,37,512,2,220
Milwaukee Bucks,42,507,2,-300
Boston Celtics,37,507,2,220
Milwaukee Bucks,44,491,2,-280
Boston Celtics,37,491,2,200
Milwaukee Bucks,46,465,2,-260
Boston Celtics,37,465,2,190
Milwaukee Bucks,46,469,2,-300
Boston Celtics,37,469,2,220
Milwaukee Bucks,46,469,2,-370
Boston Celtics,37,469,2,260
Milwaukee Bucks,46,469,2,-450
Boston Celtics,37,469,2,295
Milwaukee Bucks,46,469,2,-450
Boston Celtics,37,469,2,300
Milwaukee Bucks,46,469,2,-450
Boston Celtics,37,469,2,295
Milwaukee Bucks,46,469,2,-450
Boston Celtics,37,469,2,295
Milwaukee Bucks,46,469,2,-450
Boston Celtics,37,469,2,295
Milwaukee Bucks,46,469,2,-450
Boston Celtics,37,469,2,295
Milwaukee Bucks,46,457,2,-450
Boston Celtics,37,457,2,295
Milwaukee Bucks,46,439,2,-425
Boston Celtics,37,439,2,285
Milwaukee Bucks,46,424,2,-370
Boston Celtics,37,424,2,260
Milwaukee Bucks,46,409,2,-370
Boston Celtics,39,409,2,265
Milwaukee Bucks,46,409,2,-310
Boston Celtics,39,409,2,230
Milwaukee Bucks,48,386,2,-310
Boston Celtics,39,386,2,230
Milwaukee Bucks,48,383,2,-380
Boston Celtics,39,383,2,265
Milwaukee Bucks,48,357,2,-380
Boston Celtics,39,357,2,265
Milwaukee Bucks,48,332,2,-380
Boston Celtics,42,332,2,265
Milwaukee Bucks,48,311,2,-310
Boston Celtics,44,311,2,225
Milwaukee Bucks,48,311,2,-280
Boston Celtics,44,311,2,205
Milwaukee Bucks,48,311,2,-300
Boston Celtics,44,311,2,215
Milwaukee Bucks,48,311,2,-300
Boston Celtics,44,311,2,215
Milwaukee Bucks,48,311,2,-300
