0,1,2,3,4
Utah Jazz,0,-1,0,-130
Portland Trail Blazers,0,-1,0,110
Utah Jazz,4,592,1,-120
Portland Trail Blazers,5,592,1,-110
Utah Jazz,4,568,1,-120
Portland Trail Blazers,8,568,1,-110
Utah Jazz,4,559,1,-115
Portland Trail Blazers,8,559,1,-115
Utah Jazz,6,532,1,-110
Portland Trail Blazers,10,532,1,-120
Utah Jazz,6,509,1,-110
Portland Trail Blazers,10,509,1,-120
Utah Jazz,6,492,1,100
Portland Trail Blazers,10,492,1,-130
Utah Jazz,6,490,1,-110
Portland Trail Blazers,10,490,1,-120
Utah Jazz,6,474,1,-110
Portland Trail Blazers,13,474,1,-120
Utah Jazz,6,478,1,-105
Portland Trail Blazers,13,478,1,-125
Utah Jazz,6,478,1,110
Portland Trail Blazers,13,478,1,-150
Utah Jazz,6,478,1,110
Portland Trail Blazers,13,478,1,-150
Utah Jazz,6,478,1,110
Portland Trail Blazers,13,478,1,-150
Utah Jazz,6,478,1,110
Portland Trail Blazers,13,478,1,-150
Utah Jazz,6,478,1,120
Portland Trail Blazers,13,478,1,-160
Utah Jazz,6,478,1,120
Portland Trail Blazers,13,478,1,-160
Utah Jazz,6,478,1,110
Portland Trail Blazers,13,478,1,-150
Utah Jazz,6,478,1,120
Portland Trail Blazers,13,478,1,-160
Utah Jazz,6,471,1,120
Portland Trail Blazers,13,471,1,-160
Utah Jazz,9,447,1,120
Portland Trail Blazers,13,447,1,-160
Utah Jazz,11,428,1,120
Portland Trail Blazers,13,428,1,-160
Utah Jazz,11,415,1,100
Portland Trail Blazers,16,415,1,-130
Utah Jazz,11,398,1,-110
Portland Trail Blazers,16,398,1,-120
Utah Jazz,11,398,1,110
Portland Trail Blazers,16,398,1,-145
Utah Jazz,11,398,1,125
Portland Trail Blazers,16,398,1,-165
Utah Jazz,14,384,1,120
Portland Trail Blazers,17,384,1,-160
Utah Jazz,14,361,1,105
Portland Trail Blazers,17,361,1,-135
Utah Jazz,14,343,1,105
Portland Trail Blazers,17,343,1,-135
Utah Jazz,14,325,1,110
Portland Trail Blazers,17,325,1,-145
Utah Jazz,14,323,1,110
Portland Trail Blazers,17,323,1,-145
Utah Jazz,14,321,1,110
Portland Trail Blazers,17,321,1,-145
Utah Jazz,17,302,1,110
Portland Trail Blazers,17,302,1,-145
Utah Jazz,17,290,1,105
Portland Trail Blazers,17,290,1,-135
Utah Jazz,17,279,1,-110
Portland Trail Blazers,17,279,1,-120
Utah Jazz,17,271,1,-125
Portland Trail Blazers,17,271,1,-105
Utah Jazz,19,259,1,-115
Portland Trail Blazers,17,259,1,-115
Utah Jazz,19,258,1,-125
Portland Trail Blazers,17,258,1,-105
Utah Jazz,19,237,1,-135
Portland Trail Blazers,19,237,1,105
Utah Jazz,22,219,1,-135
Portland Trail Blazers,19,219,1,105
Utah Jazz,25,203,1,-125
Portland Trail Blazers,19,203,1,-105
Utah Jazz,25,184,1,-135
Portland Trail Blazers,19,184,1,105
Utah Jazz,25,171,1,-185
Portland Trail Blazers,19,171,1,140
Utah Jazz,25,171,1,-185
Portland Trail Blazers,19,171,1,140
Utah Jazz,25,171,1,-185
Portland Trail Blazers,19,171,1,140
Utah Jazz,25,171,1,-175
Portland Trail Blazers,19,171,1,130
Utah Jazz,25,166,1,-180
Portland Trail Blazers,20,166,1,135
Utah Jazz,25,147,1,-175
Portland Trail Blazers,20,147,1,130
Utah Jazz,25,130,1,-180
Portland Trail Blazers,20,130,1,135
Utah Jazz,28,113,1,-175
Portland Trail Blazers,20,113,1,130
Utah Jazz,28,95,1,-175
Portland Trail Blazers,22,95,1,130
Utah Jazz,30,75,1,-200
Portland Trail Blazers,22,75,1,150
Utah Jazz,30,68,1,-230
Portland Trail Blazers,22,68,1,170
Utah Jazz,30,63,1,-220
Portland Trail Blazers,22,63,1,165
Utah Jazz,32,53,1,-230
Portland Trail Blazers,22,53,1,175
Utah Jazz,32,37,1,-280
Portland Trail Blazers,22,37,1,210
Utah Jazz,32,17,1,-280
Portland Trail Blazers,22,17,1,210
Utah Jazz,32,5,1,-230
Portland Trail Blazers,25,5,1,175
Utah Jazz,32,720,2,-300
Portland Trail Blazers,25,720,2,210
Utah Jazz,32,720,2,-220
Portland Trail Blazers,25,720,2,165
Utah Jazz,32,720,2,-220
Portland Trail Blazers,25,720,2,165
Utah Jazz,32,720,2,-220
Portland Trail Blazers,25,720,2,165
Utah Jazz,32,720,2,-220
Portland Trail Blazers,25,720,2,165
Utah Jazz,32,720,2,-220
Portland Trail Blazers,25,720,2,165
Utah Jazz,32,720,2,-220
Portland Trail Blazers,25,720,2,165
Utah Jazz,32,720,2,-245
Portland Trail Blazers,25,720,2,180
Utah Jazz,32,720,2,-220
Portland Trail Blazers,25,720,2,165
Utah Jazz,32,720,2,-220
Portland Trail Blazers,25,720,2,165
Utah Jazz,32,715,2,-220
Portland Trail Blazers,25,715,2,165
Utah Jazz,32,699,2,-220
Portland Trail Blazers,25,699,2,165
Utah Jazz,34,680,2,-220
Portland Trail Blazers,25,680,2,165
Utah Jazz,34,660,2,-275
Portland Trail Blazers,27,660,2,200
Utah Jazz,34,641,2,-230
Portland Trail Blazers,27,641,2,170
Utah Jazz,34,625,2,-230
Portland Trail Blazers,29,625,2,170
Utah Jazz,37,609,2,-245
Portland Trail Blazers,29,609,2,180
Utah Jazz,37,589,2,-210
Portland Trail Blazers,29,589,2,155
Utah Jazz,37,583,2,-245
Portland Trail Blazers,29,583,2,180
Utah Jazz,38,583,2,-245
Portland Trail Blazers,29,583,2,180
Utah Jazz,39,583,2,-280
Portland Trail Blazers,29,583,2,205
Utah Jazz,39,560,2,-280
Portland Trail Blazers,29,560,2,210
Utah Jazz,42,547,2,-300
Portland Trail Blazers,29,547,2,215
Utah Jazz,42,547,2,-450
Portland Trail Blazers,29,547,2,295
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,547,2,-380
Portland Trail Blazers,29,547,2,265
Utah Jazz,42,533,2,-380
Portland Trail Blazers,29,533,2,265
Utah Jazz,42,515,2,-380
Portland Trail Blazers,31,515,2,265
Utah Jazz,44,496,2,-350
Portland Trail Blazers,31,496,2,245
Utah Jazz,47,475,2,-450
Portland Trail Blazers,31,475,2,300
Utah Jazz,47,455,2,-360
Portland Trail Blazers,31,455,2,250
Utah Jazz,47,437,2,-700
Portland Trail Blazers,31,437,2,400
Utah Jazz,47,437,2,-750
Portland Trail Blazers,31,437,2,425
Utah Jazz,47,437,2,-750
Portland Trail Blazers,32,437,2,425
Utah Jazz,47,437,2,-700
Portland Trail Blazers,32,437,2,400
Utah Jazz,47,431,2,-650
Portland Trail Blazers,33,431,2,385
Utah Jazz,47,418,2,-550
Portland Trail Blazers,33,418,2,350
Utah Jazz,47,428,2,-550
Portland Trail Blazers,33,428,2,350
Utah Jazz,49,411,2,-550
Portland Trail Blazers,33,411,2,350
Utah Jazz,49,403,2,-750
Portland Trail Blazers,33,403,2,425
Utah Jazz,52,387,2,-750
Portland Trail Blazers,33,387,2,450
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,700
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,675
Utah Jazz,52,387,2,-1600
Portland Trail Blazers,33,387,2,675
Utah Jazz,52,387,2,-1400
