0,1,2,3,4
Washington Wizards,0,-1,0,250
Philadelphia 76ers,0,-1,0,-300
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,720,1,260
Philadelphia 76ers,0,720,1,-370
Washington Wizards,0,714,1,260
Philadelphia 76ers,0,714,1,-370
Washington Wizards,0,696,1,260
Philadelphia 76ers,0,696,1,-370
Washington Wizards,2,672,1,260
Philadelphia 76ers,0,672,1,-370
Washington Wizards,4,666,1,260
Philadelphia 76ers,0,666,1,-370
Washington Wizards,4,650,1,265
Philadelphia 76ers,0,650,1,-370
Washington Wizards,4,627,1,260
Philadelphia 76ers,2,627,1,-370
Washington Wizards,4,627,1,260
Philadelphia 76ers,2,627,1,-370
Washington Wizards,4,612,1,265
Philadelphia 76ers,2,612,1,-370
Washington Wizards,4,588,1,265
Philadelphia 76ers,4,588,1,-370
Washington Wizards,7,567,1,245
Philadelphia 76ers,6,567,1,-350
Washington Wizards,7,545,1,260
Philadelphia 76ers,8,545,1,-370
Washington Wizards,11,514,1,245
Philadelphia 76ers,10,514,1,-350
Washington Wizards,11,495,1,245
Philadelphia 76ers,10,495,1,-350
Washington Wizards,11,469,1,245
Philadelphia 76ers,12,469,1,-350
Washington Wizards,11,445,1,235
Philadelphia 76ers,14,445,1,-330
Washington Wizards,11,433,1,250
Philadelphia 76ers,14,433,1,-360
Washington Wizards,14,410,1,250
Philadelphia 76ers,14,410,1,-360
Washington Wizards,16,394,1,250
Philadelphia 76ers,14,394,1,-360
Washington Wizards,16,402,1,250
Philadelphia 76ers,14,402,1,-360
Washington Wizards,16,402,1,250
Philadelphia 76ers,14,402,1,-360
Washington Wizards,16,402,1,250
Philadelphia 76ers,14,402,1,-360
Washington Wizards,16,402,1,250
Philadelphia 76ers,14,402,1,-360
Washington Wizards,16,402,1,250
Philadelphia 76ers,14,402,1,-360
Washington Wizards,16,402,1,250
Philadelphia 76ers,14,402,1,-360
Washington Wizards,16,402,1,250
Philadelphia 76ers,14,402,1,-360
Washington Wizards,16,373,1,250
Philadelphia 76ers,14,373,1,-360
Washington Wizards,18,344,1,235
Philadelphia 76ers,14,344,1,-330
Washington Wizards,18,343,1,230
Philadelphia 76ers,14,343,1,-320
Washington Wizards,20,312,1,225
Philadelphia 76ers,14,312,1,-320
Washington Wizards,20,308,1,210
Philadelphia 76ers,14,308,1,-280
Washington Wizards,20,289,1,210
Philadelphia 76ers,16,289,1,-280
Washington Wizards,22,273,1,215
Philadelphia 76ers,16,273,1,-300
Washington Wizards,22,273,1,210
Philadelphia 76ers,16,273,1,-280
Washington Wizards,22,273,1,220
Philadelphia 76ers,16,273,1,-300
Washington Wizards,24,253,1,210
Philadelphia 76ers,18,253,1,-290
Washington Wizards,24,237,1,200
Philadelphia 76ers,18,237,1,-275
Washington Wizards,24,215,1,200
Philadelphia 76ers,20,215,1,-275
Washington Wizards,24,214,1,205
Philadelphia 76ers,20,214,1,-275
Washington Wizards,24,214,1,215
Philadelphia 76ers,20,214,1,-300
Washington Wizards,24,214,1,210
Philadelphia 76ers,20,214,1,-300
Washington Wizards,24,214,1,210
Philadelphia 76ers,20,214,1,-300
Washington Wizards,24,214,1,210
Philadelphia 76ers,20,214,1,-300
Washington Wizards,24,214,1,210
Philadelphia 76ers,20,214,1,-300
Washington Wizards,24,214,1,210
Philadelphia 76ers,20,214,1,-300
Washington Wizards,24,214,1,210
Philadelphia 76ers,20,214,1,-300
Washington Wizards,24,190,1,220
Philadelphia 76ers,20,190,1,-300
Washington Wizards,26,161,1,220
Philadelphia 76ers,20,161,1,-300
Washington Wizards,26,149,1,190
Philadelphia 76ers,20,149,1,-260
Washington Wizards,26,135,1,190
Philadelphia 76ers,22,135,1,-260
Washington Wizards,26,100,1,185
Philadelphia 76ers,22,100,1,-250
Washington Wizards,26,66,1,205
Philadelphia 76ers,25,66,1,-280
Washington Wizards,26,67,1,205
Philadelphia 76ers,25,67,1,-280
Washington Wizards,26,62,1,225
Philadelphia 76ers,25,62,1,-300
Washington Wizards,26,38,1,225
Philadelphia 76ers,25,38,1,-300
Washington Wizards,26,20,1,225
Philadelphia 76ers,30,20,1,-300
Washington Wizards,26,4,1,275
Philadelphia 76ers,30,4,1,-400
Washington Wizards,26,720,2,275
Philadelphia 76ers,30,720,2,-400
Washington Wizards,26,720,2,245
Philadelphia 76ers,30,720,2,-350
Washington Wizards,26,720,2,285
Philadelphia 76ers,30,720,2,-425
Washington Wizards,26,720,2,285
Philadelphia 76ers,30,720,2,-425
Washington Wizards,26,720,2,285
Philadelphia 76ers,30,720,2,-425
Washington Wizards,26,720,2,285
Philadelphia 76ers,30,720,2,-425
Washington Wizards,26,720,2,285
Philadelphia 76ers,30,720,2,-425
Washington Wizards,26,716,2,285
Philadelphia 76ers,30,716,2,-425
Washington Wizards,26,692,2,285
Philadelphia 76ers,33,692,2,-425
