Houston Rockets,0,720,1,245
Portland Trail Blazers,0,720,1,-350
Houston Rockets,0,700,1,245
Portland Trail Blazers,0,700,1,-350
Houston Rockets,2,681,1,245
Portland Trail Blazers,0,681,1,-350
Houston Rockets,2,664,1,245
Portland Trail Blazers,0,664,1,-350
Houston Rockets,4,644,1,260
Portland Trail Blazers,0,644,1,-370
Houston Rockets,4,624,1,245
Portland Trail Blazers,0,624,1,-350
Houston Rockets,4,606,1,250
Portland Trail Blazers,0,606,1,-360
Houston Rockets,4,591,1,260
Portland Trail Blazers,5,591,1,-360
Houston Rockets,4,574,1,235
Portland Trail Blazers,5,574,1,-330
Houston Rockets,4,559,1,245
Portland Trail Blazers,8,559,1,-330
Houston Rockets,4,548,1,245
Portland Trail Blazers,8,548,1,-330
Houston Rockets,4,530,1,260
Portland Trail Blazers,8,530,1,-370
Houston Rockets,6,509,1,260
Portland Trail Blazers,10,509,1,-370
Houston Rockets,6,492,1,255
Portland Trail Blazers,10,492,1,-370
Houston Rockets,6,489,1,260
Portland Trail Blazers,10,489,1,-370
Houston Rockets,6,469,1,260
Portland Trail Blazers,10,469,1,-370
Houston Rockets,6,453,1,260
Portland Trail Blazers,12,453,1,-370
Houston Rockets,6,453,1,265
Portland Trail Blazers,12,453,1,-370
Houston Rockets,6,453,1,265
Portland Trail Blazers,12,453,1,-370
Houston Rockets,6,453,1,265
Portland Trail Blazers,12,453,1,-370
Houston Rockets,6,453,1,265
Portland Trail Blazers,12,453,1,-370
Houston Rockets,6,453,1,265
Portland Trail Blazers,12,453,1,-370
Houston Rockets,26,45,1,225
Portland Trail Blazers,27,45,1,-310
Houston Rockets,26,45,1,230
Portland Trail Blazers,27,45,1,-330
Houston Rockets,26,36,1,230
Portland Trail Blazers,27,36,1,-330
Houston Rockets,29,26,1,230
Portland Trail Blazers,27,26,1,-330
Houston Rockets,29,24,1,215
Portland Trail Blazers,27,24,1,-300
Houston Rockets,29,7,1,215
Portland Trail Blazers,27,7,1,-300
Houston Rockets,29,0,1,205
Portland Trail Blazers,27,0,1,-280
Houston Rockets,30,1,1,175
Portland Trail Blazers,27,1,1,-240
Houston Rockets,30,1,1,180
Portland Trail Blazers,27,1,1,-240
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,720,2,185
Portland Trail Blazers,27,720,2,-250
Houston Rockets,31,711,2,185
Portland Trail Blazers,27,711,2,-250
Houston Rockets,33,695,2,185
Portland Trail Blazers,27,695,2,-250
Houston Rockets,33,677,2,165
Portland Trail Blazers,27,677,2,-220
Houston Rockets,33,660,2,165
Portland Trail Blazers,27,660,2,-220
Houston Rockets,33,656,2,160
Portland Trail Blazers,27,656,2,-215
Houston Rockets,33,647,2,160
Portland Trail Blazers,27,647,2,-215
Houston Rockets,33,647,2,175
Portland Trail Blazers,28,647,2,-240
Houston Rockets,33,645,2,175
Portland Trail Blazers,28,645,2,-240
Houston Rockets,33,626,2,165
Portland Trail Blazers,30,626,2,-220
Houston Rockets,33,609,2,170
Portland Trail Blazers,30,609,2,-230
Houston Rockets,33,609,2,175
Portland Trail Blazers,30,609,2,-230
Houston Rockets,34,609,2,165
Portland Trail Blazers,30,609,2,-220
Houston Rockets,35,608,2,165
Portland Trail Blazers,30,608,2,-220
Houston Rockets,35,600,2,170
Portland Trail Blazers,30,600,2,-230
Houston Rockets,35,600,2,175
Portland Trail Blazers,30,600,2,-230
Houston Rockets,35,590,2,175
Portland Trail Blazers,30,590,2,-230
Houston Rockets,35,583,2,190
Portland Trail Blazers,30,583,2,-260
Houston Rockets,35,578,2,190
Portland Trail Blazers,30,578,2,-260
Houston Rockets,35,573,2,215
Portland Trail Blazers,30,573,2,-300
Houston Rockets,35,558,2,200
Portland Trail Blazers,30,558,2,-275
Houston Rockets,35,558,2,200
Portland Trail Blazers,30,558,2,-275
Houston Rockets,35,555,2,200
Portland Trail Blazers,30,555,2,-275
Houston Rockets,37,538,2,200
Portland Trail Blazers,30,538,2,-275
Houston Rockets,37,534,2,180
Portland Trail Blazers,30,534,2,-245
Houston Rockets,37,523,2,160
Portland Trail Blazers,30,523,2,-215
Houston Rockets,37,523,2,150
Portland Trail Blazers,30,523,2,-200
Houston Rockets,37,523,2,150
Portland Trail Blazers,30,523,2,-200
Houston Rockets,38,511,2,160
Portland Trail Blazers,30,511,2,-215
Houston Rockets,38,504,2,160
Portland Trail Blazers,30,504,2,-215
Houston Rockets,40,492,2,140
Portland Trail Blazers,30,492,2,-185
Houston Rockets,40,485,2,140
Portland Trail Blazers,30,485,2,-185
Houston Rockets,40,485,2,-105
Portland Trail Blazers,30,485,2,-125
Houston Rockets,40,485,2,-105
Portland Trail Blazers,30,485,2,-125
Houston Rockets,40,485,2,-105
Portland Trail Blazers,30,485,2,-125
Houston Rockets,40,485,2,-105
Portland Trail Blazers,30,485,2,-125
Houston Rockets,40,485,2,-105
Portland Trail Blazers,30,485,2,-125
Houston Rockets,40,485,2,-105
Portland Trail Blazers,30,485,2,-125
Houston Rockets,40,485,2,-105
