Portland Trail Blazers,0,-1,0,115,-110,2.5,A
Washington Wizards,0,-1,0,-135,-110,-2.5,H
Portland Trail Blazers,0,720,1,125,-120,3.5,A
Washington Wizards,0,720,1,-165,-110,-3.5,H
Portland Trail Blazers,0,720,1,125,-120,3.5,A
Washington Wizards,0,720,1,-165,-110,-3.5,H
Portland Trail Blazers,0,720,1,125,-120,3.5,A
Washington Wizards,0,720,1,-165,-110,-3.5,H
Portland Trail Blazers,0,720,1,125,-120,3.5,A
Washington Wizards,0,720,1,-165,-110,-3.5,H
Portland Trail Blazers,0,720,1,125,-120,3.5,A
Washington Wizards,0,720,1,-165,-110,-3.5,H
Portland Trail Blazers,0,720,1,125,-120,3.5,A
Washington Wizards,0,720,1,-165,-110,-3.5,H
Portland Trail Blazers,0,720,1,125,-120,3.5,A
Washington Wizards,0,720,1,-165,-110,-3.5,H
Portland Trail Blazers,0,696,1,125,-120,3.5,A
Washington Wizards,0,696,1,-165,-110,-3.5,H
Portland Trail Blazers,0,691,1,125,-110,2.5,A
Washington Wizards,0,691,1,-165,-120,-2.5,H
Portland Trail Blazers,0,682,1,125,-120,3.5,A
Washington Wizards,2,682,1,-165,-110,-3.5,H
Portland Trail Blazers,0,673,1,140,-115,3.5,A
Washington Wizards,3,673,1,-185,-115,-3.5,H
Portland Trail Blazers,3,649,1,140,-115,3.5,A
Washington Wizards,3,649,1,-185,-115,-3.5,H
Portland Trail Blazers,3,631,1,140,-115,3.5,A
Washington Wizards,3,631,1,-185,-115,-3.5,H
Portland Trail Blazers,3,631,1,125,-110,2.5,A
Washington Wizards,3,631,1,-165,-120,-2.5,H
Portland Trail Blazers,6,614,1,125,-110,2.5,A
Washington Wizards,3,614,1,-165,-120,-2.5,H
Portland Trail Blazers,6,592,1,110,-120,2.5,A
Washington Wizards,3,592,1,-150,-110,-2.5,H
Portland Trail Blazers,8,574,1,110,-120,2.5,A
Washington Wizards,5,574,1,-145,-110,-2.5,H
Portland Trail Blazers,8,565,1,110,-120,2.5,A
Washington Wizards,5,565,1,-150,-110,-2.5,H
Portland Trail Blazers,8,551,1,110,-110,1.5,A
Washington Wizards,5,551,1,-145,-120,-1.5,H
Portland Trail Blazers,8,534,1,110,-120,2.5,A
Washington Wizards,7,534,1,-150,-110,-2.5,H
Portland Trail Blazers,11,515,1,110,-110,1.5,A
Washington Wizards,7,515,1,-145,-120,-1.5,H
Portland Trail Blazers,11,500,1,115,-115,2.5,A
Washington Wizards,7,500,1,-155,-115,-2.5,H
Portland Trail Blazers,11,487,1,105,-115,1.5,A
Washington Wizards,7,487,1,-135,-115,-1.5,H
Portland Trail Blazers,11,487,1,105,-115,1.5,A
Washington Wizards,7,487,1,-135,-115,-1.5,H
Portland Trail Blazers,12,487,1,-105,-120,1.5,A
Washington Wizards,7,487,1,-125,-110,-1.5,H
Portland Trail Blazers,13,471,1,-105,-120,1.5,A
Washington Wizards,7,471,1,-125,-110,-1.5,H
Portland Trail Blazers,16,468,1,-105,-120,1.5,A
Washington Wizards,7,468,1,-125,-110,-1.5,H
Portland Trail Blazers,16,471,1,-115,100,-1.5,A
Washington Wizards,7,471,1,-115,-130,1.5,H
Portland Trail Blazers,16,471,1,-115,100,-1.5,A
Washington Wizards,7,471,1,-115,-130,1.5,H
Portland Trail Blazers,16,471,1,-115,100,-1.5,A
Washington Wizards,7,471,1,-115,-130,1.5,H
Portland Trail Blazers,16,471,1,-115,100,-1.5,A
Washington Wizards,7,471,1,-115,-130,1.5,H
Portland Trail Blazers,16,471,1,-115,100,-1.5,A
Washington Wizards,7,471,1,-115,-130,1.5,H
Portland Trail Blazers,16,471,1,-115,100,-1.5,A
Washington Wizards,7,471,1,-115,-130,1.5,H
Portland Trail Blazers,16,471,1,-160,-115,-2.5,A
Washington Wizards,7,471,1,120,-115,2.5,H
Portland Trail Blazers,16,470,1,-160,-115,-2.5,A
Washington Wizards,7,470,1,120,-115,2.5,H
Portland Trail Blazers,16,449,1,-160,-115,-2.5,A
Washington Wizards,7,449,1,120,-115,2.5,H
Portland Trail Blazers,18,427,1,-175,-120,-2.5,A
Washington Wizards,7,427,1,130,-110,2.5,H
Portland Trail Blazers,18,426,1,-190,-115,-3.5,A
Washington Wizards,7,426,1,145,-115,3.5,H
Portland Trail Blazers,18,413,1,-210,-120,-3.5,A
Washington Wizards,7,413,1,155,-110,3.5,H
Portland Trail Blazers,18,413,1,-215,-110,-4.5,A
