Minnesota Timberwolves,0,-1,0,-110,-110,0.0,A
Oklahoma City Thunder,0,-1,0,-110,-110,0.0,H
Minnesota Timberwolves,0,656,1,-130,-115,-1.5,A
Oklahoma City Thunder,6,656,1,100,-115,1.5,H
Minnesota Timberwolves,0,637,1,-120,-105,-1.5,A
Oklahoma City Thunder,8,637,1,-110,-125,1.5,H
Minnesota Timberwolves,2,623,1,-120,100,-1.5,A
Oklahoma City Thunder,8,623,1,-110,-130,1.5,H
Minnesota Timberwolves,2,599,1,-120,-105,-1.5,A
Oklahoma City Thunder,8,599,1,-110,-130,1.5,H
Minnesota Timberwolves,2,599,1,-130,-110,-1.5,A
Oklahoma City Thunder,8,599,1,100,-120,1.5,H
Minnesota Timberwolves,4,599,1,-130,-110,-1.5,A
Oklahoma City Thunder,8,599,1,100,-120,1.5,H
Minnesota Timberwolves,6,575,1,-130,-110,-1.5,A
Oklahoma City Thunder,8,575,1,100,-120,1.5,H
Minnesota Timberwolves,6,558,1,-130,-115,-1.5,A
Oklahoma City Thunder,8,558,1,100,-115,1.5,H
Minnesota Timberwolves,6,558,1,-135,-120,-1.5,A
Oklahoma City Thunder,8,558,1,105,-110,1.5,H
Minnesota Timberwolves,6,536,1,-135,-120,-1.5,A
Oklahoma City Thunder,8,536,1,105,-110,1.5,H
Minnesota Timberwolves,8,518,1,-145,-120,-1.5,A
Oklahoma City Thunder,10,518,1,110,-110,1.5,H
Minnesota Timberwolves,8,503,1,-150,-115,-2.5,A
Oklahoma City Thunder,10,503,1,110,-115,2.5,H
Minnesota Timberwolves,10,489,1,-150,-120,-1.5,A
Oklahoma City Thunder,10,489,1,110,-110,1.5,H
Minnesota Timberwolves,10,469,1,-150,-120,-1.5,A
Oklahoma City Thunder,10,469,1,110,-110,1.5,H
Minnesota Timberwolves,13,449,1,-150,-115,-2.5,A
Oklahoma City Thunder,10,449,1,110,-115,2.5,H
Minnesota Timberwolves,13,446,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,446,1,130,-120,3.5,H
Minnesota Timberwolves,13,446,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,446,1,130,-120,3.5,H
Minnesota Timberwolves,13,446,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,446,1,130,-120,3.5,H
Minnesota Timberwolves,13,446,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,446,1,130,-120,3.5,H
Minnesota Timberwolves,13,446,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,446,1,130,-120,3.5,H
Minnesota Timberwolves,13,446,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,446,1,130,-120,3.5,H
Minnesota Timberwolves,13,446,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,446,1,130,-120,3.5,H
Minnesota Timberwolves,13,446,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,446,1,130,-120,3.5,H
Minnesota Timberwolves,13,436,1,-175,-110,-3.5,A
Oklahoma City Thunder,10,436,1,130,-120,3.5,H
Minnesota Timberwolves,13,420,1,-175,-110,-3.5,A
Oklahoma City Thunder,12,420,1,130,-120,3.5,H
Minnesota Timberwolves,13,400,1,-150,-110,-2.5,A
Oklahoma City Thunder,14,400,1,110,-120,2.5,H
Minnesota Timberwolves,13,384,1,-150,-110,-2.5,A
Oklahoma City Thunder,14,384,1,110,-120,2.5,H
Minnesota Timberwolves,13,363,1,-145,-110,-2.5,A
Oklahoma City Thunder,14,363,1,110,-120,2.5,H
Minnesota Timberwolves,13,352,1,-145,-110,-2.5,A
Oklahoma City Thunder,14,352,1,110,-120,2.5,H
Minnesota Timberwolves,13,347,1,-145,-120,-1.5,A
Oklahoma City Thunder,14,347,1,110,-110,1.5,H
Minnesota Timberwolves,15,325,1,-145,-120,-1.5,A
Oklahoma City Thunder,17,325,1,110,-110,1.5,H
Minnesota Timberwolves,15,312,1,-145,-120,-1.5,A
Oklahoma City Thunder,17,312,1,110,-110,1.5,H
Minnesota Timberwolves,15,312,1,-145,-120,-1.5,A
Oklahoma City Thunder,17,312,1,110,-110,1.5,H
Minnesota Timberwolves,15,311,1,-145,-120,-1.5,A
Oklahoma City Thunder,17,311,1,110,-110,1.5,H
Minnesota Timberwolves,15,311,1,-145,-120,-1.5,A
Oklahoma City Thunder,17,311,1,110,-110,1.5,H
Minnesota Timberwolves,15,293,1,-145,-120,-1.5,A
Oklahoma City Thunder,17,293,1,110,-110,1.5,H
Minnesota Timberwolves,15,286,1,-135,-115,-1.5,A
Oklahoma City Thunder,17,286,1,105,-115,1.5,H
Minnesota Timberwolves,18,264,1,-135,-120,-1.5,A
Oklahoma City Thunder,17,264,1,105,-110,1.5,H
Minnesota Timberwolves,18,252,1,-160,-115,-2.5,A
Oklahoma City Thunder,17,252,1,120,-115,2.5,H
Minnesota Timberwolves,18,243,1,-135,-120,-1.5,A
Oklahoma City Thunder,17,243,1,105,-110,1.5,H
Minnesota Timberwolves,20,225,1,-160,-115,-2.5,A
Oklahoma City Thunder,17,225,1,120,-115,2.5,H
Minnesota Timberwolves,20,203,1,-165,-120,-2.5,A
Oklahoma City Thunder,17,203,1,125,-110,2.5,H
Minnesota Timberwolves,20,181,1,-185,-115,-3.5,A
Oklahoma City Thunder,20,181,1,140,-115,3.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,164,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,164,1,105,-115,1.5,H
Minnesota Timberwolves,20,143,1,-135,-115,-1.5,A
Oklahoma City Thunder,22,143,1,105,-115,1.5,H
Minnesota Timberwolves,20,143,1,-130,-115,-1.5,A
Oklahoma City Thunder,22,143,1,100,-115,1.5,H
Minnesota Timberwolves,20,133,1,-125,-110,-1.5,A
Oklahoma City Thunder,23,133,1,-105,-125,1.5,H
Minnesota Timberwolves,20,112,1,-125,-110,-1.5,A
Oklahoma City Thunder,23,112,1,-105,-125,1.5,H
Minnesota Timberwolves,20,101,1,-130,-110,-1.5,A
Oklahoma City Thunder,23,101,1,100,-125,1.5,H
Minnesota Timberwolves,20,94,1,-120,-105,-1.5,A
Oklahoma City Thunder,23,94,1,-110,-125,1.5,H
Minnesota Timberwolves,20,73,1,-120,-105,-1.5,A
Oklahoma City Thunder,23,73,1,-110,-125,1.5,H
Minnesota Timberwolves,22,67,1,-125,-110,-1.5,A
Oklahoma City Thunder,23,67,1,-105,-125,1.5,H
Minnesota Timberwolves,23,67,1,-145,-110,-2.5,A
Oklahoma City Thunder,23,67,1,110,-120,2.5,H
Minnesota Timberwolves,23,60,1,-155,-115,-2.5,A
Oklahoma City Thunder,23,60,1,115,-115,2.5,H
Minnesota Timberwolves,23,32,1,-155,-115,-2.5,A
Oklahoma City Thunder,23,32,1,115,-115,2.5,H
Minnesota Timberwolves,23,10,1,-150,-115,-2.5,A
Oklahoma City Thunder,23,10,1,110,-115,2.5,H
Minnesota Timberwolves,23,9,1,-155,-115,-2.5,A
Oklahoma City Thunder,23,9,1,115,-115,2.5,H
Minnesota Timberwolves,23,9,1,-155,-115,-2.5,A
Oklahoma City Thunder,23,9,1,115,-115,2.5,H
Minnesota Timberwolves,25,0,1,-150,-110,-2.5,A
