Sacramento Kings,0,-1,0,285,-110,8.5,A
Los Angeles Clippers,0,-1,0,-370,-110,-8.5,H
Sacramento Kings,0,717,1,275,-105,7.5,A
Los Angeles Clippers,0,717,1,-400,-125,-7.5,H
Sacramento Kings,2,658,1,275,-105,7.5,A
Los Angeles Clippers,3,658,1,-400,-125,-7.5,H
Sacramento Kings,4,640,1,275,-115,8.5,A
Los Angeles Clippers,3,640,1,-400,-115,-8.5,H
Sacramento Kings,4,614,1,315,-110,7.5,A
Los Angeles Clippers,3,614,1,-475,-120,-7.5,H
Sacramento Kings,4,591,1,315,-115,7.5,A
Los Angeles Clippers,3,591,1,-475,-115,-7.5,H
Sacramento Kings,4,591,1,315,-115,7.5,A
Los Angeles Clippers,3,591,1,-475,-115,-7.5,H
Sacramento Kings,4,564,1,300,-115,7.5,A
Los Angeles Clippers,3,564,1,-475,-115,-7.5,H
Sacramento Kings,6,543,1,315,-115,7.5,A
Los Angeles Clippers,5,543,1,-475,-115,-7.5,H
Sacramento Kings,6,520,1,285,-110,7.5,A
Los Angeles Clippers,8,520,1,-425,-120,-7.5,H
Sacramento Kings,6,502,1,315,-115,7.5,A
Los Angeles Clippers,8,502,1,-475,-115,-7.5,H
Sacramento Kings,6,502,1,275,-110,7.5,A
Los Angeles Clippers,8,502,1,-400,-120,-7.5,H
Sacramento Kings,6,491,1,300,-120,8.5,A
Los Angeles Clippers,8,491,1,-450,-110,-8.5,H
Sacramento Kings,8,470,1,275,-110,7.5,A
Los Angeles Clippers,8,470,1,-400,-120,-7.5,H
Sacramento Kings,10,452,1,275,-110,7.5,A
Los Angeles Clippers,8,452,1,-400,-120,-7.5,H
Sacramento Kings,10,427,1,275,-110,7.5,A
Los Angeles Clippers,8,427,1,-400,-120,-7.5,H
Sacramento Kings,10,408,1,295,-120,7.5,A
Los Angeles Clippers,8,408,1,-400,-110,-7.5,H
Sacramento Kings,10,382,1,275,-110,6.5,A
Los Angeles Clippers,10,382,1,-400,-120,-6.5,H
Sacramento Kings,12,362,1,285,-105,6.5,A
Los Angeles Clippers,10,362,1,-425,-125,-6.5,H
Sacramento Kings,14,340,1,285,-110,6.5,A
Los Angeles Clippers,10,340,1,-425,-120,-6.5,H
Sacramento Kings,14,340,1,265,-115,6.5,A
Los Angeles Clippers,10,340,1,-380,-115,-6.5,H
Sacramento Kings,14,340,1,250,-120,6.5,A
Los Angeles Clippers,10,340,1,-360,-110,-6.5,H
Sacramento Kings,14,340,1,250,-120,6.5,A
Los Angeles Clippers,10,340,1,-360,-110,-6.5,H
Sacramento Kings,14,340,1,250,-120,6.5,A
Los Angeles Clippers,10,340,1,-360,-110,-6.5,H
Sacramento Kings,14,340,1,250,-120,6.5,A
Los Angeles Clippers,10,340,1,-360,-110,-6.5,H
Sacramento Kings,14,340,1,250,-120,6.5,A
Los Angeles Clippers,10,340,1,-360,-110,-6.5,H
Sacramento Kings,14,340,1,250,-120,6.5,A
Los Angeles Clippers,10,340,1,-360,-110,-6.5,H
Sacramento Kings,14,340,1,250,-120,6.5,A
Los Angeles Clippers,10,340,1,-360,-110,-6.5,H
Sacramento Kings,14,338,1,250,-120,6.5,A
Los Angeles Clippers,10,338,1,-360,-110,-6.5,H
Sacramento Kings,14,315,1,250,-120,6.5,A
Los Angeles Clippers,12,315,1,-360,-110,-6.5,H
Sacramento Kings,14,315,1,245,-120,6.5,A
Los Angeles Clippers,12,315,1,-350,-110,-6.5,H
Sacramento Kings,14,301,1,275,-110,6.5,A
