Orlando Magic,0,-1,0,255,-110,8.0,A
Golden State Warriors,0,-1,0,-310,-110,-8.0,H
Orlando Magic,0,648,1,350,-120,9.5,A
Golden State Warriors,2,648,1,-550,-110,-9.5,H
Orlando Magic,2,630,1,350,-120,9.5,A
Golden State Warriors,2,630,1,-550,-110,-9.5,H
Orlando Magic,2,610,1,385,-110,8.5,A
Golden State Warriors,2,610,1,-650,-120,-8.5,H
Orlando Magic,2,609,1,385,-110,8.5,A
Golden State Warriors,2,609,1,-650,-120,-8.5,H
Orlando Magic,2,598,1,385,-110,8.5,A
Golden State Warriors,2,598,1,-650,-120,-8.5,H
Orlando Magic,2,593,1,385,-110,8.5,A
Golden State Warriors,2,593,1,-650,-120,-8.5,H
Orlando Magic,2,592,1,385,-110,8.5,A
Golden State Warriors,2,592,1,-650,-120,-8.5,H
Orlando Magic,2,579,1,385,-110,8.5,A
Golden State Warriors,5,579,1,-650,-120,-8.5,H
Orlando Magic,2,564,1,320,-120,9.5,A
Golden State Warriors,5,564,1,-475,-110,-9.5,H
Orlando Magic,2,546,1,350,-115,9.5,A
Golden State Warriors,5,546,1,-550,-115,-9.5,H
Orlando Magic,4,532,1,320,-120,9.5,A
Golden State Warriors,5,532,1,-475,-110,-9.5,H
Orlando Magic,4,516,1,385,-105,8.5,A
Golden State Warriors,7,516,1,-650,-125,-8.5,H
Orlando Magic,4,496,1,320,-120,9.5,A
Golden State Warriors,7,496,1,-475,-110,-9.5,H
Orlando Magic,4,492,1,350,-115,9.5,A
Golden State Warriors,7,492,1,-550,-115,-9.5,H
Orlando Magic,4,492,1,320,-120,9.5,A
Golden State Warriors,7,492,1,-475,-110,-9.5,H
Orlando Magic,4,473,1,320,-120,9.5,A
Golden State Warriors,7,473,1,-475,-110,-9.5,H
Orlando Magic,4,463,1,350,-115,9.5,A
Golden State Warriors,9,463,1,-550,-115,-9.5,H
Orlando Magic,4,463,1,350,-110,9.5,A
Golden State Warriors,9,463,1,-550,-120,-9.5,H
Orlando Magic,4,463,1,350,-110,9.5,A
Golden State Warriors,9,463,1,-550,-120,-9.5,H
Orlando Magic,4,463,1,385,-115,10.5,A
Golden State Warriors,9,463,1,-650,-115,-10.5,H
Orlando Magic,4,463,1,385,-115,10.5,A
Golden State Warriors,9,463,1,-650,-115,-10.5,H
Orlando Magic,4,463,1,385,-115,10.5,A
Golden State Warriors,9,463,1,-650,-115,-10.5,H
Orlando Magic,4,463,1,385,-115,10.5,A
Golden State Warriors,9,463,1,-650,-115,-10.5,H
Orlando Magic,4,463,1,385,-115,10.5,A
Golden State Warriors,9,463,1,-650,-115,-10.5,H
Orlando Magic,4,463,1,385,-115,10.5,A
Golden State Warriors,9,463,1,-650,-115,-10.5,H
Orlando Magic,4,463,1,385,-115,10.5,A
Golden State Warriors,9,463,1,-650,-115,-10.5,H
Orlando Magic,4,452,1,385,-115,10.5,A
Golden State Warriors,9,452,1,-650,-115,-10.5,H
Orlando Magic,4,435,1,385,-115,10.5,A
Golden State Warriors,9,435,1,-650,-115,-10.5,H
Orlando Magic,4,416,1,385,-115,10.5,A
Golden State Warriors,9,416,1,-650,-115,-10.5,H
