Cleveland Cavaliers,0,-1,0,150,-110,3.5,A
Portland Trail Blazers,0,-1,0,-170,-110,-3.5,H
Cleveland Cavaliers,0,-1,0,135,-115,3.5,A
Portland Trail Blazers,0,-1,0,-180,-115,-3.5,H
Cleveland Cavaliers,0,-1,0,135,-115,3.5,A
Portland Trail Blazers,0,-1,0,-180,-115,-3.5,H
Cleveland Cavaliers,0,-1,0,135,-115,3.5,A
Portland Trail Blazers,0,-1,0,-180,-115,-3.5,H
Cleveland Cavaliers,0,-1,0,135,-115,3.5,A
Portland Trail Blazers,0,-1,0,-180,-115,-3.5,H
Cleveland Cavaliers,0,-1,0,135,-115,3.5,A
Portland Trail Blazers,0,-1,0,-180,-115,-3.5,H
Cleveland Cavaliers,0,714,1,135,-115,3.5,A
Portland Trail Blazers,0,714,1,-180,-115,-3.5,H
Cleveland Cavaliers,0,693,1,135,-115,3.5,A
Portland Trail Blazers,0,693,1,-180,-115,-3.5,H
Cleveland Cavaliers,0,692,1,135,-115,3.5,A
Portland Trail Blazers,0,692,1,-180,-115,-3.5,H
Cleveland Cavaliers,0,676,1,135,-115,3.5,A
Portland Trail Blazers,0,676,1,-180,-115,-3.5,H
Cleveland Cavaliers,0,654,1,140,-115,3.5,A
Portland Trail Blazers,2,654,1,-185,-115,-3.5,H
Cleveland Cavaliers,2,634,1,145,-110,3.5,A
Portland Trail Blazers,2,634,1,-190,-120,-3.5,H
Cleveland Cavaliers,2,634,1,140,-115,3.5,A
Portland Trail Blazers,2,634,1,-185,-115,-3.5,H
Cleveland Cavaliers,2,634,1,155,-120,4.5,A
Portland Trail Blazers,5,634,1,-210,-110,-4.5,H
Cleveland Cavaliers,2,621,1,155,-120,4.5,A
Portland Trail Blazers,5,621,1,-210,-110,-4.5,H
Cleveland Cavaliers,2,614,1,155,-120,4.5,A
Portland Trail Blazers,5,614,1,-210,-110,-4.5,H
Cleveland Cavaliers,2,594,1,155,-120,4.5,A
Portland Trail Blazers,7,594,1,-210,-110,-4.5,H
Cleveland Cavaliers,2,581,1,160,-110,4.5,A
Portland Trail Blazers,9,581,1,-215,-120,-4.5,H
Cleveland Cavaliers,2,581,1,180,-115,5.5,A
Portland Trail Blazers,10,581,1,-245,-115,-5.5,H
Cleveland Cavaliers,4,560,1,170,-115,5.5,A
Portland Trail Blazers,10,560,1,-230,-115,-5.5,H
Cleveland Cavaliers,4,556,1,170,-115,5.5,A
Portland Trail Blazers,10,556,1,-230,-115,-5.5,H
Cleveland Cavaliers,4,556,1,185,-110,5.5,A
Portland Trail Blazers,11,556,1,-250,-120,-5.5,H
Cleveland Cavaliers,4,556,1,190,-110,5.5,A
Portland Trail Blazers,12,556,1,-250,-120,-5.5,H
Cleveland Cavaliers,4,537,1,190,-120,6.5,A
Portland Trail Blazers,12,537,1,-260,-110,-6.5,H
Cleveland Cavaliers,4,533,1,190,-120,6.5,A
Portland Trail Blazers,12,533,1,-260,-110,-6.5,H
Cleveland Cavaliers,4,519,1,200,-120,6.5,A
Portland Trail Blazers,12,519,1,-260,-110,-6.5,H
Cleveland Cavaliers,4,509,1,200,-115,6.5,A
Portland Trail Blazers,12,509,1,-275,-115,-6.5,H
Cleveland Cavaliers,4,504,1,220,-120,7.5,A
Portland Trail Blazers,14,504,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,504,1,220,-120,7.5,A
Portland Trail Blazers,14,504,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,504,1,220,-120,7.5,A
Portland Trail Blazers,14,504,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,504,1,220,-120,7.5,A
Portland Trail Blazers,14,504,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,504,1,220,-120,7.5,A
Portland Trail Blazers,14,504,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,504,1,220,-120,7.5,A
Portland Trail Blazers,14,504,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,504,1,220,-120,7.5,A
Portland Trail Blazers,14,504,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,504,1,220,-120,7.5,A
Portland Trail Blazers,14,504,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,508,1,220,-120,7.5,A
Portland Trail Blazers,14,508,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,495,1,220,-120,7.5,A
Portland Trail Blazers,14,495,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,477,1,220,-120,7.5,A
Portland Trail Blazers,16,477,1,-300,-110,-7.5,H
Cleveland Cavaliers,4,463,1,225,-115,7.5,A
Portland Trail Blazers,16,463,1,-300,-115,-7.5,H
Cleveland Cavaliers,4,448,1,260,-120,8.5,A
Portland Trail Blazers,16,448,1,-370,-110,-8.5,H
Cleveland Cavaliers,4,425,1,265,-115,8.5,A
Portland Trail Blazers,16,425,1,-400,-115,-8.5,H
Cleveland Cavaliers,4,420,1,265,-115,8.5,A
Portland Trail Blazers,16,420,1,-400,-115,-8.5,H
Cleveland Cavaliers,4,420,1,315,-110,9.5,A
Portland Trail Blazers,17,420,1,-450,-120,-9.5,H
Cleveland Cavaliers,4,420,1,320,-110,9.5,A
Portland Trail Blazers,17,420,1,-475,-120,-9.5,H
Cleveland Cavaliers,4,404,1,350,-115,10.5,A
Portland Trail Blazers,18,404,1,-550,-115,-10.5,H
Cleveland Cavaliers,4,389,1,350,-115,10.5,A
Portland Trail Blazers,20,389,1,-550,-115,-10.5,H
Cleveland Cavaliers,4,369,1,425,-110,11.5,A
Portland Trail Blazers,20,369,1,-750,-120,-11.5,H
Cleveland Cavaliers,4,369,1,425,-120,12.5,A
Portland Trail Blazers,20,369,1,-750,-110,-12.5,H
Cleveland Cavaliers,4,369,1,475,-120,13.5,A
Portland Trail Blazers,21,369,1,-900,-110,-13.5,H
Cleveland Cavaliers,4,367,1,475,-120,13.5,A
Portland Trail Blazers,22,367,1,-900,-110,-13.5,H
Cleveland Cavaliers,6,347,1,450,-120,12.5,A
Portland Trail Blazers,22,347,1,-800,-110,-12.5,H
Cleveland Cavaliers,6,333,1,450,-120,12.5,A
Portland Trail Blazers,22,333,1,-800,-110,-12.5,H
Cleveland Cavaliers,6,333,1,450,-120,12.5,A
Portland Trail Blazers,23,333,1,-800,-110,-12.5,H
Cleveland Cavaliers,6,333,1,500,-115,13.5,A
Portland Trail Blazers,23,333,1,-900,-115,-13.5,H
Cleveland Cavaliers,6,313,1,500,-115,13.5,A
Portland Trail Blazers,23,313,1,-900,-115,-13.5,H
Cleveland Cavaliers,8,293,1,475,-110,12.5,A
Portland Trail Blazers,23,293,1,-900,-120,-12.5,H
Cleveland Cavaliers,8,290,1,400,-115,11.5,A
Portland Trail Blazers,23,290,1,-700,-115,-11.5,H
Cleveland Cavaliers,8,268,1,400,-115,11.5,A
Portland Trail Blazers,23,268,1,-700,-115,-11.5,H
Cleveland Cavaliers,8,265,1,400,-115,11.5,A
Portland Trail Blazers,23,265,1,-700,-115,-11.5,H
Cleveland Cavaliers,10,262,1,385,-115,10.5,A
Portland Trail Blazers,23,262,1,-650,-115,-10.5,H
Cleveland Cavaliers,10,245,1,400,-115,11.5,A
Portland Trail Blazers,25,245,1,-700,-115,-11.5,H
Cleveland Cavaliers,12,227,1,400,-115,11.5,A
Portland Trail Blazers,25,227,1,-700,-115,-11.5,H
Cleveland Cavaliers,12,227,1,350,-115,10.5,A
Portland Trail Blazers,25,227,1,-550,-115,-10.5,H
Cleveland Cavaliers,12,227,1,350,-115,10.5,A
Portland Trail Blazers,26,227,1,-550,-115,-10.5,H
Cleveland Cavaliers,12,224,1,400,-120,11.5,A
Portland Trail Blazers,27,224,1,-700,-110,-11.5,H
Cleveland Cavaliers,12,211,1,400,-115,11.5,A
Portland Trail Blazers,27,211,1,-700,-115,-11.5,H
Cleveland Cavaliers,14,199,1,400,-115,11.5,A
Portland Trail Blazers,27,199,1,-700,-115,-11.5,H
Cleveland Cavaliers,14,182,1,400,-115,11.5,A
Portland Trail Blazers,29,182,1,-700,-115,-11.5,H
Cleveland Cavaliers,16,163,1,425,-115,11.5,A
Portland Trail Blazers,29,163,1,-750,-115,-11.5,H
Cleveland Cavaliers,16,143,1,350,-120,10.5,A
Portland Trail Blazers,29,143,1,-550,-110,-10.5,H
Cleveland Cavaliers,18,125,1,350,-115,10.5,A
Portland Trail Blazers,29,125,1,-550,-115,-10.5,H
Cleveland Cavaliers,18,125,1,315,-120,9.5,A
Portland Trail Blazers,29,125,1,-475,-110,-9.5,H
Cleveland Cavaliers,18,125,1,315,-120,9.5,A
Portland Trail Blazers,29,125,1,-475,-110,-9.5,H
Cleveland Cavaliers,18,125,1,315,-120,9.5,A
Portland Trail Blazers,29,125,1,-475,-110,-9.5,H
Cleveland Cavaliers,18,125,1,315,-120,9.5,A
