Brooklyn Nets,3,677,1,-180,-115,-3.5,A
Golden State Warriors,0,677,1,135,-115,3.5,H
Brooklyn Nets,3,669,1,-200,-110,-4.5,A
Golden State Warriors,0,669,1,150,-120,4.5,H
Brooklyn Nets,3,664,1,-200,-110,-4.5,A
Golden State Warriors,0,664,1,150,-120,4.5,H
Brooklyn Nets,5,641,1,-200,-110,-4.5,A
Golden State Warriors,0,641,1,150,-120,4.5,H
Brooklyn Nets,5,629,1,-215,-120,-4.5,A
Golden State Warriors,2,629,1,160,-110,4.5,H
Brooklyn Nets,5,617,1,-210,-115,-4.5,A
Golden State Warriors,2,617,1,155,-115,4.5,H
Brooklyn Nets,5,609,1,-200,-110,-4.5,A
Golden State Warriors,2,609,1,150,-120,4.5,H
Brooklyn Nets,5,609,1,-185,-115,-3.5,A
Golden State Warriors,3,609,1,140,-115,3.5,H
Brooklyn Nets,5,609,1,-185,-115,-3.5,A
Golden State Warriors,4,609,1,140,-115,3.5,H
Brooklyn Nets,5,593,1,-185,-115,-3.5,A
Golden State Warriors,5,593,1,140,-115,3.5,H
Brooklyn Nets,5,574,1,-185,-115,-3.5,A
Golden State Warriors,5,574,1,140,-115,3.5,H
Brooklyn Nets,5,576,1,-185,-115,-3.5,A
Golden State Warriors,5,576,1,140,-115,3.5,H
Brooklyn Nets,5,576,1,-175,-110,-3.5,A
Golden State Warriors,5,576,1,130,-120,3.5,H
Brooklyn Nets,5,567,1,-175,-110,-3.5,A
Golden State Warriors,5,567,1,130,-120,3.5,H
Brooklyn Nets,7,544,1,-165,-120,-2.5,A
Golden State Warriors,5,544,1,125,-110,2.5,H
Brooklyn Nets,7,519,1,-180,-115,-3.5,A
Golden State Warriors,8,519,1,135,-115,3.5,H
Brooklyn Nets,7,509,1,-175,-110,-3.5,A
Golden State Warriors,8,509,1,130,-120,3.5,H
Brooklyn Nets,7,489,1,-175,-110,-3.5,A
Golden State Warriors,8,489,1,130,-120,3.5,H
Brooklyn Nets,10,467,1,-165,-120,-2.5,A
Golden State Warriors,10,467,1,125,-110,2.5,H
Brooklyn Nets,10,450,1,-165,-120,-2.5,A
Golden State Warriors,12,450,1,125,-110,2.5,H
Brooklyn Nets,12,433,1,-165,-120,-2.5,A
Golden State Warriors,12,433,1,125,-110,2.5,H
Brooklyn Nets,14,413,1,-175,-110,-3.5,A
Golden State Warriors,12,413,1,130,-120,3.5,H
Brooklyn Nets,14,395,1,-190,-120,-3.5,A
Golden State Warriors,12,395,1,145,-110,3.5,H
Brooklyn Nets,16,378,1,-200,-110,-4.5,A
Golden State Warriors,12,378,1,150,-120,4.5,H
Brooklyn Nets,16,378,1,-200,-110,-4.5,A
Golden State Warriors,12,378,1,150,-120,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,378,1,-215,-115,-4.5,A
Golden State Warriors,12,378,1,160,-115,4.5,H
Brooklyn Nets,16,364,1,-215,-115,-4.5,A
Golden State Warriors,14,364,1,160,-115,4.5,H
Brooklyn Nets,18,345,1,-215,-115,-4.5,A
Golden State Warriors,14,345,1,160,-115,4.5,H
Brooklyn Nets,18,325,1,-200,-110,-4.5,A
Golden State Warriors,17,325,1,150,-120,4.5,H
Brooklyn Nets,18,317,1,-190,-115,-3.5,A
Golden State Warriors,17,317,1,145,-115,3.5,H
Brooklyn Nets,18,317,1,-185,-115,-3.5,A
Golden State Warriors,17,317,1,140,-115,3.5,H
Brooklyn Nets,18,298,1,-185,-115,-3.5,A
Golden State Warriors,17,298,1,140,-115,3.5,H
Brooklyn Nets,20,278,1,-185,-115,-3.5,A
Golden State Warriors,19,278,1,140,-115,3.5,H
Brooklyn Nets,20,269,1,-185,-120,-2.5,A
Golden State Warriors,19,269,1,140,-110,2.5,H
Brooklyn Nets,20,265,1,-175,-110,-3.5,A
Golden State Warriors,19,265,1,130,-120,3.5,H
Brooklyn Nets,20,265,1,-175,-110,-3.5,A
Golden State Warriors,19,265,1,130,-120,3.5,H
Brooklyn Nets,20,255,1,-180,-110,-3.5,A
Golden State Warriors,20,255,1,135,-120,3.5,H
Brooklyn Nets,20,237,1,-180,-110,-3.5,A
Golden State Warriors,20,237,1,135,-120,3.5,H
Brooklyn Nets,20,219,1,-175,-120,-2.5,A
Golden State Warriors,20,219,1,130,-110,2.5,H
Brooklyn Nets,20,206,1,-180,-110,-3.5,A
Golden State Warriors,20,206,1,135,-120,3.5,H
Brooklyn Nets,20,206,1,-180,-110,-3.5,A
Golden State Warriors,20,206,1,135,-120,3.5,H
Brooklyn Nets,20,198,1,-175,-120,-2.5,A
Golden State Warriors,22,198,1,130,-110,2.5,H
Brooklyn Nets,22,174,1,-160,-115,-2.5,A
Golden State Warriors,24,174,1,120,-115,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-160,-115,-2.5,A
Golden State Warriors,24,167,1,120,-115,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,22,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,24,167,1,-175,-120,-2.5,A
Golden State Warriors,24,167,1,130,-110,2.5,H
Brooklyn Nets,24,156,1,-175,-120,-2.5,A
Golden State Warriors,24,156,1,130,-110,2.5,H
Brooklyn Nets,24,156,1,-175,-120,-2.5,A
Golden State Warriors,24,156,1,130,-110,2.5,H
Brooklyn Nets,24,144,1,-175,-110,-3.5,A
Golden State Warriors,24,144,1,130,-125,3.5,H
Brooklyn Nets,24,144,1,-190,-110,-3.5,A
Golden State Warriors,24,144,1,145,-125,3.5,H
Brooklyn Nets,25,144,1,-190,-115,-3.5,A
Golden State Warriors,24,144,1,145,-115,3.5,H
Brooklyn Nets,26,123,1,-200,-115,-3.5,A
Golden State Warriors,24,123,1,150,-115,3.5,H
Brooklyn Nets,26,119,1,-200,-120,-3.5,A
Golden State Warriors,24,119,1,150,-110,3.5,H
Brooklyn Nets,27,119,1,-210,-110,-4.5,A
Golden State Warriors,24,119,1,155,-120,4.5,H
Brooklyn Nets,28,119,1,-230,-120,-4.5,A
Golden State Warriors,24,119,1,170,-110,4.5,H
