Milwaukee Bucks,0,-1,0,-850,-110,-11.5,A
Oklahoma City Thunder,0,-1,0,525,-110,11.5,H
Milwaukee Bucks,58,420,1,-160
Oklahoma City Thunder,69,420,1,120
Milwaukee Bucks,58,420,1,100
Oklahoma City Thunder,69,420,1,-130
Milwaukee Bucks,58,420,1,125
Oklahoma City Thunder,69,420,1,-165
Milwaukee Bucks,58,420,1,125
Oklahoma City Thunder,69,420,1,-165
Milwaukee Bucks,60,420,1,110
Oklahoma City Thunder,69,420,1,-145
Milwaukee Bucks,60,420,1,-160
Oklahoma City Thunder,69,420,1,120
Milwaukee Bucks,61,420,1,-160
Oklahoma City Thunder,69,420,1,120
Milwaukee Bucks,61,420,1,-165
Oklahoma City Thunder,69,420,1,125
Milwaukee Bucks,61,420,1,-180
Oklahoma City Thunder,69,420,1,135
Milwaukee Bucks,63,420,1,-180
Oklahoma City Thunder,69,420,1,135
Milwaukee Bucks,63,420,1,-215
Oklahoma City Thunder,69,420,1,160
Milwaukee Bucks,63,420,1,-210
Oklahoma City Thunder,69,420,1,155
Milwaukee Bucks,63,420,1,-210
Oklahoma City Thunder,69,420,1,155
Milwaukee Bucks,65,420,1,-200
Oklahoma City Thunder,69,420,1,150
Milwaukee Bucks,65,420,1,-215
Oklahoma City Thunder,71,420,1,160
Milwaukee Bucks,68,420,1,-180
Oklahoma City Thunder,73,420,1,135
Milwaukee Bucks,68,420,1,-175
Oklahoma City Thunder,73,420,1,130
Milwaukee Bucks,71,420,1,-175
Oklahoma City Thunder,73,420,1,130
Milwaukee Bucks,73,420,1,-290
Oklahoma City Thunder,76,420,1,210
Milwaukee Bucks,73,420,1,-200
Oklahoma City Thunder,79,420,1,150
Milwaukee Bucks,75,420,1,-220
Oklahoma City Thunder,79,420,1,165
Milwaukee Bucks,75,420,1,-180
Oklahoma City Thunder,79,420,1,135
Milwaukee Bucks,75,420,1,-230
Oklahoma City Thunder,79,420,1,170
Milwaukee Bucks,78,420,1,-230
Oklahoma City Thunder,79,420,1,170
Milwaukee Bucks,78,420,1,-230
Oklahoma City Thunder,79,420,1,170
Milwaukee Bucks,80,420,1,-475
Oklahoma City Thunder,79,420,1,315
Milwaukee Bucks,80,420,1,-475
Oklahoma City Thunder,79,420,1,325
Milwaukee Bucks,80,420,1,-475
Oklahoma City Thunder,79,420,1,325
Milwaukee Bucks,80,420,1,-750
Oklahoma City Thunder,79,420,1,425
Milwaukee Bucks,80,420,1,-750
Oklahoma City Thunder,79,420,1,425
Milwaukee Bucks,81,420,1,-750
Oklahoma City Thunder,79,420,1,450
Milwaukee Bucks,81,420,1,-650
Oklahoma City Thunder,81,420,1,385
Milwaukee Bucks,81,420,1,-550
Oklahoma City Thunder,81,420,1,350
Milwaukee Bucks,81,420,1,-475
Oklahoma City Thunder,81,420,1,315
Milwaukee Bucks,81,420,1,-475
Oklahoma City Thunder,81,420,1,315
Milwaukee Bucks,81,420,1,-330
Oklahoma City Thunder,81,420,1,235
Milwaukee Bucks,81,420,1,-330
Oklahoma City Thunder,81,420,1,235
Milwaukee Bucks,81,420,1,-330
Oklahoma City Thunder,81,420,1,235
Milwaukee Bucks,81,420,1,-330
Oklahoma City Thunder,81,420,1,235
Milwaukee Bucks,81,420,1,-330
Oklahoma City Thunder,81,420,1,235
Milwaukee Bucks,81,420,1,-330
Oklahoma City Thunder,81,420,1,235
Milwaukee Bucks,84,420,1,-330
Oklahoma City Thunder,81,420,1,235
Milwaukee Bucks,84,420,1,-700
Oklahoma City Thunder,81,420,1,400
Milwaukee Bucks,84,420,1,-700
Oklahoma City Thunder,81,420,1,400
Milwaukee Bucks,86,420,1,-700
Oklahoma City Thunder,83,420,1,400
Milwaukee Bucks,86,420,1,-450
Oklahoma City Thunder,83,420,1,295
Milwaukee Bucks,86,420,1,-650
Oklahoma City Thunder,86,420,1,385
Milwaukee Bucks,86,420,1,-320
Oklahoma City Thunder,89,420,1,230
Milwaukee Bucks,86,420,1,-280
Oklahoma City Thunder,89,420,1,200
Milwaukee Bucks,86,420,1,-180
Oklahoma City Thunder,89,420,1,135
Milwaukee Bucks,86,420,1,-175
Oklahoma City Thunder,89,420,1,130
Milwaukee Bucks,86,420,1,-175
Oklahoma City Thunder,89,420,1,130
Milwaukee Bucks,89,420,1,-145
Oklahoma City Thunder,89,420,1,110
Milwaukee Bucks,89,420,1,-245
Oklahoma City Thunder,89,420,1,175
Milwaukee Bucks,89,420,1,-230
Oklahoma City Thunder,89,420,1,170
Milwaukee Bucks,89,420,1,-215
Oklahoma City Thunder,89,420,1,160
Milwaukee Bucks,89,420,1,-260
Oklahoma City Thunder,90,420,1,190
Milwaukee Bucks,89,420,1,-245
Oklahoma City Thunder,92,420,1,180
Milwaukee Bucks,89,420,1,-185
Oklahoma City Thunder,92,420,1,140
Milwaukee Bucks,89,420,1,-185
Oklahoma City Thunder,92,420,1,140
Milwaukee Bucks,89,420,1,-185
Oklahoma City Thunder,92,420,1,140
Milwaukee Bucks,89,420,1,-185
Oklahoma City Thunder,92,420,1,140
Milwaukee Bucks,89,420,1,-190
Oklahoma City Thunder,92,420,1,145
Milwaukee Bucks,89,420,1,-190
Oklahoma City Thunder,92,420,1,145
Milwaukee Bucks,89,420,1,-190
Oklahoma City Thunder,92,420,1,145
Milwaukee Bucks,89,420,1,-190
Oklahoma City Thunder,92,420,1,145
Milwaukee Bucks,89,420,1,-190
Oklahoma City Thunder,92,420,1,145
Milwaukee Bucks,89,420,1,-215
Oklahoma City Thunder,92,420,1,160
Milwaukee Bucks,89,420,1,-220
Oklahoma City Thunder,92,420,1,165
Milwaukee Bucks,89,420,1,-240
Oklahoma City Thunder,92,420,1,175
Milwaukee Bucks,89,420,1,-190
Oklahoma City Thunder,92,420,1,145
Milwaukee Bucks,89,420,1,-190
Oklahoma City Thunder,92,420,1,145
Milwaukee Bucks,89,420,1,-190
Oklahoma City Thunder,92,420,1,145
Milwaukee Bucks,89,420,1,-165
Oklahoma City Thunder,92,420,1,125
Milwaukee Bucks,89,420,1,-165
Oklahoma City Thunder,92,420,1,125
Milwaukee Bucks,89,420,1,-165
Oklahoma City Thunder,92,420,1,125
Milwaukee Bucks,89,420,1,-165
Oklahoma City Thunder,92,420,1,125
Milwaukee Bucks,89,420,1,-165
Oklahoma City Thunder,92,420,1,125
Milwaukee Bucks,89,420,1,-165
Oklahoma City Thunder,92,420,1,125
Milwaukee Bucks,89,420,1,-165
Oklahoma City Thunder,94,420,1,125
Milwaukee Bucks,89,420,1,130
Oklahoma City Thunder,94,420,1,-175
Milwaukee Bucks,89,420,1,110
Oklahoma City Thunder,94,420,1,-145
Milwaukee Bucks,91,420,1,110
Oklahoma City Thunder,94,420,1,-145
Milwaukee Bucks,93,420,1,-200
Oklahoma City Thunder,96,420,1,150
Milwaukee Bucks,93,420,1,130
Oklahoma City Thunder,96,420,1,-175
Milwaukee Bucks,93,420,1,-190
Oklahoma City Thunder,101,420,1,145
Milwaukee Bucks,93,420,1,160
Oklahoma City Thunder,101,420,1,-215
Milwaukee Bucks,93,420,1,225
Oklahoma City Thunder,101,420,1,-300
Milwaukee Bucks,93,420,1,225
Oklahoma City Thunder,101,420,1,-300
