Oklahoma City Thunder,0,-1,0,220,-110,6.5,A
Memphis Grizzlies,0,-1,0,-270,-110,-6.5,H
Oklahoma City Thunder,26,175,1,275
Memphis Grizzlies,28,175,1,-400
Oklahoma City Thunder,26,175,1,275
Memphis Grizzlies,28,175,1,-400
Oklahoma City Thunder,26,175,1,275
Memphis Grizzlies,28,175,1,-400
Oklahoma City Thunder,26,175,1,275
Memphis Grizzlies,28,175,1,-400
Oklahoma City Thunder,26,175,1,275
Memphis Grizzlies,28,175,1,-400
Oklahoma City Thunder,26,175,1,225
Memphis Grizzlies,28,175,1,-310
Oklahoma City Thunder,26,154,1,225
Memphis Grizzlies,28,154,1,-310
Oklahoma City Thunder,26,154,1,225
Memphis Grizzlies,28,154,1,-310
Oklahoma City Thunder,28,154,1,225
Memphis Grizzlies,28,154,1,-310
Oklahoma City Thunder,28,128,1,220
Memphis Grizzlies,28,128,1,-300
Oklahoma City Thunder,31,104,1,210
Memphis Grizzlies,28,104,1,-300
Oklahoma City Thunder,31,82,1,205
Memphis Grizzlies,28,82,1,-280
Oklahoma City Thunder,31,63,1,190
Memphis Grizzlies,28,63,1,-260
Oklahoma City Thunder,31,63,1,190
Memphis Grizzlies,28,63,1,-260
Oklahoma City Thunder,31,61,1,190
Memphis Grizzlies,28,61,1,-260
Oklahoma City Thunder,31,43,1,205
Memphis Grizzlies,28,43,1,-280
Oklahoma City Thunder,31,26,1,205
Memphis Grizzlies,30,26,1,-280
Oklahoma City Thunder,31,9,1,215
Memphis Grizzlies,30,9,1,-300
Oklahoma City Thunder,31,720,2,215
Memphis Grizzlies,30,720,2,-300
Oklahoma City Thunder,31,720,2,215
Memphis Grizzlies,30,720,2,-300
Oklahoma City Thunder,31,720,2,215
Memphis Grizzlies,30,720,2,-300
Oklahoma City Thunder,31,720,2,215
Memphis Grizzlies,30,720,2,-300
Oklahoma City Thunder,31,720,2,215
Memphis Grizzlies,30,720,2,-300
Oklahoma City Thunder,31,720,2,215
Memphis Grizzlies,30,720,2,-300
Oklahoma City Thunder,31,720,2,215
Memphis Grizzlies,30,720,2,-300
Oklahoma City Thunder,31,720,2,215
Memphis Grizzlies,30,720,2,-300
Oklahoma City Thunder,31,711,2,215
Memphis Grizzlies,30,711,2,-300
Oklahoma City Thunder,31,693,2,215
Memphis Grizzlies,30,693,2,-300
Oklahoma City Thunder,34,663,2,210
Memphis Grizzlies,30,663,2,-290
Oklahoma City Thunder,34,643,2,210
Memphis Grizzlies,30,643,2,-290
Oklahoma City Thunder,34,623,2,210
Memphis Grizzlies,30,623,2,-290
Oklahoma City Thunder,34,602,2,185
Memphis Grizzlies,32,602,2,-250
Oklahoma City Thunder,34,590,2,200
Memphis Grizzlies,32,590,2,-275
Oklahoma City Thunder,34,590,2,220
Memphis Grizzlies,33,590,2,-300
Oklahoma City Thunder,34,590,2,220
Memphis Grizzlies,33,590,2,-300
Oklahoma City Thunder,34,580,2,215
Memphis Grizzlies,34,580,2,-300
Oklahoma City Thunder,36,552,2,210
Memphis Grizzlies,34,552,2,-290
Oklahoma City Thunder,38,532,2,210
Memphis Grizzlies,34,532,2,-290
Oklahoma City Thunder,38,528,2,175
Memphis Grizzlies,35,528,2,-240
Oklahoma City Thunder,38,517,2,200
Memphis Grizzlies,36,517,2,-275
Oklahoma City Thunder,38,509,2,220
Memphis Grizzlies,36,509,2,-300
Oklahoma City Thunder,38,496,2,220
Memphis Grizzlies,38,496,2,-300
Oklahoma City Thunder,38,483,2,220
Memphis Grizzlies,38,483,2,-300
Oklahoma City Thunder,38,475,2,220
Memphis Grizzlies,38,475,2,-300
Oklahoma City Thunder,38,458,2,235
Memphis Grizzlies,38,458,2,-330
Oklahoma City Thunder,38,438,2,235
Memphis Grizzlies,41,438,2,-330
Oklahoma City Thunder,41,420,2,235
Memphis Grizzlies,41,420,2,-330
Oklahoma City Thunder,41,400,2,250
Memphis Grizzlies,41,400,2,-360
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,400,2,230
Memphis Grizzlies,41,400,2,-320
Oklahoma City Thunder,41,374,2,230
Memphis Grizzlies,41,374,2,-320
Oklahoma City Thunder,44,356,2,215
Memphis Grizzlies,44,356,2,-300
Oklahoma City Thunder,44,338,2,200
Memphis Grizzlies,44,338,2,-275
Oklahoma City Thunder,44,318,2,200
Memphis Grizzlies,46,318,2,-275
Oklahoma City Thunder,44,301,2,200
Memphis Grizzlies,48,301,2,-275
Oklahoma City Thunder,44,301,2,225
Memphis Grizzlies,48,301,2,-300
Oklahoma City Thunder,44,301,2,225
Memphis Grizzlies,48,301,2,-300
Oklahoma City Thunder,44,301,2,225
Memphis Grizzlies,48,301,2,-300
Oklahoma City Thunder,44,301,2,225
Memphis Grizzlies,48,301,2,-300
Oklahoma City Thunder,44,301,2,225
Memphis Grizzlies,48,301,2,-300
Oklahoma City Thunder,44,301,2,225
Memphis Grizzlies,48,301,2,-300
Oklahoma City Thunder,44,301,2,225
Memphis Grizzlies,48,301,2,-300
Oklahoma City Thunder,44,301,2,225
Memphis Grizzlies,48,301,2,-300
Oklahoma City Thunder,44,286,2,225
Memphis Grizzlies,48,286,2,-300
Oklahoma City Thunder,44,280,2,225
Memphis Grizzlies,48,280,2,-300
Oklahoma City Thunder,44,280,2,285
Memphis Grizzlies,48,280,2,-425
Oklahoma City Thunder,44,280,2,285
Memphis Grizzlies,48,280,2,-425
Oklahoma City Thunder,44,280,2,285
Memphis Grizzlies,48,280,2,-425
Oklahoma City Thunder,44,280,2,285
Memphis Grizzlies,48,280,2,-425
Oklahoma City Thunder,44,280,2,285
Memphis Grizzlies,48,280,2,-425
Oklahoma City Thunder,44,280,2,285
Memphis Grizzlies,48,280,2,-425
Oklahoma City Thunder,44,280,2,295
Memphis Grizzlies,48,280,2,-450
Oklahoma City Thunder,44,280,2,295
Memphis Grizzlies,48,280,2,-450
Oklahoma City Thunder,44,280,2,260
Memphis Grizzlies,48,280,2,-370
Oklahoma City Thunder,44,276,2,260
Memphis Grizzlies,48,276,2,-370
Oklahoma City Thunder,46,254,2,260
Memphis Grizzlies,48,254,2,-370
Oklahoma City Thunder,46,237,2,260
Memphis Grizzlies,48,237,2,-370
Oklahoma City Thunder,46,214,2,245
Memphis Grizzlies,48,214,2,-350
Oklahoma City Thunder,46,194,2,245
Memphis Grizzlies,50,194,2,-350
Oklahoma City Thunder,48,180,2,260
Memphis Grizzlies,50,180,2,-370
Oklahoma City Thunder,48,154,2,245
Memphis Grizzlies,50,154,2,-350
Oklahoma City Thunder,51,131,2,210
Memphis Grizzlies,52,131,2,-290
Oklahoma City Thunder,51,113,2,210
Memphis Grizzlies,52,113,2,-290
Oklahoma City Thunder,54,90,2,165
Memphis Grizzlies,52,90,2,-220
Oklahoma City Thunder,54,70,2,120
Memphis Grizzlies,52,70,2,-160
Oklahoma City Thunder,54,53,2,120
Memphis Grizzlies,54,53,2,-160
Oklahoma City Thunder,54,33,2,150
Memphis Grizzlies,57,33,2,-200
Oklahoma City Thunder,54,12,2,190
Memphis Grizzlies,57,12,2,-260
Oklahoma City Thunder,56,0,2,190
Memphis Grizzlies,57,0,2,-260
Oklahoma City Thunder,56,600,3,165
Memphis Grizzlies,57,600,3,-220
Oklahoma City Thunder,56,600,3,165
Memphis Grizzlies,57,600,3,-220
Oklahoma City Thunder,56,600,3,165
Memphis Grizzlies,57,600,3,-220
Oklahoma City Thunder,56,600,3,165
Memphis Grizzlies,57,600,3,-220
Oklahoma City Thunder,56,600,3,165
Memphis Grizzlies,57,600,3,-220
Oklahoma City Thunder,56,600,3,165
Memphis Grizzlies,57,600,3,-220
Oklahoma City Thunder,57,708,3,210
Memphis Grizzlies,57,708,3,-280
Oklahoma City Thunder,57,652,3,215
Memphis Grizzlies,59,652,3,-300
Oklahoma City Thunder,57,616,3,265
Memphis Grizzlies,60,616,3,-370
Oklahoma City Thunder,57,594,3,250
Memphis Grizzlies,60,594,3,-360
Oklahoma City Thunder,57,558,3,320
Memphis Grizzlies,60,558,3,-475
Oklahoma City Thunder,57,553,3,320
Memphis Grizzlies,60,553,3,-475
Oklahoma City Thunder,57,549,3,315
Memphis Grizzlies,63,549,3,-450
Oklahoma City Thunder,57,529,3,320
Memphis Grizzlies,63,529,3,-475
Oklahoma City Thunder,57,528,3,320
Memphis Grizzlies,63,528,3,-475
Oklahoma City Thunder,58,528,3,320
Memphis Grizzlies,63,528,3,-475
Oklahoma City Thunder,58,512,3,320
Memphis Grizzlies,65,512,3,-475
Oklahoma City Thunder,58,493,3,425
Memphis Grizzlies,67,493,3,-750
Oklahoma City Thunder,58,490,3,425
Memphis Grizzlies,67,490,3,-750
Oklahoma City Thunder,58,490,3,425
Memphis Grizzlies,67,490,3,-750
Oklahoma City Thunder,58,490,3,425
Memphis Grizzlies,67,490,3,-750
Oklahoma City Thunder,58,490,3,425
Memphis Grizzlies,67,490,3,-750
Oklahoma City Thunder,58,490,3,550
Memphis Grizzlies,67,490,3,-1100
Oklahoma City Thunder,58,490,3,550
Memphis Grizzlies,67,490,3,-1100
Oklahoma City Thunder,58,490,3,550
Memphis Grizzlies,67,490,3,-1100
Oklahoma City Thunder,58,490,3,550
Memphis Grizzlies,67,490,3,-1100
Oklahoma City Thunder,58,490,3,550
Memphis Grizzlies,67,490,3,-1100
Oklahoma City Thunder,58,490,3,550
Memphis Grizzlies,67,490,3,-1100
Oklahoma City Thunder,58,490,3,550
Memphis Grizzlies,67,490,3,-1100
Oklahoma City Thunder,58,488,3,550
Memphis Grizzlies,67,488,3,-1100
Oklahoma City Thunder,58,470,3,550
Memphis Grizzlies,67,470,3,-1100
Oklahoma City Thunder,61,451,3,700
Memphis Grizzlies,67,451,3,-1600
Oklahoma City Thunder,61,437,3,550
Memphis Grizzlies,67,437,3,-1100
Oklahoma City Thunder,63,421,3,500
Memphis Grizzlies,67,421,3,-950
Oklahoma City Thunder,63,421,3,500
Memphis Grizzlies,67,421,3,-950
Oklahoma City Thunder,64,419,3,500
Memphis Grizzlies,67,419,3,-900
Oklahoma City Thunder,64,394,3,385
Memphis Grizzlies,67,394,3,-650
Oklahoma City Thunder,64,392,3,385
Memphis Grizzlies,67,392,3,-650
Oklahoma City Thunder,64,392,3,385
Memphis Grizzlies,68,392,3,-650
Oklahoma City Thunder,64,383,3,385
Memphis Grizzlies,69,383,3,-650
Oklahoma City Thunder,67,366,3,385
Memphis Grizzlies,69,366,3,-650
Oklahoma City Thunder,67,362,3,350
Memphis Grizzlies,69,362,3,-550
Oklahoma City Thunder,67,352,3,260
Memphis Grizzlies,69,352,3,-370
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,67,347,3,225
Memphis Grizzlies,69,347,3,-310
Oklahoma City Thunder,68,347,3,205
Memphis Grizzlies,69,347,3,-280
Oklahoma City Thunder,69,347,3,205
Memphis Grizzlies,69,347,3,-280
Oklahoma City Thunder,69,344,3,260
Memphis Grizzlies,69,344,3,-370
Oklahoma City Thunder,69,339,3,260
Memphis Grizzlies,71,339,3,-370
Oklahoma City Thunder,69,324,3,300
Memphis Grizzlies,71,324,3,-450
Oklahoma City Thunder,69,302,3,260
Memphis Grizzlies,71,302,3,-370
Oklahoma City Thunder,69,286,3,260
Memphis Grizzlies,71,286,3,-370
Oklahoma City Thunder,69,264,3,320
Memphis Grizzlies,73,264,3,-475
Oklahoma City Thunder,72,248,3,320
Memphis Grizzlies,73,248,3,-475
Oklahoma City Thunder,72,228,3,320
Memphis Grizzlies,73,228,3,-475
Oklahoma City Thunder,72,204,3,285
Memphis Grizzlies,76,204,3,-425
Oklahoma City Thunder,72,198,3,320
Memphis Grizzlies,76,198,3,-475
Oklahoma City Thunder,72,198,3,400
Memphis Grizzlies,76,198,3,-700
Oklahoma City Thunder,72,198,3,400
Memphis Grizzlies,77,198,3,-700
Oklahoma City Thunder,72,191,3,400
Memphis Grizzlies,78,191,3,-700
Oklahoma City Thunder,72,169,3,400
Memphis Grizzlies,78,169,3,-700
Oklahoma City Thunder,72,148,3,500
Memphis Grizzlies,80,148,3,-900
Oklahoma City Thunder,75,129,3,525
Memphis Grizzlies,80,129,3,-900
Oklahoma City Thunder,75,112,3,450
Memphis Grizzlies,80,112,3,-800
Oklahoma City Thunder,75,93,3,450
Memphis Grizzlies,83,93,3,-800
Oklahoma City Thunder,75,93,3,550
Memphis Grizzlies,83,93,3,-1100
Oklahoma City Thunder,75,93,3,550
Memphis Grizzlies,83,93,3,-1100
Oklahoma City Thunder,76,93,3,550
Memphis Grizzlies,83,93,3,-1100
Oklahoma City Thunder,79,93,3,550
Memphis Grizzlies,86,93,3,-1100
Oklahoma City Thunder,81,80,3,550
Memphis Grizzlies,86,80,3,-1100
Oklahoma City Thunder,81,66,3,550
Memphis Grizzlies,86,66,3,-1100
Oklahoma City Thunder,81,57,3,385
Memphis Grizzlies,86,57,3,-650
Oklahoma City Thunder,81,56,3,385
Memphis Grizzlies,86,56,3,-650
Oklahoma City Thunder,82,56,3,385
Memphis Grizzlies,86,56,3,-650
Oklahoma City Thunder,85,43,3,350
Memphis Grizzlies,86,43,3,-550
Oklahoma City Thunder,85,23,3,350
Memphis Grizzlies,86,23,3,-550
Oklahoma City Thunder,85,6,3,255
Memphis Grizzlies,86,6,3,-370
Oklahoma City Thunder,85,720,4,255
Memphis Grizzlies,86,720,4,-370
Oklahoma City Thunder,85,720,4,220
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,720,4,220
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,720,4,225
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,720,4,225
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,720,4,225
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,720,4,225
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,720,4,225
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,720,4,225
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,720,4,225
Memphis Grizzlies,86,720,4,-300
Oklahoma City Thunder,85,713,4,225
Memphis Grizzlies,86,713,4,-300
Oklahoma City Thunder,86,699,4,225
Memphis Grizzlies,86,699,4,-310
Oklahoma City Thunder,86,691,4,190
Memphis Grizzlies,86,691,4,-260
Oklahoma City Thunder,86,691,4,180
Memphis Grizzlies,86,691,4,-250
Oklahoma City Thunder,87,678,4,135
Memphis Grizzlies,86,678,4,-180
Oklahoma City Thunder,87,659,4,205
Memphis Grizzlies,88,659,4,-280
Oklahoma City Thunder,87,656,4,205
Memphis Grizzlies,88,656,4,-280
Oklahoma City Thunder,87,656,4,220
Memphis Grizzlies,88,656,4,-300
Oklahoma City Thunder,87,642,4,385
Memphis Grizzlies,91,642,4,-650
Oklahoma City Thunder,87,639,4,385
Memphis Grizzlies,91,639,4,-650
Oklahoma City Thunder,87,624,4,385
Memphis Grizzlies,91,624,4,-650
Oklahoma City Thunder,87,619,4,385
Memphis Grizzlies,91,619,4,-650
Oklahoma City Thunder,87,601,4,400
Memphis Grizzlies,93,601,4,-700
Oklahoma City Thunder,87,599,4,550
Memphis Grizzlies,93,599,4,-950
Oklahoma City Thunder,87,586,4,475
Memphis Grizzlies,93,586,4,-900
Oklahoma City Thunder,87,586,4,475
Memphis Grizzlies,93,586,4,-900
Oklahoma City Thunder,87,586,4,625
Memphis Grizzlies,93,586,4,-1400
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,586,4,550
Memphis Grizzlies,93,586,4,-1100
Oklahoma City Thunder,87,581,4,550
Memphis Grizzlies,94,581,4,-1100
Oklahoma City Thunder,87,564,4,575
Memphis Grizzlies,94,564,4,-1100
Oklahoma City Thunder,87,560,4,475
Memphis Grizzlies,94,560,4,-900
Oklahoma City Thunder,87,551,4,525
Memphis Grizzlies,94,551,4,-950
Oklahoma City Thunder,87,551,4,525
Memphis Grizzlies,94,551,4,-950
Oklahoma City Thunder,87,549,4,525
Memphis Grizzlies,95,549,4,-950
Oklahoma City Thunder,87,532,4,550
Memphis Grizzlies,95,532,4,-950
Oklahoma City Thunder,89,524,4,575
Memphis Grizzlies,95,524,4,-1100
Oklahoma City Thunder,90,513,4,400
Memphis Grizzlies,95,513,4,-700
Oklahoma City Thunder,90,496,4,400
Memphis Grizzlies,97,496,4,-700
Oklahoma City Thunder,90,490,4,675
Memphis Grizzlies,97,490,4,-1600
Oklahoma City Thunder,90,472,4,675
Memphis Grizzlies,99,472,4,-1600
Oklahoma City Thunder,90,456,4,675
Memphis Grizzlies,99,456,4,-1600
Oklahoma City Thunder,90,455,4,900
Memphis Grizzlies,99,455,4,-3300
Oklahoma City Thunder,90,455,4,900
Memphis Grizzlies,100,455,4,-3300
Oklahoma City Thunder,90,415,4,1500
Memphis Grizzlies,103,415,4,-50000
Oklahoma City Thunder,90,396,4,1500
Memphis Grizzlies,104,396,4,-50000
Oklahoma City Thunder,92,367,4,1700
Memphis Grizzlies,106,367,4,-50000
Oklahoma City Thunder,95,327,4,1500
Memphis Grizzlies,106,327,4,-50000
Oklahoma City Thunder,95,309,4,1500
Memphis Grizzlies,106,309,4,-50000
Oklahoma City Thunder,95,309,4,1500
Memphis Grizzlies,106,309,4,-50000
Oklahoma City Thunder,95,309,4,1500
Memphis Grizzlies,106,309,4,-50000
Oklahoma City Thunder,97,255,4,1500
Memphis Grizzlies,109,255,4,-50000
Oklahoma City Thunder,97,240,4,1900
Memphis Grizzlies,110,240,4,-50000
Oklahoma City Thunder,97,240,4,2100
Memphis Grizzlies,110,240,4,-50000
Oklahoma City Thunder,99,219,4,2100
Memphis Grizzlies,111,219,4,-50000
Oklahoma City Thunder,101,199,4,1700
Memphis Grizzlies,111,199,4,-50000
Oklahoma City Thunder,101,187,4,1700
Memphis Grizzlies,111,187,4,-50000
Oklahoma City Thunder,101,123,4,1700
Memphis Grizzlies,116,123,4,-50000
Oklahoma City Thunder,103,113,4,1700
Memphis Grizzlies,116,113,4,-50000
Oklahoma City Thunder,106,90,4,1700
Memphis Grizzlies,118,90,4,-50000
Oklahoma City Thunder,106,51,4,1700
Memphis Grizzlies,118,51,4,-50000
Oklahoma City Thunder,109,24,4,1700
Memphis Grizzlies,119,24,4,-50000
Oklahoma City Thunder,112,24,4,1700
Memphis Grizzlies,120,24,4,-50000
Oklahoma City Thunder,112,24,4,1700
Memphis Grizzlies,120,24,4,-50000
Oklahoma City Thunder,112,24,4,1700
Memphis Grizzlies,120,24,4,-50000
Oklahoma City Thunder,112,24,4,1700
Memphis Grizzlies,120,24,4,-50000
Oklahoma City Thunder,112,23,4,1700
Memphis Grizzlies,120,23,4,-50000
Oklahoma City Thunder,113,23,4,1700
Memphis Grizzlies,120,23,4,-50000
Oklahoma City Thunder,113,23,4,1700
Memphis Grizzlies,120,23,4,-50000
Oklahoma City Thunder,113,15,4,1700
Memphis Grizzlies,120,15,4,-50000
Oklahoma City Thunder,113,15,4,1700
Memphis Grizzlies,122,15,4,-50000
Oklahoma City Thunder,113,2,4,1700
Memphis Grizzlies,122,2,4,-50000
Oklahoma City Thunder,113,0,4,1700
Memphis Grizzlies,122,0,4,-50000
Oklahoma City Thunder,113,0,4,1700
