Miami Heat,0,-1,0,105,-110,1.5,A
Golden State Warriors,0,-1,0,-135,-120,-1.5,H
Miami Heat,0,-1,0,105,-110,1.5,A
Golden State Warriors,0,-1,0,-135,-120,-1.5,H
Miami Heat,0,-1,0,105,-110,1.5,A
Golden State Warriors,0,-1,0,-135,-120,-1.5,H
Miami Heat,0,708,1,105,-110,1.5,A
Golden State Warriors,0,708,1,-135,-120,-1.5,H
Miami Heat,2,691,1,105,-110,1.5,A
Golden State Warriors,0,691,1,-135,-120,-1.5,H
Miami Heat,4,674,1,100,-115,1.5,A
Golden State Warriors,0,674,1,-130,-115,-1.5,H
Miami Heat,4,654,1,-110,-125,1.5,A
Golden State Warriors,3,654,1,-120,-105,-1.5,H
Miami Heat,4,635,1,105,-115,1.5,A
Golden State Warriors,3,635,1,-135,-115,-1.5,H
Miami Heat,4,616,1,100,-115,1.5,A
Golden State Warriors,3,616,1,-130,-115,-1.5,H
Miami Heat,6,598,1,100,-115,1.5,A
Golden State Warriors,3,598,1,-130,-115,-1.5,H
Miami Heat,6,578,1,100,-115,1.5,A
Golden State Warriors,6,578,1,-130,-115,-1.5,H
Miami Heat,6,562,1,105,-110,1.5,A
Golden State Warriors,6,562,1,-135,-120,-1.5,H
Miami Heat,6,542,1,110,-110,1.5,A
Golden State Warriors,6,542,1,-145,-120,-1.5,H
Miami Heat,9,526,1,105,-110,1.5,A
Golden State Warriors,6,526,1,-135,-120,-1.5,H
Miami Heat,9,514,1,-105,-120,1.5,A
Golden State Warriors,6,514,1,-125,-110,-1.5,H
Miami Heat,9,514,1,-105,-120,1.5,A
Golden State Warriors,7,514,1,-125,-110,-1.5,H
Miami Heat,9,511,1,100,-115,1.5,A
Golden State Warriors,8,511,1,-130,-115,-1.5,H
Miami Heat,11,493,1,-105,-120,1.5,A
Golden State Warriors,8,493,1,-125,-110,-1.5,H
Miami Heat,11,482,1,100,-115,1.5,A
Golden State Warriors,8,482,1,-130,-115,-1.5,H
Miami Heat,13,461,1,-110,-125,1.5,A
Golden State Warriors,10,461,1,-120,-105,-1.5,H
Miami Heat,13,449,1,-115,100,-1.5,A
Golden State Warriors,10,449,1,-115,-130,1.5,H
Miami Heat,13,445,1,-110,-125,1.5,A
Golden State Warriors,10,445,1,-120,-105,-1.5,H
Miami Heat,13,429,1,-110,-125,1.5,A
Golden State Warriors,10,429,1,-120,-105,-1.5,H
Miami Heat,13,417,1,-110,-125,1.5,A
Golden State Warriors,10,417,1,-120,-105,-1.5,H
Miami Heat,13,417,1,-110,-125,1.5,A
Golden State Warriors,10,417,1,-120,-105,-1.5,H
Miami Heat,13,417,1,-115,100,-1.5,A
Golden State Warriors,10,417,1,-115,-130,1.5,H
Miami Heat,13,417,1,-115,100,-1.5,A
Golden State Warriors,10,417,1,-115,-130,1.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,13,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,14,417,1,-155,-115,-2.5,A
Golden State Warriors,10,417,1,115,-115,2.5,H
Miami Heat,14,400,1,-150,-110,-2.5,A
Golden State Warriors,12,400,1,110,-120,2.5,H
Miami Heat,14,383,1,-145,-120,-1.5,A
Golden State Warriors,12,383,1,110,-110,1.5,H
Miami Heat,14,366,1,-145,-120,-1.5,A
Golden State Warriors,12,366,1,110,-110,1.5,H
Miami Heat,14,346,1,-135,-115,-1.5,A
Golden State Warriors,12,346,1,105,-115,1.5,H
Miami Heat,14,337,1,-135,-115,-1.5,A
Golden State Warriors,12,337,1,105,-115,1.5,H
Miami Heat,14,337,1,-145,-110,-2.5,A
Golden State Warriors,12,337,1,110,-120,2.5,H
Miami Heat,14,323,1,-145,-110,-2.5,A
Golden State Warriors,12,323,1,110,-120,2.5,H
Miami Heat,14,304,1,-145,-110,-2.5,A
Golden State Warriors,14,304,1,110,-120,2.5,H
Miami Heat,16,290,1,-130,-115,-1.5,A
Golden State Warriors,14,290,1,100,-115,1.5,H
Miami Heat,16,290,1,-130,-115,-1.5,A
Golden State Warriors,14,290,1,100,-115,1.5,H
Miami Heat,16,290,1,-135,-120,-1.5,A
Golden State Warriors,14,290,1,105,-110,1.5,H
Miami Heat,17,286,1,-145,-110,-2.5,A
Golden State Warriors,14,286,1,110,-120,2.5,H
Miami Heat,17,268,1,-150,-110,-2.5,A
Golden State Warriors,14,268,1,110,-120,2.5,H
Miami Heat,17,261,1,-150,-110,-2.5,A
Golden State Warriors,14,261,1,110,-120,2.5,H
Miami Heat,19,243,1,-150,-110,-2.5,A
Golden State Warriors,14,243,1,110,-120,2.5,H
Miami Heat,19,227,1,-165,-120,-2.5,A
Golden State Warriors,17,227,1,125,-110,2.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,227,1,-145,-120,-1.5,A
Golden State Warriors,17,227,1,110,-110,1.5,H
Miami Heat,19,224,1,-145,-120,-1.5,A
Golden State Warriors,17,224,1,110,-110,1.5,H
Miami Heat,19,207,1,-145,-120,-1.5,A
Golden State Warriors,17,207,1,110,-110,1.5,H
Miami Heat,22,188,1,-145,-120,-1.5,A
Golden State Warriors,17,188,1,110,-110,1.5,H
Miami Heat,25,169,1,-180,-110,-3.5,A
Golden State Warriors,17,169,1,135,-120,3.5,H
Miami Heat,27,150,1,-260,-110,-5.5,A
Golden State Warriors,17,150,1,190,-120,5.5,H
Miami Heat,27,134,1,-260,-110,-5.5,A
Golden State Warriors,17,134,1,190,-120,5.5,H
Miami Heat,27,117,1,-260,-115,-5.5,A
Golden State Warriors,17,117,1,200,-115,5.5,H
Miami Heat,27,117,1,-280,-115,-5.5,A
Golden State Warriors,17,117,1,205,-115,5.5,H
Miami Heat,28,117,1,-310,-120,-6.5,A
Golden State Warriors,17,117,1,225,-110,6.5,H
Miami Heat,29,117,1,-330,-110,-7.5,A
Golden State Warriors,17,117,1,235,-120,7.5,H
Miami Heat,30,116,1,-360,-110,-7.5,A
Golden State Warriors,17,116,1,250,-120,7.5,H
Miami Heat,30,103,1,-360,-110,-7.5,A
Golden State Warriors,19,103,1,250,-120,7.5,H
Miami Heat,30,85,1,-360,-110,-7.5,A
Golden State Warriors,19,85,1,250,-120,7.5,H
Miami Heat,30,71,1,-300,-115,-6.5,A
Golden State Warriors,19,71,1,225,-115,6.5,H
Miami Heat,33,51,1,-300,-115,-6.5,A
Golden State Warriors,19,51,1,225,-115,6.5,H
Miami Heat,33,43,1,-310,-115,-6.5,A
Golden State Warriors,22,43,1,225,-115,6.5,H
Miami Heat,36,34,1,-310,-115,-6.5,A
Golden State Warriors,22,34,1,225,-115,6.5,H
Miami Heat,36,30,1,-475,-110,-8.5,A
Golden State Warriors,22,30,1,315,-120,8.5,H
Miami Heat,36,20,1,-475,-110,-8.5,A
Golden State Warriors,24,20,1,315,-120,8.5,H
Miami Heat,36,1,1,-360,-110,-7.5,A
Golden State Warriors,24,1,1,250,-120,7.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,720,2,-350,-120,-6.5,A
Golden State Warriors,24,720,2,245,-110,6.5,H
Miami Heat,36,707,2,-350,-120,-6.5,A
Golden State Warriors,24,707,2,245,-110,6.5,H
Miami Heat,36,695,2,-360,-120,-6.5,A
Golden State Warriors,26,695,2,250,-110,6.5,H
Miami Heat,36,686,2,-300,-110,-6.5,A
Golden State Warriors,26,686,2,215,-120,6.5,H
Miami Heat,36,677,2,-300,-110,-6.5,A
Golden State Warriors,26,677,2,215,-120,6.5,H
Miami Heat,36,675,2,-300,-110,-6.5,A
Golden State Warriors,26,675,2,215,-120,6.5,H
