Oklahoma City Thunder,0,-1,0,-160,-120,-2.5,A
Cleveland Cavaliers,0,-1,0,120,-110,2.5,H
Oklahoma City Thunder,0,719,1,-160,-120,-2.5,A
Cleveland Cavaliers,0,719,1,120,-110,2.5,H
Oklahoma City Thunder,0,705,1,-165,-120,-2.5,A
Cleveland Cavaliers,0,705,1,125,-110,2.5,H
Oklahoma City Thunder,0,680,1,-165,-110,-3.5,A
Cleveland Cavaliers,0,680,1,125,-120,3.5,H
Oklahoma City Thunder,0,663,1,-165,-110,-3.5,A
Cleveland Cavaliers,0,663,1,125,-120,3.5,H
Oklahoma City Thunder,0,643,1,-165,-120,-2.5,A
Cleveland Cavaliers,3,643,1,125,-110,2.5,H
Oklahoma City Thunder,0,617,1,-150,-110,-2.5,A
Cleveland Cavaliers,5,617,1,110,-120,2.5,H
Oklahoma City Thunder,2,604,1,-145,-120,-1.5,A
Cleveland Cavaliers,5,604,1,110,-110,1.5,H
Oklahoma City Thunder,3,597,1,-150,-110,-2.5,A
Cleveland Cavaliers,5,597,1,110,-120,2.5,H
Oklahoma City Thunder,3,579,1,-155,-115,-2.5,A
Cleveland Cavaliers,7,579,1,115,-115,2.5,H
Oklahoma City Thunder,6,559,1,-145,-120,-1.5,A
Cleveland Cavaliers,7,559,1,110,-110,1.5,H
Oklahoma City Thunder,6,542,1,-160,-115,-2.5,A
Cleveland Cavaliers,7,542,1,120,-115,2.5,H
Oklahoma City Thunder,6,525,1,-155,-115,-2.5,A
Cleveland Cavaliers,10,525,1,115,-115,2.5,H
Oklahoma City Thunder,6,502,1,-145,-120,-1.5,A
Cleveland Cavaliers,10,502,1,110,-110,1.5,H
Oklahoma City Thunder,6,484,1,-135,-115,-1.5,A
Cleveland Cavaliers,12,484,1,105,-115,1.5,H
Oklahoma City Thunder,6,488,1,-135,-110,-1.5,A
Cleveland Cavaliers,12,488,1,105,-120,1.5,H
Oklahoma City Thunder,6,488,1,-130,-110,-1.5,A
Cleveland Cavaliers,12,488,1,100,-120,1.5,H
Oklahoma City Thunder,6,488,1,-130,-110,-1.5,A
Cleveland Cavaliers,12,488,1,100,-120,1.5,H
Oklahoma City Thunder,6,488,1,-120,-110,-1.5,A
Cleveland Cavaliers,12,488,1,-110,-120,1.5,H
Oklahoma City Thunder,6,488,1,-120,-110,-1.5,A
Cleveland Cavaliers,12,488,1,-110,-120,1.5,H
Oklahoma City Thunder,6,488,1,-120,-110,-1.5,A
Cleveland Cavaliers,12,488,1,-110,-120,1.5,H
Oklahoma City Thunder,6,488,1,-120,-110,-1.5,A
Cleveland Cavaliers,12,488,1,-110,-120,1.5,H
Oklahoma City Thunder,6,488,1,-120,-110,-1.5,A
Cleveland Cavaliers,12,488,1,-110,-120,1.5,H
Oklahoma City Thunder,6,487,1,-120,-110,-1.5,A
Cleveland Cavaliers,12,487,1,-110,-120,1.5,H
Oklahoma City Thunder,6,477,1,-120,-110,-1.5,A
Cleveland Cavaliers,12,477,1,-110,-120,1.5,H
Oklahoma City Thunder,6,477,1,-130,-110,-1.5,A
Cleveland Cavaliers,12,477,1,100,-120,1.5,H
Oklahoma City Thunder,6,477,1,-130,-110,-1.5,A
Cleveland Cavaliers,12,477,1,100,-120,1.5,H
Oklahoma City Thunder,6,477,1,-130,-110,-1.5,A
Cleveland Cavaliers,12,477,1,100,-120,1.5,H
Oklahoma City Thunder,6,466,1,-130,-110,-1.5,A
Cleveland Cavaliers,12,466,1,100,-120,1.5,H
Oklahoma City Thunder,8,446,1,-130,-110,-1.5,A
Cleveland Cavaliers,12,446,1,100,-120,1.5,H
Oklahoma City Thunder,8,426,1,-130,-115,-1.5,A
Cleveland Cavaliers,14,426,1,100,-115,1.5,H
Oklahoma City Thunder,8,415,1,-120,-105,-1.5,A
Cleveland Cavaliers,14,415,1,-110,-125,1.5,H
Oklahoma City Thunder,8,403,1,-120,100,-1.5,A
Cleveland Cavaliers,14,403,1,-110,-130,1.5,H
