Oklahoma City Thunder,0,0,1,160
Orlando Magic,0,0,1,-215
Oklahoma City Thunder,0,715,1,160
Orlando Magic,0,715,1,-215
Oklahoma City Thunder,2,697,1,160
Orlando Magic,0,697,1,-215
Oklahoma City Thunder,2,676,1,160
Orlando Magic,0,676,1,-215
Oklahoma City Thunder,2,659,1,160
Orlando Magic,2,659,1,-215
Oklahoma City Thunder,5,644,1,160
Orlando Magic,2,644,1,-215
Oklahoma City Thunder,5,624,1,160
Orlando Magic,2,624,1,-215
Oklahoma City Thunder,5,607,1,160
Orlando Magic,2,607,1,-215
Oklahoma City Thunder,8,592,1,155
Orlando Magic,2,592,1,-210
Oklahoma City Thunder,8,575,1,150
Orlando Magic,2,575,1,-200
Oklahoma City Thunder,8,575,1,160
Orlando Magic,2,575,1,-215
Oklahoma City Thunder,8,575,1,160
Orlando Magic,3,575,1,-215
Oklahoma City Thunder,8,562,1,150
Orlando Magic,3,562,1,-200
Oklahoma City Thunder,10,545,1,145
Orlando Magic,3,545,1,-190
Oklahoma City Thunder,10,526,1,145
Orlando Magic,3,526,1,-190
Oklahoma City Thunder,10,511,1,125
Orlando Magic,5,511,1,-165
Oklahoma City Thunder,13,493,1,115
Orlando Magic,5,493,1,-155
Oklahoma City Thunder,13,475,1,110
Orlando Magic,5,475,1,-150
Oklahoma City Thunder,13,477,1,120
Orlando Magic,5,477,1,-160
Oklahoma City Thunder,13,477,1,105
Orlando Magic,7,477,1,-135
Oklahoma City Thunder,13,464,1,110
Orlando Magic,7,464,1,-150
Oklahoma City Thunder,13,462,1,100
Orlando Magic,7,462,1,-130
Oklahoma City Thunder,14,462,1,-110
Orlando Magic,7,462,1,-120
Oklahoma City Thunder,15,458,1,100
Orlando Magic,7,458,1,-130
Oklahoma City Thunder,15,440,1,-105
Orlando Magic,7,440,1,-125
Oklahoma City Thunder,15,422,1,-110
Orlando Magic,7,422,1,-120
Oklahoma City Thunder,15,406,1,-115
Orlando Magic,10,406,1,-115
Oklahoma City Thunder,15,390,1,-110
Orlando Magic,10,390,1,-120
Oklahoma City Thunder,17,373,1,100
Orlando Magic,10,373,1,-130
Oklahoma City Thunder,17,373,1,100
Orlando Magic,10,373,1,-130
Oklahoma City Thunder,17,373,1,-110
Orlando Magic,10,373,1,-120
Oklahoma City Thunder,17,373,1,-110
Orlando Magic,10,373,1,-120
Oklahoma City Thunder,17,373,1,-110
Orlando Magic,10,373,1,-120
Oklahoma City Thunder,17,373,1,-110
Orlando Magic,10,373,1,-120
Oklahoma City Thunder,17,373,1,-110
Orlando Magic,10,373,1,-120
Oklahoma City Thunder,17,373,1,-110
Orlando Magic,10,373,1,-120
