Los Angeles Clippers,16,418,1,-320
Phoenix Suns,7,418,1,225
Los Angeles Clippers,16,416,1,-320
Phoenix Suns,7,416,1,225
Los Angeles Clippers,16,400,1,-320
Phoenix Suns,7,400,1,225
Los Angeles Clippers,16,392,1,-300
Phoenix Suns,7,392,1,215
Los Angeles Clippers,18,372,1,-300
Phoenix Suns,7,372,1,215
Los Angeles Clippers,18,357,1,-300
Phoenix Suns,9,357,1,215
Los Angeles Clippers,18,334,1,-350
Phoenix Suns,11,334,1,245
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,215
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,220
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,215
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,215
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,215
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,215
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,215
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,215
Los Angeles Clippers,18,325,1,-300
Phoenix Suns,11,325,1,215
Los Angeles Clippers,20,318,1,-300
Phoenix Suns,11,318,1,215
Los Angeles Clippers,20,300,1,-300
Phoenix Suns,11,300,1,215
Los Angeles Clippers,20,285,1,-280
Phoenix Suns,13,285,1,205
Los Angeles Clippers,20,279,1,-280
Phoenix Suns,13,279,1,205
Los Angeles Clippers,20,279,1,-300
Phoenix Suns,13,279,1,215
Los Angeles Clippers,20,279,1,-300
Phoenix Suns,13,279,1,215
Los Angeles Clippers,21,265,1,-300
Phoenix Suns,15,265,1,210
Los Angeles Clippers,21,265,1,-300
Phoenix Suns,15,265,1,210
Los Angeles Clippers,21,255,1,-250
Phoenix Suns,16,255,1,185
Los Angeles Clippers,21,247,1,-250
Phoenix Suns,16,247,1,185
Los Angeles Clippers,21,245,1,-250
Phoenix Suns,16,245,1,185
Los Angeles Clippers,23,224,1,-275
Phoenix Suns,18,224,1,200
Los Angeles Clippers,25,205,1,-275
Phoenix Suns,20,205,1,200
Los Angeles Clippers,27,183,1,-290
Phoenix Suns,20,183,1,210
Los Angeles Clippers,27,166,1,-275
Phoenix Suns,20,166,1,200
Los Angeles Clippers,27,160,1,-290
Phoenix Suns,20,160,1,210
Los Angeles Clippers,27,158,1,-290
Phoenix Suns,20,158,1,215
Los Angeles Clippers,27,139,1,-290
Phoenix Suns,20,139,1,215
Los Angeles Clippers,27,121,1,-290
Phoenix Suns,22,121,1,215
Los Angeles Clippers,29,102,1,-260
Phoenix Suns,22,102,1,190
Los Angeles Clippers,29,92,1,-290
Phoenix Suns,22,92,1,210
Los Angeles Clippers,29,92,1,-290
Phoenix Suns,22,92,1,210
Los Angeles Clippers,29,65,1,-290
Phoenix Suns,24,65,1,210
Los Angeles Clippers,31,52,1,-260
Phoenix Suns,24,52,1,190
Los Angeles Clippers,31,51,1,-290
Phoenix Suns,24,51,1,210
Los Angeles Clippers,31,39,1,-290
Phoenix Suns,24,39,1,215
Los Angeles Clippers,31,33,1,-290
Phoenix Suns,24,33,1,210
Los Angeles Clippers,31,14,1,-290
Phoenix Suns,24,14,1,215
Los Angeles Clippers,34,0,1,-290
Phoenix Suns,24,0,1,215
Los Angeles Clippers,34,0,1,-290
Phoenix Suns,24,0,1,215
Los Angeles Clippers,37,0,1,-370
Phoenix Suns,24,0,1,265
Los Angeles Clippers,37,0,1,-370
Phoenix Suns,24,0,1,260
Los Angeles Clippers,37,0,1,-550
Phoenix Suns,24,0,1,350
Los Angeles Clippers,37,0,1,-650
Phoenix Suns,24,0,1,385
Los Angeles Clippers,37,0,1,-650
Phoenix Suns,24,0,1,385
Los Angeles Clippers,37,0,1,-550
Phoenix Suns,24,0,1,350
Los Angeles Clippers,37,0,1,-550
Phoenix Suns,24,0,1,350
Los Angeles Clippers,37,0,1,-550
Phoenix Suns,24,0,1,350
Los Angeles Clippers,37,0,1,-550
Phoenix Suns,24,0,1,350
Los Angeles Clippers,37,708,2,-550
Phoenix Suns,24,708,2,350
Los Angeles Clippers,40,692,2,-550
Phoenix Suns,24,692,2,350
Los Angeles Clippers,42,676,2,-550
Phoenix Suns,24,676,2,350
Los Angeles Clippers,43,675,2,-800
Phoenix Suns,24,675,2,450
Los Angeles Clippers,43,660,2,-1200
Phoenix Suns,24,660,2,600
Los Angeles Clippers,45,642,2,-1200
Phoenix Suns,24,642,2,600
Los Angeles Clippers,45,631,2,-1600
Phoenix Suns,24,631,2,675
Los Angeles Clippers,45,630,2,-3300
Phoenix Suns,24,630,2,950
Los Angeles Clippers,47,608,2,-3300
Phoenix Suns,24,608,2,950
Los Angeles Clippers,47,588,2,-6600
Phoenix Suns,24,588,2,1300
Los Angeles Clippers,50,575,2,-6600
Phoenix Suns,24,575,2,1300
Los Angeles Clippers,50,574,2,-50000
Phoenix Suns,24,574,2,1500
Los Angeles Clippers,50,574,2,-6600
Phoenix Suns,24,574,2,1300
Los Angeles Clippers,50,574,2,-50000
Phoenix Suns,24,574,2,1500
Los Angeles Clippers,50,574,2,-50000
Phoenix Suns,24,574,2,1500
Los Angeles Clippers,50,574,2,-50000
Phoenix Suns,24,574,2,1500
Los Angeles Clippers,50,574,2,-50000
Phoenix Suns,24,574,2,1500
Los Angeles Clippers,50,574,2,-50000
Phoenix Suns,24,574,2,1500
Los Angeles Clippers,50,574,2,-50000
Phoenix Suns,24,574,2,1500
Los Angeles Clippers,50,574,2,-50000
Phoenix Suns,24,574,2,1500
Los Angeles Clippers,50,564,2,-50000
Phoenix Suns,24,564,2,1500
Los Angeles Clippers,50,556,2,-50000
Phoenix Suns,24,556,2,1500
Los Angeles Clippers,52,537,2,-50000
Phoenix Suns,24,537,2,1500
Los Angeles Clippers,52,520,2,-50000
Phoenix Suns,26,520,2,1500
Los Angeles Clippers,52,520,2,-50000
