Indiana Pacers,0,-1,0,105
New Orleans Pelicans,0,-1,0,-125
Indiana Pacers,0,680,1,100
New Orleans Pelicans,0,680,1,-130
Indiana Pacers,2,665,1,-110
New Orleans Pelicans,0,665,1,-120
Indiana Pacers,2,656,1,100
New Orleans Pelicans,0,656,1,-130
Indiana Pacers,2,656,1,-110
New Orleans Pelicans,0,656,1,-120
Indiana Pacers,2,642,1,-110
New Orleans Pelicans,0,642,1,-120
Indiana Pacers,2,642,1,-105
New Orleans Pelicans,0,642,1,-125
Indiana Pacers,2,623,1,-110
New Orleans Pelicans,0,623,1,-120
Indiana Pacers,2,619,1,-110
New Orleans Pelicans,0,619,1,-120
Indiana Pacers,2,605,1,-110
New Orleans Pelicans,0,605,1,-120
Indiana Pacers,2,584,1,-110
New Orleans Pelicans,0,584,1,-120
Indiana Pacers,2,563,1,-110
New Orleans Pelicans,2,563,1,-120
Indiana Pacers,2,542,1,-110
New Orleans Pelicans,2,542,1,-120
Indiana Pacers,2,521,1,-110
New Orleans Pelicans,5,521,1,-120
Indiana Pacers,5,501,1,100
New Orleans Pelicans,5,501,1,-130
Indiana Pacers,5,483,1,110
New Orleans Pelicans,5,483,1,-150
Indiana Pacers,5,481,1,100
New Orleans Pelicans,7,481,1,-130
Indiana Pacers,8,470,1,100
New Orleans Pelicans,8,470,1,-130
Indiana Pacers,10,381,1,115
New Orleans Pelicans,13,381,1,-155
Indiana Pacers,10,377,1,130
New Orleans Pelicans,13,377,1,-175
Indiana Pacers,10,377,1,115
New Orleans Pelicans,13,377,1,-155
Indiana Pacers,10,377,1,115
New Orleans Pelicans,13,377,1,-155
Indiana Pacers,10,377,1,115
New Orleans Pelicans,13,377,1,-155
Indiana Pacers,10,377,1,115
New Orleans Pelicans,13,377,1,-155
Indiana Pacers,10,377,1,115
New Orleans Pelicans,13,377,1,-155
Indiana Pacers,10,377,1,140
New Orleans Pelicans,13,377,1,-185
Indiana Pacers,10,377,1,140
New Orleans Pelicans,13,377,1,-185
Indiana Pacers,10,377,1,140
New Orleans Pelicans,13,377,1,-185
Indiana Pacers,10,383,1,140
New Orleans Pelicans,13,383,1,-185
Indiana Pacers,12,361,1,140
New Orleans Pelicans,13,361,1,-185
Indiana Pacers,12,343,1,125
New Orleans Pelicans,15,343,1,-165
Indiana Pacers,12,324,1,140
New Orleans Pelicans,15,324,1,-185
Indiana Pacers,12,324,1,135
New Orleans Pelicans,15,324,1,-180
Indiana Pacers,13,324,1,120
New Orleans Pelicans,15,324,1,-160
Indiana Pacers,14,324,1,125
New Orleans Pelicans,15,324,1,-165
Indiana Pacers,14,302,1,120
New Orleans Pelicans,15,302,1,-160
Indiana Pacers,14,296,1,125
New Orleans Pelicans,18,296,1,-165
Indiana Pacers,14,277,1,120
New Orleans Pelicans,18,277,1,-160
Indiana Pacers,14,269,1,115
New Orleans Pelicans,18,269,1,-155
Indiana Pacers,14,269,1,140
New Orleans Pelicans,18,269,1,-185
Indiana Pacers,14,269,1,120
New Orleans Pelicans,18,269,1,-160
Indiana Pacers,14,269,1,140
New Orleans Pelicans,18,269,1,-185
Indiana Pacers,14,269,1,140
New Orleans Pelicans,18,269,1,-185
Indiana Pacers,14,269,1,140
New Orleans Pelicans,18,269,1,-185
Indiana Pacers,14,269,1,140
New Orleans Pelicans,18,269,1,-185
Indiana Pacers,14,269,1,140
