Sacramento Kings,0,-1,0,-125
Golden State Warriors,0,-1,0,105
Sacramento Kings,0,709,1,-130
Golden State Warriors,0,709,1,100
Sacramento Kings,0,690,1,-130
Golden State Warriors,0,690,1,100
Sacramento Kings,0,677,1,-130
Golden State Warriors,2,677,1,100
Sacramento Kings,0,657,1,-120
Golden State Warriors,2,657,1,-110
Sacramento Kings,0,637,1,-130
Golden State Warriors,5,637,1,100
Sacramento Kings,0,628,1,-120
Golden State Warriors,5,628,1,-110
Sacramento Kings,0,616,1,-110
Golden State Warriors,5,616,1,-120
Sacramento Kings,0,602,1,-110
Golden State Warriors,8,602,1,-120
Sacramento Kings,1,602,1,-110
Golden State Warriors,8,602,1,-120
Sacramento Kings,1,594,1,110
Golden State Warriors,8,594,1,-150
Sacramento Kings,1,578,1,110
Golden State Warriors,8,578,1,-150
Sacramento Kings,3,559,1,110
Golden State Warriors,8,559,1,-150
Sacramento Kings,3,544,1,105
Golden State Warriors,8,544,1,-135
Sacramento Kings,3,538,1,110
Golden State Warriors,8,538,1,-145
Sacramento Kings,3,524,1,110
Golden State Warriors,8,524,1,-145
Sacramento Kings,3,522,1,105
Golden State Warriors,8,522,1,-135
Sacramento Kings,4,522,1,105
Golden State Warriors,8,522,1,-135
Sacramento Kings,4,512,1,105
Golden State Warriors,8,512,1,-135
Sacramento Kings,4,498,1,-105
Golden State Warriors,10,498,1,-125
Sacramento Kings,4,491,1,110
Golden State Warriors,10,491,1,-145
Sacramento Kings,4,478,1,100
Golden State Warriors,10,478,1,-130
Sacramento Kings,4,474,1,110
Golden State Warriors,10,474,1,-150
Sacramento Kings,4,459,1,110
Golden State Warriors,10,459,1,-150
Sacramento Kings,4,438,1,110
Golden State Warriors,10,438,1,-150
Sacramento Kings,4,431,1,105
Golden State Warriors,10,431,1,-135
Sacramento Kings,4,438,1,110
Golden State Warriors,10,438,1,-150
Sacramento Kings,4,438,1,105
Golden State Warriors,10,438,1,-135
Sacramento Kings,5,423,1,110
Golden State Warriors,10,423,1,-145
Sacramento Kings,7,407,1,105
Golden State Warriors,12,407,1,-135
Sacramento Kings,7,412,1,110
Golden State Warriors,12,412,1,-145
Sacramento Kings,7,412,1,105
Golden State Warriors,12,412,1,-135
Sacramento Kings,7,412,1,105
Golden State Warriors,12,412,1,-135
Sacramento Kings,7,412,1,105
Golden State Warriors,12,412,1,-135
Sacramento Kings,7,412,1,105
Golden State Warriors,12,412,1,-135
Sacramento Kings,7,412,1,105
Golden State Warriors,12,412,1,-135
Sacramento Kings,7,412,1,105
Golden State Warriors,12,412,1,-135
Sacramento Kings,7,412,1,105
Golden State Warriors,12,412,1,-135
Sacramento Kings,7,412,1,105
Golden State Warriors,12,412,1,-135
Sacramento Kings,7,404,1,105
Golden State Warriors,12,404,1,-135
Sacramento Kings,7,386,1,110
Golden State Warriors,12,386,1,-145
Sacramento Kings,7,389,1,105
Golden State Warriors,12,389,1,-135
Sacramento Kings,7,373,1,105
Golden State Warriors,14,373,1,-135
Sacramento Kings,7,368,1,-105
Golden State Warriors,14,368,1,-125
Sacramento Kings,7,357,1,105
Golden State Warriors,14,357,1,-135
Sacramento Kings,7,343,1,110
Golden State Warriors,16,343,1,-150
Sacramento Kings,7,324,1,130
Golden State Warriors,16,324,1,-175
Sacramento Kings,7,316,1,135
Golden State Warriors,19,316,1,-180
Sacramento Kings,7,322,1,165
Golden State Warriors,19,322,1,-220
Sacramento Kings,7,322,1,165
Golden State Warriors,19,322,1,-220
Sacramento Kings,7,322,1,165
Golden State Warriors,19,322,1,-220
Sacramento Kings,7,322,1,165
Golden State Warriors,19,322,1,-220
Sacramento Kings,7,322,1,165
Golden State Warriors,19,322,1,-220
Sacramento Kings,7,322,1,165
Golden State Warriors,19,322,1,-220
Sacramento Kings,7,322,1,165
Golden State Warriors,19,322,1,-220
Sacramento Kings,7,322,1,165
Golden State Warriors,19,322,1,-220
Sacramento Kings,7,322,1,170
Golden State Warriors,19,322,1,-230
Sacramento Kings,7,320,1,165
Golden State Warriors,19,320,1,-220
Sacramento Kings,7,311,1,170
Golden State Warriors,19,311,1,-230
Sacramento Kings,7,293,1,185
Golden State Warriors,21,293,1,-245
Sacramento Kings,7,285,1,215
Golden State Warriors,21,285,1,-300
Sacramento Kings,7,279,1,180
Golden State Warriors,21,279,1,-245
Sacramento Kings,7,274,1,220
Golden State Warriors,21,274,1,-300
Sacramento Kings,9,258,1,215
Golden State Warriors,21,258,1,-300
Sacramento Kings,9,243,1,225
Golden State Warriors,21,243,1,-310
Sacramento Kings,9,240,1,190
Golden State Warriors,21,240,1,-260
Sacramento Kings,10,240,1,170
Golden State Warriors,21,240,1,-230
Sacramento Kings,11,239,1,165
Golden State Warriors,21,239,1,-220
Sacramento Kings,11,222,1,165
Golden State Warriors,24,222,1,-220
Sacramento Kings,11,203,1,165
Golden State Warriors,24,203,1,-220
Sacramento Kings,11,199,1,165
Golden State Warriors,24,199,1,-220
Sacramento Kings,11,208,1,220
Golden State Warriors,25,208,1,-300
Sacramento Kings,11,196,1,220
Golden State Warriors,26,196,1,-300
Sacramento Kings,14,178,1,265
Golden State Warriors,26,178,1,-380
Sacramento Kings,14,173,1,220
Golden State Warriors,29,173,1,-300
Sacramento Kings,14,163,1,210
Golden State Warriors,29,163,1,-290
Sacramento Kings,14,156,1,295
Golden State Warriors,29,156,1,-450
Sacramento Kings,14,156,1,320
Golden State Warriors,29,156,1,-475
Sacramento Kings,14,144,1,295
Golden State Warriors,29,144,1,-450
Sacramento Kings,14,151,1,320
Golden State Warriors,29,151,1,-475
Sacramento Kings,14,151,1,320
Golden State Warriors,29,151,1,-475
Sacramento Kings,14,142,1,315
Golden State Warriors,30,142,1,-475
Sacramento Kings,14,144,1,320
Golden State Warriors,30,144,1,-475
Sacramento Kings,14,144,1,325
Golden State Warriors,30,144,1,-475
Sacramento Kings,14,144,1,325
Golden State Warriors,30,144,1,-475
Sacramento Kings,14,144,1,325
Golden State Warriors,30,144,1,-475
Sacramento Kings,14,144,1,325
Golden State Warriors,30,144,1,-475
Sacramento Kings,14,138,1,325
Golden State Warriors,30,138,1,-475
Sacramento Kings,17,121,1,325
Golden State Warriors,30,121,1,-475
Sacramento Kings,17,108,1,300
Golden State Warriors,32,108,1,-450
Sacramento Kings,17,91,1,300
Golden State Warriors,32,91,1,-450
Sacramento Kings,17,75,1,315
Golden State Warriors,32,75,1,-450
Sacramento Kings,17,57,1,235
Golden State Warriors,34,57,1,-330
Sacramento Kings,17,41,1,400
