Washington Wizards,0,-1,0,220
Philadelphia 76ers,0,-1,0,-270
Washington Wizards,13,402,1,205
Philadelphia 76ers,12,402,1,-280
Washington Wizards,13,385,1,205
Philadelphia 76ers,12,385,1,-280
Washington Wizards,13,369,1,210
Philadelphia 76ers,12,369,1,-280
Washington Wizards,13,370,1,205
Philadelphia 76ers,12,370,1,-280
Washington Wizards,13,353,1,215
Philadelphia 76ers,15,353,1,-300
Washington Wizards,13,342,1,215
Philadelphia 76ers,15,342,1,-300
Washington Wizards,14,342,1,210
Philadelphia 76ers,15,342,1,-280
Washington Wizards,14,334,1,210
Philadelphia 76ers,15,334,1,-300
Washington Wizards,14,325,1,215
Philadelphia 76ers,15,325,1,-300
Washington Wizards,14,314,1,205
Philadelphia 76ers,15,314,1,-280
Washington Wizards,14,295,1,215
Philadelphia 76ers,18,295,1,-300
Washington Wizards,14,279,1,215
Philadelphia 76ers,18,279,1,-300
Washington Wizards,14,285,1,235
Philadelphia 76ers,18,285,1,-330
Washington Wizards,14,285,1,225
Philadelphia 76ers,18,285,1,-310
Washington Wizards,14,285,1,225
Philadelphia 76ers,18,285,1,-310
Washington Wizards,14,285,1,225
Philadelphia 76ers,18,285,1,-310
Washington Wizards,14,285,1,225
Philadelphia 76ers,18,285,1,-310
Washington Wizards,14,285,1,225
Philadelphia 76ers,18,285,1,-310
Washington Wizards,14,285,1,225
Philadelphia 76ers,18,285,1,-310
Washington Wizards,14,285,1,225
Philadelphia 76ers,18,285,1,-310
Washington Wizards,14,285,1,225
Philadelphia 76ers,18,285,1,-310
Washington Wizards,14,273,1,225
Philadelphia 76ers,18,273,1,-310
Washington Wizards,16,257,1,225
Philadelphia 76ers,18,257,1,-310
Washington Wizards,16,248,1,220
Philadelphia 76ers,18,248,1,-310
Washington Wizards,16,248,1,230
Philadelphia 76ers,19,248,1,-310
Washington Wizards,16,235,1,230
Philadelphia 76ers,21,235,1,-310
Washington Wizards,16,217,1,225
Philadelphia 76ers,21,217,1,-310
Washington Wizards,16,199,1,245
Philadelphia 76ers,23,199,1,-350
Washington Wizards,19,183,1,250
Philadelphia 76ers,23,183,1,-360
Washington Wizards,19,166,1,245
Philadelphia 76ers,26,166,1,-350
Washington Wizards,21,147,1,275
Philadelphia 76ers,26,147,1,-400
Washington Wizards,21,128,1,260
Philadelphia 76ers,26,128,1,-370
Washington Wizards,21,129,1,260
Philadelphia 76ers,26,129,1,-370
Washington Wizards,21,122,1,245
Philadelphia 76ers,26,122,1,-350
Washington Wizards,21,122,1,235
Philadelphia 76ers,26,122,1,-350
Washington Wizards,22,122,1,225
Philadelphia 76ers,26,122,1,-310
Washington Wizards,22,107,1,225
Philadelphia 76ers,26,107,1,-310
Washington Wizards,22,89,1,235
Philadelphia 76ers,28,89,1,-330
Washington Wizards,22,72,1,260
Philadelphia 76ers,31,72,1,-360
Washington Wizards,22,51,1,315
Philadelphia 76ers,31,51,1,-475
Washington Wizards,22,55,1,315
Philadelphia 76ers,31,55,1,-475
Washington Wizards,22,38,1,325
Philadelphia 76ers,31,38,1,-475
Washington Wizards,24,30,1,325
Philadelphia 76ers,31,30,1,-475
Washington Wizards,24,18,1,300
Philadelphia 76ers,31,18,1,-475
Washington Wizards,24,18,1,300
Philadelphia 76ers,32,18,1,-475
Washington Wizards,24,18,1,325
Philadelphia 76ers,33,18,1,-475
Washington Wizards,24,0,1,325
Philadelphia 76ers,33,0,1,-475
Washington Wizards,24,720,2,325
Philadelphia 76ers,33,720,2,-475
Washington Wizards,24,720,2,325
Philadelphia 76ers,33,720,2,-475
Washington Wizards,24,720,2,325
Philadelphia 76ers,33,720,2,-475
Washington Wizards,24,720,2,325
Philadelphia 76ers,33,720,2,-475
Washington Wizards,24,720,2,325
Philadelphia 76ers,33,720,2,-475
Washington Wizards,24,720,2,325
Philadelphia 76ers,33,720,2,-475
Washington Wizards,24,720,2,325
Philadelphia 76ers,33,720,2,-475
Washington Wizards,24,720,2,325
Philadelphia 76ers,33,720,2,-475
Washington Wizards,24,707,2,325
Philadelphia 76ers,33,707,2,-475
