Minnesota Timberwolves,0,0,1,350
Portland Trail Blazers,0,0,1,-550
Minnesota Timberwolves,2,684,1,400
Portland Trail Blazers,0,684,1,-700
Minnesota Timberwolves,2,666,1,400
Portland Trail Blazers,0,666,1,-700
Minnesota Timberwolves,2,644,1,400
Portland Trail Blazers,2,644,1,-700
Minnesota Timberwolves,2,637,1,400
Portland Trail Blazers,2,637,1,-700
Minnesota Timberwolves,2,633,1,400
Portland Trail Blazers,2,633,1,-700
Minnesota Timberwolves,5,613,1,400
Portland Trail Blazers,2,613,1,-700
Minnesota Timberwolves,5,598,1,385
Portland Trail Blazers,2,598,1,-650
Minnesota Timberwolves,5,597,1,385
Portland Trail Blazers,2,597,1,-650
Minnesota Timberwolves,5,579,1,385
Portland Trail Blazers,2,579,1,-650
Minnesota Timberwolves,5,574,1,385
Portland Trail Blazers,2,574,1,-650
Minnesota Timberwolves,5,567,1,385
Portland Trail Blazers,2,567,1,-650
Minnesota Timberwolves,5,567,1,400
Portland Trail Blazers,3,567,1,-700
Minnesota Timberwolves,5,561,1,400
Portland Trail Blazers,4,561,1,-700
Minnesota Timberwolves,5,561,1,400
Portland Trail Blazers,4,561,1,-700
Minnesota Timberwolves,5,548,1,400
Portland Trail Blazers,4,548,1,-700
Minnesota Timberwolves,5,531,1,400
Portland Trail Blazers,4,531,1,-700
Minnesota Timberwolves,5,522,1,400
Portland Trail Blazers,4,522,1,-700
Minnesota Timberwolves,8,506,1,385
Portland Trail Blazers,4,506,1,-650
Minnesota Timberwolves,8,484,1,385
Portland Trail Blazers,4,484,1,-650
Minnesota Timberwolves,8,484,1,350
Portland Trail Blazers,4,484,1,-550
Minnesota Timberwolves,8,484,1,400
Portland Trail Blazers,5,484,1,-700
Minnesota Timberwolves,10,472,1,400
Portland Trail Blazers,6,472,1,-700
Minnesota Timberwolves,10,460,1,400
Portland Trail Blazers,6,460,1,-700
Minnesota Timberwolves,10,450,1,385
Portland Trail Blazers,6,450,1,-650
Minnesota Timberwolves,10,450,1,350
Portland Trail Blazers,6,450,1,-550
Minnesota Timberwolves,10,438,1,350
Portland Trail Blazers,6,438,1,-550
Minnesota Timberwolves,10,438,1,320
Portland Trail Blazers,6,438,1,-475
Minnesota Timberwolves,11,438,1,320
Portland Trail Blazers,6,438,1,-475
Minnesota Timberwolves,12,431,1,320
Portland Trail Blazers,6,431,1,-475
Minnesota Timberwolves,12,409,1,320
Portland Trail Blazers,8,409,1,-475
Minnesota Timberwolves,12,401,1,350
Portland Trail Blazers,8,401,1,-550
Minnesota Timberwolves,12,401,1,350
Portland Trail Blazers,8,401,1,-550
Minnesota Timberwolves,12,401,1,350
Portland Trail Blazers,8,401,1,-550
Minnesota Timberwolves,12,401,1,350
Portland Trail Blazers,8,401,1,-550
Minnesota Timberwolves,12,401,1,350
Portland Trail Blazers,8,401,1,-550
Minnesota Timberwolves,12,401,1,350
Portland Trail Blazers,8,401,1,-550
Minnesota Timberwolves,12,360,1,350
Portland Trail Blazers,8,360,1,-550
Minnesota Timberwolves,12,360,1,315
Portland Trail Blazers,8,360,1,-475
Minnesota Timberwolves,12,360,1,315
Portland Trail Blazers,8,360,1,-475
Minnesota Timberwolves,12,360,1,315
Portland Trail Blazers,8,360,1,-475
Minnesota Timberwolves,12,360,1,315
Portland Trail Blazers,8,360,1,-475
Minnesota Timberwolves,12,383,1,315
Portland Trail Blazers,10,383,1,-475
Minnesota Timberwolves,14,366,1,385
Portland Trail Blazers,10,366,1,-650
Minnesota Timberwolves,14,361,1,350
Portland Trail Blazers,10,361,1,-550
Minnesota Timberwolves,14,349,1,320
Portland Trail Blazers,10,349,1,-475
Minnesota Timberwolves,14,333,1,350
Portland Trail Blazers,10,333,1,-550
Minnesota Timberwolves,14,333,1,320
Portland Trail Blazers,10,333,1,-475
Minnesota Timberwolves,14,332,1,385
Portland Trail Blazers,11,332,1,-650
Minnesota Timberwolves,14,329,1,385
Portland Trail Blazers,11,329,1,-650
Minnesota Timberwolves,14,310,1,385
Portland Trail Blazers,11,310,1,-650
