Toronto Raptors,0,-1,0,165
Portland Trail Blazers,0,-1,0,-190
Toronto Raptors,52,411,2,-475
Portland Trail Blazers,35,411,2,320
Toronto Raptors,52,411,2,-475
Portland Trail Blazers,35,411,2,320
Toronto Raptors,52,411,2,-475
Portland Trail Blazers,35,411,2,320
Toronto Raptors,52,411,2,-475
Portland Trail Blazers,35,411,2,320
Toronto Raptors,52,403,2,-475
Portland Trail Blazers,35,403,2,320
Toronto Raptors,52,385,2,-550
Portland Trail Blazers,35,385,2,350
Toronto Raptors,52,368,2,-650
Portland Trail Blazers,38,368,2,385
Toronto Raptors,52,356,2,-370
Portland Trail Blazers,38,356,2,260
Toronto Raptors,52,349,2,-330
Portland Trail Blazers,38,349,2,235
Toronto Raptors,52,332,2,-330
Portland Trail Blazers,40,332,2,235
Toronto Raptors,54,314,2,-280
Portland Trail Blazers,40,314,2,210
Toronto Raptors,54,297,2,-350
Portland Trail Blazers,40,297,2,245
Toronto Raptors,54,297,2,-400
Portland Trail Blazers,40,297,2,275
Toronto Raptors,54,297,2,-350
Portland Trail Blazers,40,297,2,245
Toronto Raptors,54,283,2,-350
Portland Trail Blazers,40,283,2,245
Toronto Raptors,54,266,2,-360
Portland Trail Blazers,40,266,2,250
Toronto Raptors,54,249,2,-400
Portland Trail Blazers,43,249,2,275
Toronto Raptors,54,233,2,-260
Portland Trail Blazers,43,233,2,190
Toronto Raptors,56,214,2,-240
Portland Trail Blazers,43,214,2,175
Toronto Raptors,56,208,2,-275
Portland Trail Blazers,43,208,2,200
Toronto Raptors,56,193,2,-320
Portland Trail Blazers,43,193,2,230
Toronto Raptors,56,193,2,-320
Portland Trail Blazers,43,193,2,225
Toronto Raptors,56,191,2,-320
Portland Trail Blazers,43,191,2,225
Toronto Raptors,56,174,2,-320
Portland Trail Blazers,43,174,2,225
Toronto Raptors,58,157,2,-350
Portland Trail Blazers,43,157,2,245
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,152,2,-475
Portland Trail Blazers,43,152,2,320
Toronto Raptors,58,141,2,-475
Portland Trail Blazers,45,141,2,320
Toronto Raptors,58,127,2,-360
Portland Trail Blazers,45,127,2,260
Toronto Raptors,58,127,2,-350
Portland Trail Blazers,45,127,2,245
Toronto Raptors,58,119,2,-350
Portland Trail Blazers,45,119,2,245
Toronto Raptors,58,110,2,-350
Portland Trail Blazers,45,110,2,245
Toronto Raptors,58,110,2,-360
Portland Trail Blazers,46,110,2,250
Toronto Raptors,58,105,2,-300
Portland Trail Blazers,46,105,2,215
Toronto Raptors,58,88,2,-320
Portland Trail Blazers,46,88,2,230
Toronto Raptors,58,82,2,-320
Portland Trail Blazers,48,82,2,225
Toronto Raptors,58,77,2,-230
Portland Trail Blazers,49,77,2,170
Toronto Raptors,58,63,2,-215
Portland Trail Blazers,49,63,2,160
Toronto Raptors,58,59,2,-220
Portland Trail Blazers,49,59,2,165
Toronto Raptors,58,42,2,-220
Portland Trail Blazers,49,42,2,165
Toronto Raptors,60,26,2,-210
Portland Trail Blazers,49,26,2,155
Toronto Raptors,60,26,2,-220
Portland Trail Blazers,49,26,2,165
Toronto Raptors,60,26,2,-260
Portland Trail Blazers,49,26,2,190
Toronto Raptors,60,26,2,-260
Portland Trail Blazers,50,26,2,190
Toronto Raptors,60,25,2,-245
Portland Trail Blazers,51,25,2,180
Toronto Raptors,60,9,2,-230
Portland Trail Blazers,51,9,2,170
Toronto Raptors,60,0,2,-215
Portland Trail Blazers,53,0,2,160
Toronto Raptors,60,2,2,-165
Portland Trail Blazers,53,2,2,125
Toronto Raptors,60,0,2,-165
Portland Trail Blazers,53,0,2,125
Toronto Raptors,60,2,2,-165
Portland Trail Blazers,53,2,2,125
Toronto Raptors,60,1,2,-150
Portland Trail Blazers,55,1,2,110
Toronto Raptors,60,0,2,-145
Portland Trail Blazers,55,0,2,110
Toronto Raptors,60,600,3,-135
