New Orleans Pelicans,0,-1,0,195
Utah Jazz,0,-1,0,-235
New Orleans Pelicans,38,425,2,425
Utah Jazz,46,425,2,-750
New Orleans Pelicans,38,425,2,425
Utah Jazz,46,425,2,-750
New Orleans Pelicans,38,425,2,425
Utah Jazz,46,425,2,-750
New Orleans Pelicans,38,425,2,385
Utah Jazz,46,425,2,-650
New Orleans Pelicans,38,425,2,385
Utah Jazz,46,425,2,-650
New Orleans Pelicans,38,425,2,385
Utah Jazz,46,425,2,-650
New Orleans Pelicans,38,414,2,385
Utah Jazz,46,414,2,-650
New Orleans Pelicans,38,400,2,385
Utah Jazz,46,400,2,-650
New Orleans Pelicans,38,400,2,350
Utah Jazz,46,400,2,-550
New Orleans Pelicans,40,387,2,350
Utah Jazz,46,387,2,-550
New Orleans Pelicans,40,366,2,350
Utah Jazz,46,366,2,-550
New Orleans Pelicans,40,347,2,350
Utah Jazz,46,347,2,-550
New Orleans Pelicans,42,329,2,320
Utah Jazz,46,329,2,-475
New Orleans Pelicans,42,310,2,315
Utah Jazz,46,310,2,-475
New Orleans Pelicans,44,302,2,315
Utah Jazz,46,302,2,-475
New Orleans Pelicans,44,302,2,250
Utah Jazz,46,302,2,-360
New Orleans Pelicans,45,296,2,215
Utah Jazz,46,296,2,-300
New Orleans Pelicans,45,276,2,215
Utah Jazz,46,276,2,-300
New Orleans Pelicans,45,256,2,200
Utah Jazz,46,256,2,-275
New Orleans Pelicans,47,235,2,215
Utah Jazz,46,235,2,-300
New Orleans Pelicans,47,217,2,200
Utah Jazz,46,217,2,-275
New Orleans Pelicans,47,198,2,165
Utah Jazz,49,198,2,-220
New Orleans Pelicans,47,181,2,210
Utah Jazz,49,181,2,-290
New Orleans Pelicans,47,162,2,225
Utah Jazz,49,162,2,-310
New Orleans Pelicans,47,145,2,225
Utah Jazz,49,145,2,-310
New Orleans Pelicans,47,142,2,210
Utah Jazz,49,142,2,-290
New Orleans Pelicans,47,142,2,210
Utah Jazz,49,142,2,-290
New Orleans Pelicans,47,133,2,220
Utah Jazz,49,133,2,-300
New Orleans Pelicans,47,116,2,225
Utah Jazz,49,116,2,-310
New Orleans Pelicans,49,95,2,210
Utah Jazz,49,95,2,-290
New Orleans Pelicans,49,90,2,195
Utah Jazz,51,90,2,-275
New Orleans Pelicans,49,90,2,220
Utah Jazz,51,90,2,-310
New Orleans Pelicans,49,78,2,220
Utah Jazz,52,78,2,-310
New Orleans Pelicans,49,70,2,220
Utah Jazz,52,70,2,-310
New Orleans Pelicans,49,68,2,245
Utah Jazz,52,68,2,-350
New Orleans Pelicans,49,50,2,245
Utah Jazz,52,50,2,-350
New Orleans Pelicans,49,45,2,225
Utah Jazz,52,45,2,-310
New Orleans Pelicans,49,30,2,225
Utah Jazz,52,30,2,-310
New Orleans Pelicans,49,18,2,225
Utah Jazz,55,18,2,-310
New Orleans Pelicans,49,10,2,245
Utah Jazz,55,10,2,-350
New Orleans Pelicans,49,10,2,300
Utah Jazz,55,10,2,-450
New Orleans Pelicans,49,10,2,300
Utah Jazz,55,10,2,-450
New Orleans Pelicans,49,0,2,300
Utah Jazz,55,0,2,-450
New Orleans Pelicans,49,600,3,320
Utah Jazz,55,600,3,-475
New Orleans Pelicans,49,600,3,320
Utah Jazz,55,600,3,-475
New Orleans Pelicans,49,600,3,320
Utah Jazz,55,600,3,-475
New Orleans Pelicans,49,600,3,320
Utah Jazz,55,600,3,-475
New Orleans Pelicans,49,600,3,320
Utah Jazz,55,600,3,-475
New Orleans Pelicans,51,621,3,350
Utah Jazz,57,621,3,-550
