Oklahoma City Thunder,0,-1,0,240,-105,7.5,A
Phoenix Suns,0,-1,0,-290,-115,-7.5,H
Oklahoma City Thunder,0,660,1,285,-115,8.0,A
Phoenix Suns,2,660,1,-425,-115,-8.0,H
Oklahoma City Thunder,0,660,1,270,-115,7.5,A
Phoenix Suns,2,660,1,-390,-115,-7.5,H
Oklahoma City Thunder,0,660,1,285,-115,8.0,A
Phoenix Suns,2,660,1,-425,-115,-8.0,H
Oklahoma City Thunder,0,600,1,285,-115,8.0,A
Phoenix Suns,2,600,1,-425,-115,-8.0,H
Oklahoma City Thunder,0,600,1,290,-115,8.5,A
Phoenix Suns,5,600,1,-425,-115,-8.5,H
Oklahoma City Thunder,0,600,1,305,-120,10.5,A
Phoenix Suns,5,600,1,-475,-110,-10.5,H
Oklahoma City Thunder,0,540,1,300,-120,9.0,A
Phoenix Suns,5,540,1,-475,-110,-9.0,H
Oklahoma City Thunder,3,540,1,305,-120,10.5,A
Phoenix Suns,5,540,1,-475,-110,-10.5,H
Oklahoma City Thunder,3,540,1,315,-120,10.5,A
Phoenix Suns,5,540,1,-475,-110,-10.5,H
Oklahoma City Thunder,3,480,1,295,-115,9.0,A
Phoenix Suns,7,480,1,-475,-115,-9.0,H
Oklahoma City Thunder,3,480,1,315,-115,10.0,A
Phoenix Suns,10,480,1,-475,-115,-10.0,H
Oklahoma City Thunder,3,480,1,320,-110,9.5,A
Phoenix Suns,10,480,1,-475,-120,-9.5,H
Oklahoma City Thunder,3,420,1,320,-110,9.5,A
Phoenix Suns,10,420,1,-475,-120,-9.5,H
Oklahoma City Thunder,6,420,1,360,-115,11.5,A
Phoenix Suns,10,420,1,-575,-115,-11.5,H
Oklahoma City Thunder,6,420,1,360,-115,11.5,A
Phoenix Suns,12,420,1,-575,-115,-11.5,H
Oklahoma City Thunder,6,420,1,350,-115,11.0,A
Phoenix Suns,13,420,1,-550,-115,-11.0,H
Oklahoma City Thunder,6,360,1,365,-115,11.5,A
Phoenix Suns,13,360,1,-550,-115,-11.5,H
Oklahoma City Thunder,6,360,1,330,-115,10.5,A
Phoenix Suns,13,360,1,-500,-115,-10.5,H
Oklahoma City Thunder,6,360,1,330,-115,10.5,A
Phoenix Suns,13,360,1,-500,-115,-10.5,H
Oklahoma City Thunder,6,360,1,315,-115,10.0,A
Phoenix Suns,13,360,1,-475,-115,-10.0,H
Oklahoma City Thunder,6,360,1,315,-115,10.0,A
Phoenix Suns,13,360,1,-475,-115,-10.0,H
Oklahoma City Thunder,6,360,1,315,-115,10.0,A
Phoenix Suns,13,360,1,-475,-115,-10.0,H
Oklahoma City Thunder,6,360,1,315,-115,10.0,A
Phoenix Suns,13,360,1,-475,-115,-10.0,H
Oklahoma City Thunder,6,360,1,315,-115,10.0,A
Phoenix Suns,13,360,1,-475,-115,-10.0,H
Oklahoma City Thunder,6,360,1,375,-115,10.5,A
Phoenix Suns,13,360,1,-600,-115,-10.5,H
Oklahoma City Thunder,6,360,1,375,-115,10.5,A
Phoenix Suns,13,360,1,-600,-115,-10.5,H
Oklahoma City Thunder,6,360,1,450,-115,12.0,A
Phoenix Suns,13,360,1,-800,-115,-12.0,H
Oklahoma City Thunder,7,360,1,385,-115,10.5,A
Phoenix Suns,13,360,1,-650,-115,-10.5,H
Oklahoma City Thunder,7,360,1,385,-115,10.5,A
Phoenix Suns,16,360,1,-650,-115,-10.5,H
Oklahoma City Thunder,10,300,1,385,-115,10.5,A
Phoenix Suns,16,300,1,-650,-115,-10.5,H
Oklahoma City Thunder,10,300,1,425,-115,11.5,A
Phoenix Suns,16,300,1,-700,-115,-11.5,H
Oklahoma City Thunder,10,300,1,425,-115,11.5,A
Phoenix Suns,16,300,1,-700,-115,-11.5,H
Oklahoma City Thunder,10,300,1,425,-115,11.5,A
Phoenix Suns,16,300,1,-700,-115,-11.5,H
Oklahoma City Thunder,10,300,1,385,-120,10.5,A
Phoenix Suns,16,300,1,-650,-110,-10.5,H
Oklahoma City Thunder,10,240,1,385,-120,10.5,A
Phoenix Suns,16,240,1,-650,-110,-10.5,H
Oklahoma City Thunder,10,240,1,425,-115,11.5,A
Phoenix Suns,18,240,1,-750,-115,-11.5,H
Oklahoma City Thunder,10,240,1,425,-115,11.5,A
Phoenix Suns,18,240,1,-750,-115,-11.5,H
Oklahoma City Thunder,10,240,1,450,-115,11.5,A
Phoenix Suns,18,240,1,-800,-115,-11.5,H
Oklahoma City Thunder,10,240,1,450,-115,11.5,A
Phoenix Suns,18,240,1,-800,-115,-11.5,H
Oklahoma City Thunder,10,240,1,450,-115,11.5,A
Phoenix Suns,18,240,1,-800,-115,-11.5,H
Oklahoma City Thunder,10,240,1,425,-115,11.0,A
Phoenix Suns,18,240,1,-750,-115,-11.0,H
Oklahoma City Thunder,10,240,1,425,-115,11.0,A
Phoenix Suns,18,240,1,-750,-115,-11.0,H
Oklahoma City Thunder,10,240,1,425,-115,11.0,A
Phoenix Suns,18,240,1,-750,-115,-11.0,H
Oklahoma City Thunder,10,240,1,425,-115,11.0,A
Phoenix Suns,18,240,1,-750,-115,-11.0,H
Oklahoma City Thunder,10,240,1,425,-115,11.0,A
Phoenix Suns,18,240,1,-750,-115,-11.0,H
Oklahoma City Thunder,10,240,1,425,-115,11.0,A
Phoenix Suns,18,240,1,-750,-115,-11.0,H
Oklahoma City Thunder,10,180,1,475,-115,12.0,A
Phoenix Suns,18,180,1,-900,-115,-12.0,H
Oklahoma City Thunder,12,180,1,475,-115,12.0,A
Phoenix Suns,21,180,1,-900,-115,-12.0,H
Oklahoma City Thunder,12,180,1,525,-115,12.5,A
Phoenix Suns,23,180,1,-950,-115,-12.5,H
Oklahoma City Thunder,15,180,1,575,-115,13.0,A
Phoenix Suns,23,180,1,-1100,-115,-13.0,H
Oklahoma City Thunder,15,180,1,525,-115,11.5,A
Phoenix Suns,23,180,1,-1100,-115,-11.5,H
Oklahoma City Thunder,15,120,1,475,-120,10.5,A
