Brooklyn Nets,0,690,1,-360,-115,-6.5,A
Oklahoma City Thunder,3,690,1,250,-115,6.5,H
Brooklyn Nets,0,675,1,-330,-120,-6.5,A
Oklahoma City Thunder,5,675,1,235,-110,6.5,H
Brooklyn Nets,2,652,1,-360,-115,-6.5,A
Oklahoma City Thunder,5,652,1,250,-115,6.5,H
Brooklyn Nets,4,634,1,-330,-115,-6.5,A
Oklahoma City Thunder,8,634,1,245,-115,6.5,H
Brooklyn Nets,4,615,1,-275,-110,-5.5,A
Oklahoma City Thunder,8,615,1,205,-120,5.5,H
Brooklyn Nets,4,605,1,-330,-110,-6.5,A
Oklahoma City Thunder,8,605,1,235,-120,6.5,H
Brooklyn Nets,4,603,1,-275,-110,-5.5,A
Oklahoma City Thunder,8,603,1,205,-120,5.5,H
Brooklyn Nets,6,587,1,-275,-125,-4.5,A
Oklahoma City Thunder,8,587,1,200,-105,4.5,H
Brooklyn Nets,6,570,1,-275,-110,-5.5,A
Oklahoma City Thunder,8,570,1,205,-120,5.5,H
Brooklyn Nets,6,549,1,-275,-115,-5.5,A
Oklahoma City Thunder,8,549,1,205,-115,5.5,H
Brooklyn Nets,6,529,1,-275,-115,-5.5,A
Oklahoma City Thunder,8,529,1,205,-115,5.5,H
Brooklyn Nets,9,510,1,-280,-115,-5.5,A
Oklahoma City Thunder,8,510,1,205,-115,5.5,H
Brooklyn Nets,9,504,1,-300,-115,-6.5,A
Oklahoma City Thunder,8,504,1,220,-115,6.5,H
Brooklyn Nets,9,490,1,-300,-115,-6.5,A
Oklahoma City Thunder,11,490,1,220,-115,6.5,H
Brooklyn Nets,11,471,1,-300,-115,-6.5,A
Oklahoma City Thunder,11,471,1,220,-115,6.5,H
Brooklyn Nets,11,471,1,-300,-125,-5.5,A
Oklahoma City Thunder,11,471,1,225,-105,5.5,H
Brooklyn Nets,11,466,1,-300,-115,-6.5,A
Oklahoma City Thunder,11,466,1,225,-115,6.5,H
Brooklyn Nets,14,443,1,-300,-110,-6.5,A
Oklahoma City Thunder,11,443,1,215,-120,6.5,H
Brooklyn Nets,14,425,1,-300,-110,-7.5,A
Oklahoma City Thunder,11,425,1,225,-120,7.5,H
Brooklyn Nets,14,406,1,-330,-115,-7.5,A
Oklahoma City Thunder,11,406,1,235,-115,7.5,H
Brooklyn Nets,16,394,1,-310,-110,-7.5,A
Oklahoma City Thunder,11,394,1,230,-120,7.5,H
Brooklyn Nets,16,394,1,-425,-120,-7.5,A
Oklahoma City Thunder,11,394,1,285,-110,7.5,H
Brooklyn Nets,16,394,1,-425,-115,-8.5,A
Oklahoma City Thunder,11,394,1,285,-115,8.5,H
Brooklyn Nets,16,394,1,-425,-115,-8.5,A
Oklahoma City Thunder,11,394,1,285,-115,8.5,H
Brooklyn Nets,16,394,1,-425,-115,-8.5,A
Oklahoma City Thunder,11,394,1,285,-115,8.5,H
Brooklyn Nets,16,394,1,-425,-115,-8.5,A
Oklahoma City Thunder,11,394,1,285,-115,8.5,H
Brooklyn Nets,16,394,1,-425,-115,-8.5,A
Oklahoma City Thunder,11,394,1,285,-115,8.5,H
Brooklyn Nets,16,394,1,-475,-115,-9.5,A
Oklahoma City Thunder,11,394,1,320,-115,9.5,H
Brooklyn Nets,16,394,1,-475,-115,-9.5,A
Oklahoma City Thunder,11,394,1,320,-115,9.5,H
Brooklyn Nets,16,394,1,-475,-115,-9.5,A
Oklahoma City Thunder,11,394,1,320,-115,9.5,H
Brooklyn Nets,16,373,1,-475,-115,-9.5,A
Oklahoma City Thunder,13,373,1,320,-115,9.5,H
Brooklyn Nets,16,352,1,-475,-120,-8.5,A
Oklahoma City Thunder,13,352,1,320,-110,8.5,H
Brooklyn Nets,16,333,1,-475,-110,-9.5,A
Oklahoma City Thunder,16,333,1,320,-120,9.5,H
Brooklyn Nets,16,315,1,-475,-120,-8.5,A
Oklahoma City Thunder,16,315,1,320,-110,8.5,H
Brooklyn Nets,18,296,1,-450,-115,-7.5,A
Oklahoma City Thunder,16,296,1,300,-115,7.5,H
Brooklyn Nets,18,276,1,-425,-120,-7.5,A
Oklahoma City Thunder,19,276,1,285,-110,7.5,H
Brooklyn Nets,20,263,1,-350,-120,-6.5,A
Oklahoma City Thunder,19,263,1,245,-110,6.5,H
Brooklyn Nets,20,256,1,-350,-120,-6.5,A
Oklahoma City Thunder,19,256,1,245,-110,6.5,H
Brooklyn Nets,20,256,1,-450,-110,-7.5,A
Oklahoma City Thunder,20,256,1,300,-120,7.5,H
Brooklyn Nets,22,244,1,-310,-115,-6.5,A
Oklahoma City Thunder,20,244,1,230,-115,6.5,H
Brooklyn Nets,22,244,1,-350,-115,-7.5,A
Oklahoma City Thunder,20,244,1,245,-115,7.5,H
Brooklyn Nets,23,237,1,-370,-115,-7.5,A
Oklahoma City Thunder,20,237,1,260,-115,7.5,H
Brooklyn Nets,23,213,1,-370,-115,-7.5,A
Oklahoma City Thunder,20,213,1,260,-115,7.5,H
Brooklyn Nets,25,197,1,-370,-120,-7.5,A
Oklahoma City Thunder,20,197,1,265,-110,7.5,H
Brooklyn Nets,25,193,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,193,1,350,-115,9.5,H
Brooklyn Nets,25,189,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,189,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-425,-115,-8.5,A
Oklahoma City Thunder,20,171,1,285,-115,8.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,25,171,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,171,1,350,-115,9.5,H
Brooklyn Nets,27,162,1,-550,-115,-9.5,A
Oklahoma City Thunder,20,162,1,350,-115,9.5,H
Brooklyn Nets,28,157,1,-650,-120,-10.5,A
Oklahoma City Thunder,20,157,1,385,-110,10.5,H
Brooklyn Nets,28,146,1,-650,-120,-10.5,A
Oklahoma City Thunder,20,146,1,385,-110,10.5,H
Brooklyn Nets,28,146,1,-550,-110,-10.5,A
Oklahoma City Thunder,21,146,1,350,-120,10.5,H
Brooklyn Nets,28,142,1,-550,-110,-10.5,A
Oklahoma City Thunder,22,142,1,350,-120,10.5,H
Brooklyn Nets,28,120,1,-550,-120,-9.5,A
Oklahoma City Thunder,22,120,1,350,-110,9.5,H
Brooklyn Nets,28,109,1,-550,-115,-9.5,A
Oklahoma City Thunder,22,109,1,350,-115,9.5,H
Brooklyn Nets,28,99,1,-550,-115,-9.5,A
Oklahoma City Thunder,22,99,1,350,-115,9.5,H
Brooklyn Nets,28,82,1,-550,-115,-9.5,A
Oklahoma City Thunder,22,82,1,350,-115,9.5,H
Brooklyn Nets,28,81,1,-650,-120,-9.5,A
Oklahoma City Thunder,22,81,1,385,-110,9.5,H
Brooklyn Nets,28,81,1,-550,-120,-9.5,A
Oklahoma City Thunder,24,81,1,350,-110,9.5,H
