Detroit Pistons,0,-1,0,165,-110,4.5,A
Golden State Warriors,0,-1,0,-190,-110,-4.5,H
Detroit Pistons,0,691,1,190,-115,5.5,A
Golden State Warriors,3,691,1,-260,-115,-5.5,H
Detroit Pistons,0,669,1,190,-115,5.5,A
Golden State Warriors,3,669,1,-260,-115,-5.5,H
Detroit Pistons,3,648,1,190,-115,5.5,A
Golden State Warriors,3,648,1,-260,-115,-5.5,H
Detroit Pistons,3,627,1,190,-115,5.5,A
Golden State Warriors,6,627,1,-260,-115,-5.5,H
Detroit Pistons,3,609,1,200,-120,6.5,A
Golden State Warriors,6,609,1,-275,-110,-6.5,H
Detroit Pistons,3,599,1,190,-115,5.5,A
Golden State Warriors,6,599,1,-260,-115,-5.5,H
Detroit Pistons,3,590,1,200,-120,6.5,A
Golden State Warriors,6,590,1,-275,-110,-6.5,H
Detroit Pistons,3,567,1,200,-120,6.5,A
Golden State Warriors,6,567,1,-275,-110,-6.5,H
Detroit Pistons,3,548,1,200,-120,6.5,A
Golden State Warriors,6,548,1,-275,-110,-6.5,H
Detroit Pistons,3,525,1,200,-120,6.5,A
Golden State Warriors,6,525,1,-275,-110,-6.5,H
Detroit Pistons,3,500,1,200,-120,6.5,A
Golden State Warriors,10,500,1,-275,-110,-6.5,H
Detroit Pistons,3,498,1,210,-110,6.5,A
Golden State Warriors,10,498,1,-290,-120,-6.5,H
Detroit Pistons,3,498,1,225,-115,7.5,A
Golden State Warriors,10,498,1,-310,-115,-7.5,H
Detroit Pistons,3,498,1,225,-115,7.5,A
Golden State Warriors,10,498,1,-310,-115,-7.5,H
Detroit Pistons,3,498,1,225,-115,7.5,A
Golden State Warriors,10,498,1,-310,-115,-7.5,H
Detroit Pistons,3,498,1,225,-115,7.5,A
Golden State Warriors,10,498,1,-310,-115,-7.5,H
Detroit Pistons,3,498,1,225,-115,7.5,A
Golden State Warriors,10,498,1,-310,-115,-7.5,H
Detroit Pistons,3,498,1,225,-115,7.5,A
Golden State Warriors,10,498,1,-310,-115,-7.5,H
Detroit Pistons,3,496,1,225,-115,7.5,A
Golden State Warriors,10,496,1,-310,-115,-7.5,H
Detroit Pistons,3,467,1,225,-115,7.5,A
Golden State Warriors,10,467,1,-310,-115,-7.5,H
Detroit Pistons,3,446,1,225,-115,7.5,A
Golden State Warriors,13,446,1,-310,-115,-7.5,H
Detroit Pistons,5,428,1,225,-115,7.5,A
Golden State Warriors,13,428,1,-310,-115,-7.5,H
Detroit Pistons,5,404,1,275,-110,8.5,A
Golden State Warriors,13,404,1,-380,-120,-8.5,H
Detroit Pistons,5,391,1,250,-120,8.5,A
Golden State Warriors,15,391,1,-360,-110,-8.5,H
Detroit Pistons,5,367,1,275,-110,8.5,A
Golden State Warriors,15,367,1,-400,-120,-8.5,H
Detroit Pistons,5,367,1,285,-110,8.5,A
Golden State Warriors,15,367,1,-400,-120,-8.5,H
Detroit Pistons,6,367,1,285,-110,8.5,A
Golden State Warriors,15,367,1,-400,-120,-8.5,H
Detroit Pistons,6,367,1,260,-115,8.5,A
Golden State Warriors,15,367,1,-370,-115,-8.5,H
Detroit Pistons,7,362,1,260,-115,8.5,A
Golden State Warriors,15,362,1,-370,-115,-8.5,H
Detroit Pistons,7,343,1,255,-115,8.5,A
Golden State Warriors,17,343,1,-370,-115,-8.5,H
Detroit Pistons,10,323,1,285,-110,8.5,A
Golden State Warriors,19,323,1,-425,-120,-8.5,H
Detroit Pistons,10,303,1,245,-110,7.5,A
Golden State Warriors,21,303,1,-350,-120,-7.5,H
Detroit Pistons,10,296,1,265,-115,8.5,A
Golden State Warriors,21,296,1,-380,-115,-8.5,H
Detroit Pistons,10,289,1,275,-110,8.5,A
Golden State Warriors,21,289,1,-380,-120,-8.5,H
Detroit Pistons,10,283,1,325,-110,9.5,A
Golden State Warriors,21,283,1,-380,-120,-9.5,H
Detroit Pistons,12,263,1,275,-110,8.5,A
Golden State Warriors,21,263,1,-380,-120,-8.5,H
Detroit Pistons,12,248,1,285,-110,8.5,A
Golden State Warriors,23,248,1,-425,-120,-8.5,H
Detroit Pistons,12,243,1,315,-115,9.5,A
Golden State Warriors,23,243,1,-475,-115,-9.5,H
Detroit Pistons,12,222,1,325,-110,9.5,A
Golden State Warriors,23,222,1,-475,-120,-9.5,H
Detroit Pistons,12,217,1,315,-115,9.5,A
