Portland Trail Blazers,12,471,1,-115,100,-1.5,A
Chicago Bulls,9,471,1,-115,-130,1.5,H
Portland Trail Blazers,13,462,1,-115,100,-1.5,A
Chicago Bulls,9,462,1,-115,-130,1.5,H
Portland Trail Blazers,13,459,1,-115,100,-1.5,A
Chicago Bulls,9,459,1,-115,-130,1.5,H
Portland Trail Blazers,15,440,1,-120,-105,-1.5,A
Chicago Bulls,9,440,1,-110,-130,1.5,H
Portland Trail Blazers,15,420,1,-130,-115,-1.5,A
Chicago Bulls,12,420,1,100,-115,1.5,H
Portland Trail Blazers,17,401,1,-115,100,-1.5,A
Chicago Bulls,14,401,1,-115,-130,1.5,H
Portland Trail Blazers,19,383,1,-125,-110,-1.5,A
Chicago Bulls,14,383,1,-105,-120,1.5,H
Portland Trail Blazers,19,364,1,-125,-110,-1.5,A
Chicago Bulls,17,364,1,-105,-120,1.5,H
Portland Trail Blazers,19,346,1,-125,-130,1.5,A
Chicago Bulls,17,346,1,-105,100,-1.5,H
Portland Trail Blazers,19,326,1,-110,-130,1.5,A
Chicago Bulls,20,326,1,-120,-105,-1.5,H
Portland Trail Blazers,19,326,1,105,-115,1.5,A
Chicago Bulls,20,326,1,-135,-115,-1.5,H
Portland Trail Blazers,19,321,1,105,-115,1.5,A
Chicago Bulls,20,321,1,-135,-115,-1.5,H
Portland Trail Blazers,21,304,1,105,-115,1.5,A
Chicago Bulls,20,304,1,-135,-115,-1.5,H
Portland Trail Blazers,21,296,1,-105,-120,1.5,A
Chicago Bulls,20,296,1,-125,-110,-1.5,H
Portland Trail Blazers,21,280,1,-105,-120,1.5,A
Chicago Bulls,20,280,1,-125,-110,-1.5,H
Portland Trail Blazers,23,259,1,-105,-120,1.5,A
Chicago Bulls,20,259,1,-125,-110,-1.5,H
Portland Trail Blazers,23,241,1,-115,100,-1.5,A
Chicago Bulls,22,241,1,-115,-130,1.5,H
Portland Trail Blazers,23,223,1,-110,-125,1.5,A
Chicago Bulls,22,223,1,-120,-105,-1.5,H
Portland Trail Blazers,23,204,1,-105,-125,1.5,A
Chicago Bulls,22,204,1,-125,-110,-1.5,H
Portland Trail Blazers,23,186,1,-110,-125,1.5,A
Chicago Bulls,22,186,1,-120,-105,-1.5,H
Portland Trail Blazers,23,185,1,-105,-125,1.5,A
Chicago Bulls,24,185,1,-125,-110,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,185,1,110,-110,1.5,A
Chicago Bulls,24,185,1,-145,-120,-1.5,H
Portland Trail Blazers,23,175,1,110,-110,1.5,A
Chicago Bulls,25,175,1,-145,-120,-1.5,H
Portland Trail Blazers,23,154,1,110,-120,2.5,A
Chicago Bulls,25,154,1,-145,-110,-2.5,H
Portland Trail Blazers,23,139,1,110,-120,2.5,A
Chicago Bulls,28,139,1,-150,-110,-2.5,H
Portland Trail Blazers,23,118,1,135,-120,3.5,A
Chicago Bulls,28,118,1,-180,-110,-3.5,H
Portland Trail Blazers,25,99,1,145,-115,3.5,A
Chicago Bulls,28,99,1,-190,-115,-3.5,H
Portland Trail Blazers,25,81,1,145,-115,3.5,A
Chicago Bulls,28,81,1,-190,-115,-3.5,H
Portland Trail Blazers,27,64,1,110,-110,1.5,A
Chicago Bulls,28,64,1,-145,-120,-1.5,H
Portland Trail Blazers,27,62,1,110,-110,1.5,A
Chicago Bulls,30,62,1,-145,-120,-1.5,H
Portland Trail Blazers,27,59,1,125,-110,2.5,A
Chicago Bulls,31,59,1,-165,-120,-2.5,H
Portland Trail Blazers,29,41,1,115,-115,2.5,A
Chicago Bulls,31,41,1,-155,-115,-2.5,H
Portland Trail Blazers,29,29,1,115,-115,2.5,A
Chicago Bulls,34,29,1,-155,-115,-2.5,H
Portland Trail Blazers,31,28,1,115,-115,2.5,A
Chicago Bulls,34,28,1,-155,-115,-2.5,H
Portland Trail Blazers,31,28,1,115,-115,2.5,A
Chicago Bulls,34,28,1,-155,-115,-2.5,H
Portland Trail Blazers,32,17,1,115,-115,2.5,A
Chicago Bulls,34,17,1,-155,-115,-2.5,H
Portland Trail Blazers,32,0,1,115,-115,2.5,A
Chicago Bulls,34,0,1,-155,-115,-2.5,H
Portland Trail Blazers,32,720,2,110,-120,2.5,A
Chicago Bulls,34,720,2,-150,-110,-2.5,H
Portland Trail Blazers,32,720,2,115,-115,2.5,A
Chicago Bulls,34,720,2,-155,-115,-2.5,H
Portland Trail Blazers,32,720,2,110,-120,2.5,A
Chicago Bulls,34,720,2,-150,-110,-2.5,H
Portland Trail Blazers,32,720,2,110,-120,2.5,A
Chicago Bulls,34,720,2,-150,-110,-2.5,H
Portland Trail Blazers,32,720,2,110,-120,2.5,A
Chicago Bulls,34,720,2,-150,-110,-2.5,H
Portland Trail Blazers,32,720,2,110,-120,2.5,A
