Philadelphia 76ers,0,-1,0,-120,-110,-1.5,A
Indiana Pacers,0,-1,0,100,-110,1.5,H
Philadelphia 76ers,10,374,1,110,-120,2.5,A
Indiana Pacers,9,374,1,-145,-110,-2.5,H
Philadelphia 76ers,10,374,1,110,-120,2.5,A
Indiana Pacers,9,374,1,-145,-110,-2.5,H
Philadelphia 76ers,10,374,1,110,-120,2.5,A
Indiana Pacers,9,374,1,-145,-110,-2.5,H
Philadelphia 76ers,10,371,1,110,-120,2.5,A
Indiana Pacers,9,371,1,-145,-110,-2.5,H
Philadelphia 76ers,10,364,1,110,-120,2.5,A
Indiana Pacers,9,364,1,-145,-110,-2.5,H
Philadelphia 76ers,10,350,1,110,-110,1.5,A
Indiana Pacers,12,350,1,-145,-120,-1.5,H
Philadelphia 76ers,10,326,1,110,-110,1.5,A
Indiana Pacers,14,326,1,-145,-120,-1.5,H
Philadelphia 76ers,12,307,1,145,-120,3.5,A
Indiana Pacers,14,307,1,-190,-110,-3.5,H
Philadelphia 76ers,12,289,1,130,-120,3.5,A
Indiana Pacers,14,289,1,-175,-110,-3.5,H
Philadelphia 76ers,12,264,1,130,-120,3.5,A
Indiana Pacers,17,264,1,-175,-110,-3.5,H
Philadelphia 76ers,12,247,1,130,-110,2.5,A
Indiana Pacers,17,247,1,-175,-120,-2.5,H
Philadelphia 76ers,12,247,1,155,-120,4.5,A
Indiana Pacers,17,247,1,-210,-110,-4.5,H
Philadelphia 76ers,12,236,1,160,-115,4.5,A
Indiana Pacers,17,236,1,-215,-115,-4.5,H
Philadelphia 76ers,12,232,1,160,-115,4.5,A
Indiana Pacers,17,232,1,-215,-115,-4.5,H
Philadelphia 76ers,12,228,1,160,-115,4.5,A
Indiana Pacers,17,228,1,-215,-115,-4.5,H
Philadelphia 76ers,12,212,1,160,-115,4.5,A
Indiana Pacers,17,212,1,-215,-115,-4.5,H
Philadelphia 76ers,12,191,1,160,-110,4.5,A
Indiana Pacers,17,191,1,-215,-120,-4.5,H
Philadelphia 76ers,12,191,1,160,-115,4.5,A
Indiana Pacers,17,191,1,-215,-115,-4.5,H
Philadelphia 76ers,12,191,1,155,-120,4.5,A
Indiana Pacers,17,191,1,-210,-110,-4.5,H
Philadelphia 76ers,13,184,1,160,-115,4.5,A
Indiana Pacers,17,184,1,-215,-115,-4.5,H
Philadelphia 76ers,13,173,1,160,-115,4.5,A
Indiana Pacers,19,173,1,-215,-115,-4.5,H
Philadelphia 76ers,13,173,1,170,-110,4.5,A
Indiana Pacers,19,173,1,-230,-120,-4.5,H
Philadelphia 76ers,13,173,1,170,-110,4.5,A
Indiana Pacers,19,173,1,-230,-120,-4.5,H
Philadelphia 76ers,13,173,1,170,-110,4.5,A
Indiana Pacers,19,173,1,-230,-120,-4.5,H
Philadelphia 76ers,13,173,1,170,-110,4.5,A
Indiana Pacers,19,173,1,-230,-120,-4.5,H
Philadelphia 76ers,13,173,1,170,-110,4.5,A
Indiana Pacers,19,173,1,-230,-120,-4.5,H
Philadelphia 76ers,13,175,1,170,-110,4.5,A
Indiana Pacers,19,175,1,-230,-120,-4.5,H
Philadelphia 76ers,13,175,1,170,-110,4.5,A
Indiana Pacers,19,175,1,-230,-120,-4.5,H
Philadelphia 76ers,13,174,1,170,-110,4.5,A
Indiana Pacers,19,174,1,-230,-120,-4.5,H
Philadelphia 76ers,13,162,1,170,-110,4.5,A
Indiana Pacers,19,162,1,-230,-120,-4.5,H
Philadelphia 76ers,13,155,1,165,-115,4.5,A
Indiana Pacers,19,155,1,-220,-115,-4.5,H
Philadelphia 76ers,14,155,1,165,-115,4.5,A
Indiana Pacers,19,155,1,-220,-115,-4.5,H
Philadelphia 76ers,14,155,1,155,-120,4.5,A
Indiana Pacers,19,155,1,-210,-110,-4.5,H
Philadelphia 76ers,14,140,1,155,-120,4.5,A
Indiana Pacers,19,140,1,-210,-110,-4.5,H
Philadelphia 76ers,14,130,1,160,-115,4.5,A
Indiana Pacers,19,130,1,-215,-115,-4.5,H
Philadelphia 76ers,14,130,1,160,-120,4.5,A
Indiana Pacers,19,130,1,-215,-110,-4.5,H
Philadelphia 76ers,14,130,1,150,-110,3.5,A
Indiana Pacers,19,130,1,-200,-120,-3.5,H
Philadelphia 76ers,14,110,1,155,-120,4.5,A
Indiana Pacers,21,110,1,-210,-110,-4.5,H
Philadelphia 76ers,16,89,1,160,-115,4.5,A
Indiana Pacers,21,89,1,-215,-115,-4.5,H
Philadelphia 76ers,16,70,1,160,-115,4.5,A
Indiana Pacers,23,70,1,-215,-115,-4.5,H
Philadelphia 76ers,16,60,1,180,-120,5.5,A
Indiana Pacers,23,60,1,-245,-110,-5.5,H
Philadelphia 76ers,18,45,1,180,-120,5.5,A
Indiana Pacers,23,45,1,-245,-110,-5.5,H
Philadelphia 76ers,18,26,1,185,-120,5.5,A
Indiana Pacers,26,26,1,-245,-110,-5.5,H
Philadelphia 76ers,18,8,1,165,-115,4.5,A
Indiana Pacers,26,8,1,-220,-115,-4.5,H
Philadelphia 76ers,18,7,1,210,-110,5.5,A
Indiana Pacers,26,7,1,-280,-120,-5.5,H
Philadelphia 76ers,18,6,1,205,-110,5.5,A
