Golden State Warriors,0,-1,0,500,-110,11.5,A
Phoenix Suns,0,-1,0,-800,-110,-11.5,H
Golden State Warriors,18,198,1,650
Phoenix Suns,20,198,1,-1400
Golden State Warriors,18,180,1,725
Phoenix Suns,22,180,1,-1800
Golden State Warriors,18,180,1,725
Phoenix Suns,22,180,1,-1800
Golden State Warriors,18,180,1,725
Phoenix Suns,22,180,1,-1800
Golden State Warriors,18,180,1,725
Phoenix Suns,22,180,1,-1800
Golden State Warriors,18,180,1,725
Phoenix Suns,22,180,1,-1800
Golden State Warriors,18,180,1,725
Phoenix Suns,22,180,1,-1800
Golden State Warriors,18,180,1,725
Phoenix Suns,22,180,1,-1800
Golden State Warriors,18,167,1,725
Phoenix Suns,22,167,1,-1800
Golden State Warriors,18,146,1,725
Phoenix Suns,22,146,1,-1800
Golden State Warriors,18,134,1,900
Phoenix Suns,22,134,1,-1800
Golden State Warriors,20,106,1,825
Phoenix Suns,24,106,1,-1800
Golden State Warriors,23,83,1,650
Phoenix Suns,27,83,1,-1400
Golden State Warriors,23,76,1,650
Phoenix Suns,27,76,1,-1400
Golden State Warriors,23,70,1,725
Phoenix Suns,27,70,1,-1800
Golden State Warriors,23,43,1,725
Phoenix Suns,29,43,1,-1800
Golden State Warriors,23,16,1,900
Phoenix Suns,32,16,1,-1800
Golden State Warriors,23,0,1,850
Phoenix Suns,34,0,1,-2500
Golden State Warriors,23,720,2,850
Phoenix Suns,34,720,2,-2500
Golden State Warriors,23,720,2,1000
Phoenix Suns,34,720,2,-2500
Golden State Warriors,23,720,2,1000
Phoenix Suns,34,720,2,-2500
Golden State Warriors,23,720,2,1000
Phoenix Suns,34,720,2,-2500
Golden State Warriors,23,720,2,1000
Phoenix Suns,34,720,2,-2500
Golden State Warriors,23,720,2,1000
Phoenix Suns,34,720,2,-2500
Golden State Warriors,23,720,2,1000
Phoenix Suns,34,720,2,-2500
Golden State Warriors,23,702,2,1000
Phoenix Suns,34,702,2,-2500
Golden State Warriors,23,695,2,1000
Phoenix Suns,34,695,2,-2500
Golden State Warriors,23,669,2,1000
Phoenix Suns,38,669,2,-2500
Golden State Warriors,25,641,2,950
Phoenix Suns,38,641,2,-3300
Golden State Warriors,25,633,2,950
Phoenix Suns,40,633,2,-3300
Golden State Warriors,25,633,2,1200
Phoenix Suns,40,633,2,-3300
Golden State Warriors,25,633,2,1200
Phoenix Suns,40,633,2,-3300
Golden State Warriors,25,633,2,1200
Phoenix Suns,40,633,2,-3300
Golden State Warriors,25,633,2,1200
Phoenix Suns,40,633,2,-3300
Golden State Warriors,25,633,2,1200
Phoenix Suns,40,633,2,-3300
Golden State Warriors,25,633,2,1200
Phoenix Suns,40,633,2,-3300
Golden State Warriors,25,620,2,1200
Phoenix Suns,40,620,2,-3300
Golden State Warriors,25,612,2,1200
Phoenix Suns,40,612,2,-3300
Golden State Warriors,25,590,2,1100
Phoenix Suns,42,590,2,-5000
Golden State Warriors,25,568,2,1100
Phoenix Suns,44,568,2,-5000
Golden State Warriors,25,550,2,1500
Phoenix Suns,44,550,2,-5000
Golden State Warriors,25,550,2,1400
Phoenix Suns,45,550,2,-10000
Golden State Warriors,25,550,2,1400
Phoenix Suns,45,550,2,-10000
Golden State Warriors,25,529,2,1400
Phoenix Suns,45,529,2,-10000
Golden State Warriors,27,510,2,1700
Phoenix Suns,45,510,2,-10000
