Milwaukee Bucks,0,-1,0,-240,-105,-6.5,A
Memphis Grizzlies,0,-1,0,200,-115,6.5,H
Milwaukee Bucks,22,206,1,-600
Memphis Grizzlies,9,206,1,375
Milwaukee Bucks,22,206,1,-600
Memphis Grizzlies,9,206,1,375
Milwaukee Bucks,22,202,1,-600
Memphis Grizzlies,9,202,1,375
Milwaukee Bucks,22,180,1,-600
Memphis Grizzlies,11,180,1,375
Milwaukee Bucks,22,159,1,-475
Memphis Grizzlies,11,159,1,320
Milwaukee Bucks,24,137,1,-475
Memphis Grizzlies,11,137,1,320
Milwaukee Bucks,27,113,1,-600
Memphis Grizzlies,14,113,1,375
Milwaukee Bucks,27,93,1,-475
Memphis Grizzlies,14,93,1,305
Milwaukee Bucks,29,65,1,-650
Memphis Grizzlies,14,65,1,400
Milwaukee Bucks,29,53,1,-650
Memphis Grizzlies,14,53,1,400
Milwaukee Bucks,29,39,1,-850
Memphis Grizzlies,17,39,1,475
Milwaukee Bucks,29,19,1,-850
Memphis Grizzlies,17,19,1,475
Milwaukee Bucks,29,20,1,-600
Memphis Grizzlies,17,20,1,375
Milwaukee Bucks,29,6,1,-600
Memphis Grizzlies,17,6,1,375
Milwaukee Bucks,31,720,2,-600
Memphis Grizzlies,17,720,2,375
Milwaukee Bucks,31,720,2,-800
Memphis Grizzlies,17,720,2,450
Milwaukee Bucks,31,720,2,-800
Memphis Grizzlies,17,720,2,450
Milwaukee Bucks,50,277,2,-800
Memphis Grizzlies,37,277,2,450
Milwaukee Bucks,50,277,2,-800
Memphis Grizzlies,38,277,2,450
Milwaukee Bucks,50,276,2,-800
Memphis Grizzlies,38,276,2,450
Milwaukee Bucks,50,260,2,-650
Memphis Grizzlies,40,260,2,400
Milwaukee Bucks,52,256,2,-525
Memphis Grizzlies,40,256,2,340
Milwaukee Bucks,53,250,2,-700
Memphis Grizzlies,40,250,2,425
Milwaukee Bucks,53,230,2,-700
Memphis Grizzlies,40,230,2,475
Milwaukee Bucks,53,230,2,-850
Memphis Grizzlies,40,230,2,475
Milwaukee Bucks,53,230,2,-850
Memphis Grizzlies,40,230,2,475
Milwaukee Bucks,53,230,2,-850
Memphis Grizzlies,40,230,2,475
Milwaukee Bucks,55,224,2,-850
Memphis Grizzlies,40,224,2,475
Milwaukee Bucks,55,201,2,-850
Memphis Grizzlies,43,201,2,475
Milwaukee Bucks,55,187,2,-700
Memphis Grizzlies,43,187,2,425
Milwaukee Bucks,55,184,2,-650
Memphis Grizzlies,45,184,2,400
Milwaukee Bucks,55,166,2,-600
Memphis Grizzlies,45,166,2,375
Milwaukee Bucks,56,166,2,-600
Memphis Grizzlies,45,166,2,375
Milwaukee Bucks,57,153,2,-650
Memphis Grizzlies,45,153,2,400
Milwaukee Bucks,57,125,2,-700
Memphis Grizzlies,49,125,2,425
Milwaukee Bucks,57,107,2,-600
Memphis Grizzlies,49,107,2,375
Milwaukee Bucks,59,97,2,-475
Memphis Grizzlies,49,97,2,320
Milwaukee Bucks,59,80,2,-475
Memphis Grizzlies,49,80,2,320
Milwaukee Bucks,59,56,2,-600
Memphis Grizzlies,49,56,2,375
Milwaukee Bucks,59,35,2,-650
Memphis Grizzlies,49,35,2,400
Milwaukee Bucks,59,4,2,-650
Memphis Grizzlies,51,4,2,400
Milwaukee Bucks,61,0,2,-650
Memphis Grizzlies,51,0,2,400
Milwaukee Bucks,61,0,2,-500
Memphis Grizzlies,51,0,2,360
Milwaukee Bucks,61,0,2,-500
Memphis Grizzlies,51,0,2,360
Milwaukee Bucks,61,0,2,-500
Memphis Grizzlies,51,0,2,360
Milwaukee Bucks,61,0,2,-500
Memphis Grizzlies,51,0,2,360
Milwaukee Bucks,61,600,3,-500
Memphis Grizzlies,51,600,3,360
Milwaukee Bucks,61,600,3,-700
Memphis Grizzlies,51,600,3,425
Milwaukee Bucks,61,600,3,-700
Memphis Grizzlies,51,600,3,425
Milwaukee Bucks,67,575,3,-800
Memphis Grizzlies,53,575,3,500
Milwaukee Bucks,67,575,3,-1400
Memphis Grizzlies,53,575,3,625
Milwaukee Bucks,67,575,3,-1400
Memphis Grizzlies,53,575,3,625
Milwaukee Bucks,67,575,3,-1400
Memphis Grizzlies,53,575,3,625
Milwaukee Bucks,67,575,3,-1400
Memphis Grizzlies,53,575,3,725
Milwaukee Bucks,67,575,3,-1400
Memphis Grizzlies,53,575,3,725
Milwaukee Bucks,67,571,3,-1400
Memphis Grizzlies,53,571,3,725
Milwaukee Bucks,67,567,3,-1400
Memphis Grizzlies,54,567,3,725
Milwaukee Bucks,67,546,3,-1400
Memphis Grizzlies,57,546,3,725
Milwaukee Bucks,67,515,3,-1400
Memphis Grizzlies,57,515,3,725
Milwaukee Bucks,67,494,3,-850
Memphis Grizzlies,59,494,3,475
Milwaukee Bucks,67,494,3,-850
Memphis Grizzlies,59,494,3,525
Milwaukee Bucks,67,494,3,-850
Memphis Grizzlies,59,494,3,525
Milwaukee Bucks,67,494,3,-850
Memphis Grizzlies,59,494,3,525
Milwaukee Bucks,67,494,3,-850
Memphis Grizzlies,59,494,3,525
Milwaukee Bucks,67,494,3,-850
Memphis Grizzlies,59,494,3,525
Milwaukee Bucks,67,492,3,-850
Memphis Grizzlies,59,492,3,525
Milwaukee Bucks,69,464,3,-850
Memphis Grizzlies,59,464,3,525
Milwaukee Bucks,71,434,3,-900
Memphis Grizzlies,61,434,3,475
Milwaukee Bucks,71,434,3,-900
Memphis Grizzlies,62,434,3,475
Milwaukee Bucks,71,422,3,-900
Memphis Grizzlies,63,422,3,475
Milwaukee Bucks,71,398,3,-900
Memphis Grizzlies,63,398,3,475
Milwaukee Bucks,71,391,3,-900
Memphis Grizzlies,63,391,3,475
Milwaukee Bucks,73,366,3,-650
Memphis Grizzlies,63,366,3,400
Milwaukee Bucks,73,364,3,-900
Memphis Grizzlies,64,364,3,475
Milwaukee Bucks,73,361,3,-900
Memphis Grizzlies,65,361,3,475
Milwaukee Bucks,73,351,3,-900
Memphis Grizzlies,65,351,3,500
Milwaukee Bucks,75,317,3,-600
Memphis Grizzlies,65,317,3,375
Milwaukee Bucks,75,295,3,-600
Memphis Grizzlies,68,295,3,375
Milwaukee Bucks,75,271,3,-475
Memphis Grizzlies,68,271,3,320
Milwaukee Bucks,75,261,3,-650
Memphis Grizzlies,68,261,3,400
